"INVOICEREFERENCE","PAYMENTREFERENCE","ORDERID","DISCOUNTTOTALAMOUNT","DISCOUNTCODE","DISCOUNTTYPE","DISCOUNTVALUE","WLOCATION","STOCKREFERENCE","SKU","QUANTITY","CURRENTPRICE","TOTALPRICE","TOTALQTY","DELIVERYCOUNTRYCODE","ORDERREFERENCE","IDORCONVERSIONID","CURRENCYCODE","ACTION","CODE","RETURNQTY","USER_DEF_TYPE_4","LOCK_CODE","ORDERTYPE","PRICEVERSIONID","SL_NO","COUNTRYCODE","COUNTRYSTATEPROVINCEAREACODE","LOCALITY","COUNTYSTATEPROVINCEAREA","COUNTRYNAME","CUSTOMERID","PRICETOPAY","PRICECURRENT","LANGUAGECODE","BROWSECOUNTRY","EAN","PREVIOUS","DISCOUNTMETHOD","SELLERID","SUBSCRIPTION_PRICE","ORDERTOTAL","GRANDTOTAL","PAYMENTMETHOD","LOC","SOURCEDESC","SOURCEID","SELLERDESC","ROW_NUM"
"JAN010788052","9e877617-337c-4ce9-b476-31ee0ebfe2bb","JAN010788052",41.97,"moreplease","Percentage",13.99,"FC04","900212648","111548698",3,14,42,42,"GB","JAN010788052",5910,"GBP","E","Receipt Return",1,"JAN010788052","AQL","Consumer","PRMP000002000200000004956117420220427020000",109,"GB","","Burnley","Lancs","UK","OCT040788052",1,1,"en-AU","GB","",27.99,"Product","",8,42,50,"AfterPayArvato",20012,"ASOSUK","ASOSUK","",2
"JAN010788052","9e877617-337c-4ce9-b476-31ee0ebfe2bb","JAN010788052",81,"moreplease","Percentage",27,"FC01","900212648","113149433",3,108,324,324,"GB","JAN010788052",5910,"GBP","E","Receipt Return",1,"JAN010788052","AQL","Consumer","PRMP000002000200000004957591520220427020000",110,"GB","","Burnley","Lancs","UK","OCT040788052",1,1,"en-AU","GB","",135,"Product","",8,324,332,"AfterPayArvato",20002,"ASOSUK","ASOSUK","",3
"JAN010788052","9e877617-337c-4ce9-b476-31ee0ebfe2bb","JAN010788052",30,"moreplease","Percentage",10,"FC01","900212648","113149470",3,40,120,120,"GB","JAN010788052",5910,"GBP","E","Receipt Return",1,"JAN010788052","AQL","Consumer","PRMP000002000200000004957048120220427020000",111,"GB","","Burnley","Lancs","UK","OCT040788052",1,1,"en-AU","GB","",50,"Product","",8,120,128,"AfterPayArvato",20002,"ASOSUK","ASOSUK","",4
"JAN010788053","f3ecee1c-a7b7-4e4c-9c46-e167a0e69552","JAN010788053",29.97,"moreplease","Percentage",9.99,"FC04","900222163","105383899",3,13,39,39,"GB","JAN010788053",5910,"GBP","E","Receipt Return",1,"JAN010788053","AQL","Consumer","PRMP000002000200000004958010320220427020000",112,"GB","","Burnley","Lancs","UK","OCT040788053",1,1,"en-AU","GB","",22.99,"Product","",8,39,47,"Card",20012,"ASOSUK","ASOSUK","",1
"JAN010788053","f3ecee1c-a7b7-4e4c-9c46-e167a0e69552","JAN010788053",29.97,"moreplease","Percentage",9.99,"FC04","900222163","105383900",3,13,39,39,"GB","JAN010788053",5910,"GBP","E","Receipt Return",1,"JAN010788053","AQL","Consumer","PRMP000002000200000004958010320220427020000",113,"GB","","Burnley","Lancs","UK","OCT040788053",1,1,"en-AU","GB","",22.99,"Product","",8,39,47,"Card",20012,"ASOSUK","ASOSUK","",2
"JAN010788053","f3ecee1c-a7b7-4e4c-9c46-e167a0e69552","JAN010788053",41.25,"moreplease","Percentage",13.75,"FC01","900222163","11312443",3,9.25,27.75,27.75,"GB","JAN010788053",5910,"GBP","E","Receipt Return",1,"JAN010788053","AQL","Consumer","CLRP0000020002000000241639116",114,"GB","","Burnley","Lancs","UK","OCT040788053",1,1,"en-AU","GB","",23,"Product","",8,27.75,35.75,"Card",20002,"ASOSUK","ASOSUK","",5
"JAN010788053","f3ecee1c-a7b7-4e4c-9c46-e167a0e69552","JAN010788053",34.47,"moreplease","Percentage",11.49,"FC01","900222163","113124422",3,21.5,64.5,64.5,"GB","JAN010788053",5910,"GBP","E","Receipt Return",1,"JAN010788053","AQL","Consumer","PRMP000002000200000004955728020220427020000",115,"GB","","Burnley","Lancs","UK","OCT040788053",1,1,"en-AU","GB","",32.99,"Product","",8,64.5,72.5,"Card",20002,"ASOSUK","ASOSUK","",4
"JAN010788056","77edb0ef-9ec1-49aa-952e-310de2d53f3d","JAN010788056",38.97,"moreplease","Percentage",12.99,"FC04","900173339","111009765",3,20,60,60,"GB","JAN010788056",5910,"GBP","E","Receipt Return",1,"JAN010788056","AQL","Consumer","PRMP000002000200000005106485520220427020000",1,"GB","","Burnley","Lancs","UK","OCT040788056",1,1,"en-AU","GB","",32.99,"Product","SCAAFS",8,60,68,"BankTransfers",20012,"","","SCALPERS",1
"JAN010788056","77edb0ef-9ec1-49aa-952e-310de2d53f3d","JAN010788056",5.97,"moreplease","Percentage",1.99,"FC04","900173339","113110774",3,8,24,24,"GB","JAN010788056",5910,"GBP","E","Receipt Return",1,"JAN010788056","AQL","Consumer","PRMP000002000200000005106473820220427020000",2,"GB","","Burnley","Lancs","UK","OCT040788056",1,1,"en-AU","GB","",9.99,"Product","SCAAFS",8,24,32,"BankTransfers",20012,"","","SCALPERS",3
"JAN010788056","77edb0ef-9ec1-49aa-952e-310de2d53f3d","JAN010788056",13.5,"moreplease","Percentage",4.5,"FC01","900173339","113113633",3,10.5,31.5,31.5,"GB","JAN010788056",5910,"GBP","E","Receipt Return",1,"JAN010788056","AQL","Consumer","PRMP000002000200000004958458420220427020000",3,"GB","","Burnley","Lancs","UK","OCT040788056",1,1,"en-AU","GB","",15,"Product","SCAAFS",8,31.5,39.5,"BankTransfers",20002,"","","SCALPERS",4
"JAN010788057","7cf130b1-15d5-4560-aac0-d85216545a4a","JAN010788057",44.97,"moreplease","Percentage",14.99,"FC04","900228126","110928747",3,21,63,63,"GB","JAN010788057",5910,"GBP","E","Receipt Return",1,"JAN010788057","AQL","Consumer","PRMP000002000200000004957384520220427020000",4,"GB","","Burnley","Lancs","UK","OCT040788057",1,1,"en-AU","GB","",35.99,"Product","SCAAFS",8,63,71,"Card",20012,"","","SCALPERS",1
