Item_Number,Zone,Pcid
100000543,100,36028064
100000543,101,36028065
100000543,102,36028066
100000543,103,36028067
100000543,104,36028068
100000543,105,36028069
100000543,106,36028070
100000543,107,36028071
100000543,108,36028072
100000543,109,36028073
100000543,110,36028074
100000543,111,36028075
100000543,112,36028076
100000543,113,36028077
100000543,114,36028078
100000543,99,36028063
100000545,100,36028080
100000545,101,36028081
100000545,102,36028082
100000545,103,36028083
100000545,104,36028084
100000545,105,36028085
100000545,106,36028086
100000545,107,36028087
100000545,108,36028088
100000545,109,36028089
100000545,110,36028090
100000545,111,36028091
100000545,112,36028092
100000545,113,36028093
100000545,114,36028094
100000545,99,36028079
100000554,100,36028112
100000554,101,36028113
100000554,102,36028114
100000554,103,36028115
100000554,104,36028116
100000554,105,36028117
100000554,106,36028118
100000554,107,36028119
100000554,108,36028120
100000554,109,36028121
100000554,110,36028122
100000554,111,36028123
100000554,112,36028124
100000554,113,36028125
100000554,114,36028126
100000554,99,36028111
100000555,100,36028096
100000555,101,36028097
100000555,102,36028098
100000555,103,36028099
100000555,104,36028100
100000555,105,36028101
100000555,106,36028102
100000555,107,36028103
100000555,108,36028104
100000555,109,36028105
100000555,110,36028106
100000555,111,36028107
100000555,112,36028108
100000555,113,36028109
100000555,114,36028110
100000555,99,36028095
100000575,100,36028160
100000575,101,36028161
100000575,102,36028162
100000575,103,36028163
100000575,104,36028164
100000575,105,36028165
100000575,106,36028166
100000575,107,36028167
100000575,108,36028168
100000575,109,36028169
100000575,110,36028170
100000575,111,36028171
100000575,112,36028172
100000575,113,36028173
100000575,114,36028174
100000575,99,36028159
100000610,100,36028208
100000610,101,36028209
100000610,102,36028210
100000610,103,36028211
100000610,104,36028212
100000610,105,36028213
100000610,106,36028214
100000610,107,36028215
100000610,108,36028216
100000610,109,36028217
100000610,110,36028218
100000610,111,36028219
100000610,112,36028220
100000610,113,36028221
100000610,114,36028222
100000610,99,36028207
100000612,100,36028240
100000612,101,36028241
100000612,102,36028242
100000612,103,36028243
100000612,104,36028244
100000612,105,36028245
100000612,106,36028246
100000612,107,36028247
100000612,108,36028248
100000612,109,36028249
100000612,110,36028250
100000612,111,36028251
100000612,112,36028252
100000612,113,36028253
100000612,114,36028254
100000612,99,36028239
100000614,100,36028288
100000614,101,36028289
100000614,102,36028290
100000614,103,36028291
100000614,104,36028292
100000614,105,36028293
100000614,106,36028294
100000614,107,36028295
100000614,108,36028296
100000614,109,36028297
100000614,110,36028298
100000614,111,36028299
100000614,112,36028300
100000614,113,36028301
100000614,114,36028302
100000614,99,36028287
100000637,100,36036176
100000637,101,36036177
100000637,102,36036178
100000637,103,36036179
100000637,104,36036180
100000637,105,36036181
100000637,106,36036182
100000637,107,36036183
100000637,108,36036184
100000637,109,36036185
100000637,110,36036186
100000637,111,36036187
100000637,112,36036188
100000637,113,36036189
100000637,114,36036190
100000637,99,36036175
100000671,100,36028384
100000671,101,36028385
100000671,102,36028386
100000671,103,36028387
100000671,104,36028388
100000671,105,36028389
100000671,106,36028390
100000671,107,36028391
100000671,108,36028392
100000671,109,36028393
100000671,110,36028394
100000671,111,36028395
100000671,112,36028396
100000671,113,36028397
100000671,114,36028398
100000671,99,36028383
100000684,100,36028448
100000684,101,36028449
