Comment,Division,ProdGrp,Category,ProdID,Search
Perf Testing FEB01,Menswear,Footwear,Ski Boots,2050
Perf Testing FEB02,Menswear,Tailoring,[OLD] Slim,2010
Perf Testing FEB03,Womenswear,Lingerie & Nightwear,[OLD] Other,1014
Perf Testing FEB03,Womenswear,Tailoring,Cargos & Parachute,1015
Perf Testing FEB04,Womenswear,[OLD] AC Shorts,Jersey,1108
Perf Testing FEB05,Womenswear,[OLD] Bags,Bum Bag,1052
Perf Testing FEB06,Menswear,[OLD] ANC Footwear,Running,2150
Perf Testing FEB07,Womenswear,Accessories,[OLD] Caps,1051
Perf Testing FEB09,Womenswear,[OLD] AC Jersey Tops,Vests,1103
Perf Testing FEB10,Unisex,Skincare,Grooming,1061
Perf Testing FEB11,Womenswear,Jumpsuits & Playsuits,Bridesmaid,1010
Perf Testing FEB12,Menswear,Accessories,[OLD] Beanies,2051
Perf Testing FEB13,Womenswear,Swimwear,[OLD] Accessories,1013
Perf Testing FEB14,Womenswear,[OLD] Bags,Cross Body,1052
Perf Testing FEB15,Womenswear,Jersey Tops,Undefined,1003
Perf Testing FEB16,Menswear,[OLD] Smart Trousers,Wide,2012
Perf Testing FEB17,Menswear,Swimwear,Undefined,2052
Perf Testing FEB18,Womenswear,Swimwear,[OLD] Rash Vests,1013
Perf Testing FEB19,Menswear,[OLD] Smart Trousers,Undefined,2012
Perf Testing FEB20,Womenswear,[OLD] Socks & Hosiery,[OLD] Hosiery,1053
Perf Testing FEB21,Womenswear,Woven Tops,[OLD] Embroidery,1004
Perf Testing FEB22,Womenswear,Outerwear,[OLD] Undefined,1012
Perf Testing FEB23,Womenswear,Footwear,(OLD)Bridal,1050
Perf Testing FEB24,Womenswear,[OLD] AC Jersey Tops,Sweats,1103
Perf Testing FEB25,Womenswear,Knitwear,Undefined,1005
Perf Testing FEB26,Menswear,Outerwear,[OLD] Long Wool,2008
Perf Testing FEB27,Menswear,Footwear,Undefined,2050
Perf Testing FEB28,Womenswear,[OLD] ANC Footwear,Running,1150
Perf Testing FEB29,Womenswear,Jumpsuits & Playsuits,Undefined,1010
Perf Testing FEB30,Menswear,[OLD] Long Sleeve T-Shirts,Design,2002
Perf Testing FEB31,Menswear,[OLD] Vests,Plain,2003
Perf Testing FEB32,Menswear,[OLD] AC Long Sleeve T-Shirts,Plain,2102
Perf Testing FEB34,Menswear,Swimwear,Rash Vests,2052
Perf Testing FEB35,Womenswear,Lingerie & Nightwear,[OLD] Hosiery,1014
Perf Testing FEB36,Womenswear,Accessories,[OLD] Cold Weather Scarves,1051
Perf Testing FEB37,Menswear,Outerwear,[OLD] Wax Jackets,2008
Perf Testing FEB38,Menswear,[OLD] AC Casual Trousers,Joggers,2111
Perf Testing FEB39,Menswear,Accessories,[OLD] Scarves,2051
Perf Testing FEB40,Womenswear,[OLD] Bags,Shoulder Bag,1052
Perf Testing FEB41,Menswear,Accessories,[OLD] Neck Chains,2051
Perf Testing FEB42,Womenswear,Woven Tops,[OLD] Cord,1004
Perf Testing FEB43,Menswear,[OLD] AC Short Sleeve T-Shirts,Print,2101
Perf Testing FEB44,Womenswear,Lingerie & Nightwear,Undefined,1014
Perf Testing FEB45,Womenswear,Accessories,[OLD] Hosiery,1051
Perf Testing FEB46,Womenswear,[OLD] Bags,Tote,1052
Perf Testing FEB47,Womenswear,[OLD] AC Trousers,Joggers,1107
Perf Testing FEB48,Menswear,Shirts,[OLD] Denim,2006
Perf Testing FEB49,Womenswear,Accessories,[OLD] Earrings,1051
Perf Testing FEB50,Womenswear,[OLD] AC Jersey Tops,Long Sleeve Tops,1103
Perf Testing FEB33,Womenswear,Evening Dresses,Topshop Premium,1002
Perf Testing FEB08,Menswear,Accessories,[OLD] Belts,2051
