Item_Number,Barcodes
143712138,2200004896885
143712140,2200004896892
143712141,2200004896908
143712142,2200004896915
143712143,2200004896922
143712144,2200004896939
143712145,2200004896946
143712146,2200004896953
143712147,2200004896960
143712149,2200004896977
143712151,2200004896984
143712153,2200004896991
143712155,2200004897004
143712157,2200004897011
143712159,2200004897028
143712161,2200004897035
143712164,2200004897042
143712165,2200004897059
143712167,2200004897066
143712169,2200004897073
143712172,2200004897080
143712173,2200004897097
143712175,2200004897103
143712177,2200004897110
143712178,2200004897127
143712181,2200004897134
143712190,2200004897141
143712191,2200004897158
143712192,2200004897165
143712193,2200004897172
143712194,2200004897189
143712197,2200004897196
143712198,2200004897202
143712199,2200004897219
143712200,2200004897226
143712201,2200004897233
143712202,2200004897240
143712206,2200004897257
143712207,2200004897264
143712208,2200004897271
143712213,2200004897288
143712214,2200004897295
143712216,2200004897301
143712218,2200004897318
143712219,2200004897325
143712220,2200004897332
143712223,2200004897349
143712224,2200004897356
143712225,2200004897363
143712227,2200004897370
143712233,2200004897387
143712240,2200004897394
143712241,2200004897400
143712243,2200004897417
143712244,2200004897424
143712246,2200004897431
143712247,2200004897448
143712248,2200004897455
143712249,2200004897462
143712250,2200004897479
143712251,2200004897486
143712252,2200004897493
143712255,2200004897509
143712257,2200004897516
143712260,2200004897523
143712264,2200004897530
143712265,2200004897547
143712267,2200004897554
143712268,2200004897561
143712269,2200004897578
143712272,2200004897585
143712273,2200004897592
143712274,2200004897608
143712276,2200004897615
143712280,2200004897622
143712282,2200004897639
143712290,2200004897646
143712291,2200004897653
143712293,2200004897660
143712294,2200004897677
143712296,2200004897684
143712297,2200004897691
143712298,2200004897707
143712299,2200004897714
143712300,2200004897721
143712301,2200004897738
143712303,2200004897745
143712306,2200004897752
143712307,2200004897769
143712312,2200004897776
143712314,2200004897783
143712316,2200004897790
143712317,2200004897806
143712318,2200004897813
143712319,2200004897820
143712320,2200004897837
143712321,2200004897844
143712324,2200004897851
143712325,2200004897868
143712332,2200004897875
143712333,2200004897882
143712340,2200004897899
143712342,2200004897905
143712343,2200004897912
143712344,2200004897929
143712346,2200004897936
143712347,2200004897943
143712348,2200004897950
143712349,2200004897967
143712350,2200004897974
143712353,2200004897981
143712354,2200004897998
143712355,2200004898001
143712358,2200004898018
143712362,2200004898025
143712363,2200004898032
143712364,2200004898049
143712365,2200004898056
143712366,2200004898063
143712369,2200004898070
143712370,2200004898087
143712371,2200004898094
143712373,2200004898100
143712375,2200004898117
143712385,2200004898124
143712387,2200004898131
143712389,2200004898148
143712392,2200004898155
143712393,2200004898162
143712394,2200004898179
143712396,2200004898186
143712397,2200004898193
143712398,2200004898209
143712399,2200004898216
143712402,2200004898223
143712403,2200004898230
143712404,2200004898247
143712405,2200004898254
143712406,2200004898261
143712409,2200004898278
143712412,2200004898285
143712413,2200004898292
143712416,2200004898308
143712418,2200004898315
143712419,2200004898322
143712420,2200004898339
143712422,2200004898346
143712424,2200004898353
143712427,2200004898360
143712435,2200004898377
143712437,2200004898384
143712438,2200004898391
143712442,2200004898407
143712443,2200004898414
143712444,2200004898421
143712446,2200004898438
143712447,2200004898445
143712449,2200004898452
143712451,2200004898469
143712452,2200004898476
143712453,2200004898483
143712454,2200004898490
143712456,2200004898506
143712458,2200004898513
143712459,2200004898520
143712461,2200004898537
143712464,2200004898544
143712465,2200004898551
143712468,2200004898568
143712470,2200004898575
143712473,2200004898582
143712474,2200004898599
143712475,2200004898605
143712476,2200004898612
143712486,2200004898629
143712487,2200004898636
143712488,2200004898643
143712492,2200004898650
143712493,2200004898667
143712494,2200004898674
143712496,2200004898681
143712497,2200004898698
143712498,2200004898704
143712501,2200004898711
143712502,2200004898728
143712503,2200004898735
143712505,2200004898742
143712506,2200004898759
143712507,2200004898766
143712508,2200004898773
143712510,2200004898780
143712512,2200004898797
143712513,2200004898803
143712518,2200004898810
143712520,2200004898827
143712522,2200004898834
143712523,2200004898841
143712525,2200004898858
143712529,2200004898865
143712535,2200004898872
143712537,2200004898889
143712538,2200004898896
143712541,2200004898902
143712544,2200004898919
143712545,2200004898926
143712546,2200004898933
143712547,2200004898940
143712548,2200004898957
143712550,2200004898964
143712551,2200004898971
143712554,2200004898988
143712555,2200004898995
143712556,2200004899008
143712557,2200004899015
143712562,2200004899022
143712563,2200004899039
143712564,2200004899046
143712566,2200004899053
143712568,2200004899060
143712571,2200004899077
143712572,2200004899084
143712573,2200004899091
143712578,2200004899107
143712579,2200004899114
143712586,2200004899121
143712587,2200004899138
143712588,2200004899145
143712598,2200004899152
143712601,2200004899169
143712602,2200004899176
143712603,2200004899183
143712604,2200004899190
143712605,2200004899206
143712606,2200004899213
143712609,2200004899220
143712611,2200004899237
143712612,2200004899244
143712613,2200004899251
143712617,2200004899268
143712619,2200004899275
143712620,2200004899282
143712621,2200004899299
143712623,2200004899305
143712625,2200004899312
143712627,2200004899329
143712629,2200004899336
143712630,2200004899343
143712631,2200004899350
143712636,2200004899367
143712643,2200004899374
143712644,2200004899381
143712645,2200004899398
143712647,2200004899404
143712651,2200004899411
143712652,2200004899428
143712653,2200004899435
143712654,2200004899442
143712655,2200004899459
143712657,2200004899466
143712659,2200004899473
143712661,2200004899480
143712662,2200004899497
143712666,2200004899503
143712667,2200004899510
143712669,2200004899527
143712670,2200004899534
143712672,2200004899541
143712674,2200004899558
143712675,2200004899565
143712676,2200004899572
143712679,2200004899589
143712680,2200004899596
143712683,2200004899602
143712684,2200004899619
143712693,2200004899626
143712694,2200004899633
143712695,2200004899640
