Group no,Item_Number_1,Item_Number_2,Item_Number_3,Item_Number_4
11994,143359825,142435456,142997711,141912558
11996,143359822,142435455,142997710,141912554
12000,143359820,142435454,142997709,141912552
12001,143359807,142435393,142997708,141912550
12002,143359806,142435278,142997707,141912548
12003,143358080,142435276,142997706,141912489
12004,143358079,142435275,142997705,141912488
12005,143358078,142434990,142997704,141912487
12009,143358077,142434989,142997703,141912467
12010,143358045,142434984,142997702,141912445
12011,143358044,142434769,142997701,141912401
12012,143358043,142434767,142997700,141912400
12013,143358042,142434765,142997699,141912399
12014,143358041,142434764,142997698,141912398
12016,143358039,142434762,142997697,141912381
12017,143358037,142434760,142997696,141912380
12018,143358036,142434759,142997695,141912379
12019,143358035,142434758,142997694,141912378
12020,143358034,142434757,142997693,141912271
12023,143358001,142434756,142997627,141912270
12024,143358000,142434755,142997626,141912269
12025,143357999,142434754,142997593,141912268
12026,143357973,142434753,142997592,141912267
12028,143357971,142434752,142997591,141912266
12029,143357970,142434751,142997590,141912265
12031,143357945,142434750,142997534,141912264
12033,143357944,142434749,142997513,141912263
12034,143357903,142434748,142997512,141912262
12036,143357902,142434747,142997511,141912260
12037,143357901,142434746,142997510,141912152
12038,143357900,142434745,142997509,141912151
12039,143357805,142434742,142997487,141912146
12040,143357804,142434594,142997486,141912105
12041,143357718,142434593,142997485,141912104
12044,143357717,142434592,142997484,141912103
12045,143357716,142434591,142997483,141912102
12046,143357715,142434590,142997482,141912101
12047,143357713,142434589,142997481,141911663
12048,143357712,142434588,142997480,141910929
12049,143357695,142434587,142997479,141910928
12050,143357694,142434586,142997478,141910927
12051,143357577,142434585,142997477,141910854
12053,143357576,142434584,142997476,141910853
12055,143357575,142434583,142997475,141910852
12056,143357574,142434340,142997474,141910851
12057,143357573,142434339,142997473,141910850
12059,143357572,142434338,142997452,141910849
12060,143357571,142434337,142997451,141910841
12064,143357317,142434314,142997450,141910744
12066,143357316,142434298,142997449,141910742
12067,143357288,142434290,142997448,141910741
12068,143357283,142434221,142997447,141910740
12069,143357237,142434219,142997446,141909262
12070,143357236,142434216,142997445,141909261
12071,143357235,142434213,142997444,141909260
12072,143357234,142434210,142997443,141909247
12076,143357233,142434209,142997442,141909246
12077,143357232,142434208,142997441,141909245
12078,143357231,142434159,142997421,141909244
12079,143357214,142434158,142997420,141909243
12081,143357213,142434157,142997419,141909242
12082,143357188,142434156,142997109,141909241
12083,143357187,142434155,142997008,141909073
12084,143357186,142434154,142997007,141909068
12085,143357161,142434124,142997006,141909067
12086,143357160,142433234,142997005,141909066
12087,143357159,142433233,142997004,141909065
12088,143357158,142433232,142997003,141909064
12089,143357157,142433231,142996954,141909063
12090,143357156,142433230,142996953,141909062
12091,143357127,142433229,142996952,141909061
12092,143357126,142433228,142996951,141909060
12093,143357125,142433227,142996950,141909059
12094,143357124,142433226,142996949,141909058
12095,143357123,142433225,142996900,141909057
12097,143357122,142433224,142996899,141909056
12098,143357010,142433223,142996898,141909055
12099,143357009,142433222,142996897,141909054
12100,143357008,142433221,142996896,141863209
12102,143357007,142432991,142996895,141863142
12103,143357006,142432990,142996884,141863141
12104,143357005,142432850,142996864,141863140
12105,143357004,142432849,142996863,141863139
12107,143357003,142432772,142996862,141863091
12108,143357002,142432646,142996834,141862984
12109,143357001,142432645,142996833,141862697
12110,143357000,142432644,142996832,141862696
12111,143356999,142432638,142996769,141862695
12112,143356998,142432635,142996768,141862694
12115,143356982,142432631,142996767,141862693
12117,143356981,142432629,142996656,141862685
12118,143356979,142432628,142996653,141862677
12119,143356922,142432476,142996652,141862663
12121,143356921,142432475,142996651,141862662
12122,143356920,142432474,142996650,141862661
12123,143356919,142432473,142996537,141862660
12124,143356918,142432428,142996514,141862659
12125,143356917,142432427,142996432,141862658
12126,143356916,142432426,142996431,141862645
12128,143356915,142432264,142996430,141862644
12129,143356914,142432263,142996429,141862643
12130,143356913,142432262,142996428,141862634
12131,143356912,142432261,142996420,141862633
12132,143356911,142432260,142996419,141862626
12134,143356910,142432259,142996413,141862585
12135,143356847,142432258,142996361,141862582
12142,143356771,142432257,142996360,141862580
12147,143356770,142432191,142996359,141862579
12149,143356769,142432190,142996358,141862517
12150,143356768,142432189,142996357,141862429
12151,143356767,142432188,142996356,141862428
12152,143356766,142432187,142996334,141862427
12153,143356748,142432186,142996329,141862426
12154,143356600,142432185,142996328,141862425
12156,143356467,142432184,142996327,141861349
12157,143356464,142432103,142996326,141861348
12158,143356463,142432102,142996267,141861347
12159,143356462,142432101,142996266,141861346
12160,143356461,142432100,142996249,141861345
12161,143356460,142432099,142996246,141861344
12162,143356459,142432098,142996223,141861343
12163,143356458,142432097,142996222,141861342
12164,143356457,142432096,142996196,141861341
12165,143356456,142432095,142996195,141861340
12167,143356455,142432094,142996194,141861339
12168,143356454,142431860,142996193,141861338
12169,143356453,142431859,142996184,141861337
12170,143356024,142431858,142996183,141861336
12171,143356003,142431857,142974845,141861335
12172,143356002,142431856,142974844,141861334
12173,143356001,142431855,142974843,141861333
12174,143356000,142431854,142974842,141861332
12175,143355999,142431853,142974841,141861281
12176,143355839,142431852,142974840,141861278
12177,143355838,142431696,142974839,141861277
12178,143355835,142431695,142974833,141861274
12179,143355834,142431694,142974832,141861273
12180,143355833,142431693,142974831,141861272
12181,143355832,142431692,142974830,141861243
12182,143355831,142431691,142974805,141861242
12183,143355830,142431690,142974804,141861029
12184,143355829,142431689,142974803,141861028
12185,143355828,142431688,142974696,141861027
12186,143355827,142431687,142974695,141861026
12188,143355826,142431686,142974694,141861025
12189,143355825,142431685,142974693,141861024
12190,143355824,142431684,142974688,141861023
12191,143355823,142431683,142974652,141861018
12192,143355822,142431594,142974486,141861017
12193,143355821,142431593,142974485,141861016
12194,143355820,142431592,142974484,141861015
12195,143355811,142431591,142974483,141861014
12197,143355648,142431590,142974482,141861013
12198,143355647,142431589,142974481,141861012
12200,143355646,142431588,142974480,141861011
12201,143355645,142431587,142974479,141861000
12203,143355644,142431586,142974478,141860976
12204,143355643,142431585,142974469,141860975
12205,143355594,142431584,142974468,141860974
12206,143355593,142431510,142974459,141860742
12207,143355592,142431509,142974458,141860741
12208,143355591,142431508,142974260,141860740
12209,143355506,142431507,142974259,141860733
12210,143355505,142431506,142974258,141860732
12212,143355504,142431505,142974257,141860731
12213,143355503,142431504,142974256,141860730
12214,143355502,142431503,142974255,141860729
12215,143355501,142431502,142974254,141860728
12216,143355500,142431428,142974253,141860695
12217,143355499,142431427,142974252,141860691
12218,143355498,142431426,142974251,141860661
12221,143355497,142431425,142974244,141860202
12222,143355496,142431424,142974207,141860197
12226,143355495,142431423,142974206,141860118
12229,143355431,142431422,142974205,141860117
12230,143355430,142431421,142974198,141860116
12231,143355429,142431262,142974197,141860099
12232,143355428,142431261,142973839,141860098
12233,143355427,142431174,142973838,141860097
12234,143355397,142431173,142973835,141860096
12235,143355350,142431172,142973834,141860091
12237,143355349,142431171,142973833,141860040
12239,143355338,142430094,142973832,141860037
12240,143355300,142430093,142973831,141860036
12241,143355292,142430092,142973830,141860028
12242,143329932,142430091,142973748,141860001
12243,143329930,142430090,142973747,141859862
12244,143329929,142430089,142973744,141859861
12245,143329928,142430088,142973743,141859860
12246,143329906,142430087,142973742,141859787
12247,143329905,142430086,142973741,141859786
12248,143329904,142430085,142973740,141859785
12249,143329833,142430071,142973739,141859784
12250,143329832,142430070,142973591,141859783
12251,143329831,142430047,142973590,141859782
12252,143329830,142429590,142973588,141859781
12253,143329829,142429543,142973587,141859780
12254,143329828,142429300,142973586,141859779
12261,143329813,142429299,142973240,141859778
12262,143329812,142429298,142973207,141859734
12263,143329811,142429297,142973206,141859733
12264,143329691,142429296,142973205,141859715
12265,143329690,142429295,142973204,141859714
12266,143329689,142429294,142973203,141859713
12270,143329688,142429293,142973201,141859712
12271,143329687,142429292,142973200,141859711
12272,143329686,142429291,142973175,141859710
12273,143329573,142429290,142973174,141859709
12274,143329572,142429289,142973173,141859708
12278,143329570,142429288,142972986,141859707
12279,143329569,142428672,142972985,141859706
12280,143329532,142428671,142972984,141859705
12281,143329531,142428670,142972983,141859704
12282,143329530,142428669,142972982,141859703
12284,143329281,142428573,142972981,141859669
12285,143329280,142428572,142972980,141859668
12286,143329279,142428571,142972979,141859667
12287,143329278,142428570,142972974,141859666
12288,143329277,142428569,142972973,141859664
12289,143329276,142428568,142972972,141859329
12290,143329275,142428566,142972971,141859328
12291,143329254,142428565,142972970,141859264
12292,143329253,142428564,142972969,141859263
12293,143329194,142428562,142972968,141859262
12294,143328866,142428561,142972967,141859261
12295,143328856,142428560,142972966,141859260
12296,143328855,142428523,142972965,141859259
12297,143328854,142428522,142972964,141859133
12298,143328850,142428521,142972663,141859132
12300,143328849,142428466,142972654,141858482
12301,143328844,142428465,142972653,141858399
12302,143328583,142428464,142972608,141858398
12303,143328582,142428463,142972607,141858397
12304,143328581,142428415,142972606,141858393
12305,143328580,142428414,142972605,141858392
12306,143328579,142428413,142972604,141858391
12307,143328577,142428412,142972390,141858390
12309,143328576,142428379,142972389,141858355
12310,143328574,142428377,142972388,141858354
12311,143328573,142428246,142972387,141858353
12313,143328571,142428245,142972386,141858352
12314,143328570,142428244,142972375,141858351
12315,143328568,142428243,142972360,141858309
12316,143328567,142428201,142972359,141858276
12317,143328566,142428200,142972358,141858275
12319,143328565,142428199,142972353,141858274
12320,143328564,142428198,142972340,141858273
12321,143328563,142428197,142972339,141858272
12322,143328562,142428192,142972338,141858237
12323,143328561,142427277,142972192,141858235
12324,143328560,142427276,142972191,141858234
12325,143328559,142427275,142972178,141858233
12326,143328558,142426736,142972177,141858232
12327,143328557,142426734,142972016,141858231
12328,143328556,142426697,142972015,141858229
12329,143328555,142426696,142972006,141858222
12331,143328554,142426695,142972004,141858221
12332,143328545,142407268,142971968,141858110
12333,143328544,142407267,142971967,141858109
12334,143328543,142406678,142971966,141858108
12335,143328473,142406639,142914124,141858107
12336,143328472,142406638,142914123,141858106
12342,143328471,142406637,142914122,141858079
12349,143328470,142406636,142914119,141858078
12350,143328469,142406635,142914116,141857761
12351,143328468,142405610,142914115,141857760
12352,143328467,142404353,142914114,141857759
12353,143328466,142404352,142914113,141857758
12354,143328465,142403437,142914112,141857599
12355,143328464,142403436,142914111,141857598
12356,143328463,142403435,142914110,141857597
12357,143328462,142403434,142914109,141857596
12358,143328461,142403433,142914108,141857589
12359,143328460,142403244,142914107,141857548
12363,143328459,142403243,142914106,141857547
12364,143328458,142403242,142914105,141857546
12365,143328408,142402083,142914103,141857545
12366,143328407,142402082,142914102,141857544
12367,143328406,142402081,142914101,141857543
12368,143328378,142402080,142914100,141857541
12370,143328377,142402079,142914097,141857540
12371,143328376,142402077,142914096,141857539
12372,143328375,142402076,142914095,141857538
12373,143328294,142402075,142914094,141826972
12374,143328293,142402074,142914089,141826971
12375,143328292,142402073,142914088,141826970
12376,143328291,142402072,142914087,141826969
12377,143328290,142402069,142914086,141826968
12378,143328289,142402068,142914085,141826967
12379,143328288,142402066,142914084,141826966
12381,143328287,142402065,142914083,141826965
12382,143328286,142402064,142914082,141826964
12383,143328285,142402063,142914081,141826963
12384,143328247,142402062,142914080,141826928
12385,143328246,142402061,142914079,141826927
12386,143328245,142402060,142914078,141826922
12387,143328244,142402059,142914077,141826890
12388,143328243,142402058,142914076,141826889
12390,143328242,142402057,142914075,141826840
12392,143328241,142402056,142914074,141826839
12393,143328240,142402055,142914073,141826617
12394,143328239,142402054,142914072,141826616
12395,143328166,142402053,142914071,141826614
12396,143328165,142402052,142914070,141826613
12397,143328164,142402051,142914069,141826612
12398,143328163,142402050,142914068,141826611
12399,143328162,142402049,142914067,141826609
