Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5
100079526,100102239,100037731,100243800,100536806
100070234,100168346,100075015,100176914,100063040
100144407,100172372,100461472,100228409,100166368
100144406,100188150,100456135,100057415,100374766
100154800,100139754,100458807,100189156,100116330
100041283,100168916,100454712,100188614,100317322
100134850,100193539,100131430,100477202,100381119
100078415,100139740,100112403,100477169,100374754
100069078,100174670,100131244,100459706,100381114
100125276,100168341,100056640,100177063,100380342
100059629,100192823,100075357,100178294,100379528
100115700,100130300,100107566,100175967,100457275
100115706,100139705,100070153,100176249,100154105
100068925,100158668,100032896,100152622,100106900
100096933,100479055,100060789,100095745,100384986
100059489,100480643,100051400,100183444,100380323
100153437,100479136,100126434,100183075,100109605
100134443,100478134,100126416,100182800,100343957
100049993,100646100,100116960,100357268,100376395
100087363,100646118,100126412,100355106,100534353
100087350,100518871,100117022,100352002,100322611
100096610,100351852,100117016,100359884,100418092
100077878,100352094,100079471,100533555,100109601
100162474,100200766,100079468,100361934,100116297
100096604,100200191,100117008,100034781,100317174
100153117,100200825,100051436,100096075,100097496
100068578,100479489,100098170,100352517,100417692
100153099,100300881,100088830,100267697,100063036
100143572,100300833,100088810,100359086,100044442
100124785,100479262,100098172,100359808,100025777
100068528,100479341,100079437,100555740,100063010
100115268,100479280,100051409,100178265,100166345
100059171,100479278,100107573,100178773,100166337
100153047,100200368,100068878,100533914,100109761
100087208,100555608,100060786,100100084,100465141
100143517,100555571,100070184,100100708,100291558
100040575,100301222,100079457,100411989,100322654
100134123,100628002,100098161,100227999,100317369
100059063,100479329,100078574,100240850,100096919
100115092,100621521,100079482,100239086,100166047
100133940,100621427,100107582,100096649,100166054
100143330,100549937,100023517,100530882,100109627
100133944,100626938,100079479,100555735,100371331
100086984,100591854,100107604,100533687,100058704
100077486,100283420,100126462,100100125,100465061
100162096,100583714,100060837,100100042,100465050
100049458,100637315,100088851,100034724,100322602
100124460,100566139,100070190,100095604,100622189
100152679,100322855,100126454,100618210,100465453
100162019,100607492,100051410,100271290,100162085
100021445,100561391,100088835,100347328,100317259
100133640,100325240,100114643,100347894,100115080
100161954,100325246,100463886,100421848,100417866
100058636,100325254,100455765,100420800,100161539
100124281,100591790,100462505,100583243,100162196
100161914,100393260,100395771,100618216,100124565
100077205,100591822,100396178,100530032,100067846
100125699,100550137,100395673,100269297,100105649
100124206,100271066,100395672,100583302,100021574
100144514,100659478,100632685,100529868,100100270
100164291,100659411,100605314,100197560,100166166
100067894,100403559,100605232,100268918,100166173
100161772,100648746,100449948,100269638,100100281
100133410,100219999,100395646,100271138,100062842
100058361,100220696,100395147,100270495,100166183
100107776,100346281,100395146,100555724,100166214
100051628,100573225,100032845,100580525,100062870
100164279,100607479,100145268,100530391,100081545
100058321,100499548,100634625,100527909,100100315
100086444,100626923,100205795,100529836,100100348
100154048,100549748,100276161,100270823,100109679
100152257,100612610,100205584,100269517,100166257
100086427,100268242,100600666,100268486,100062915
100048984,100272457,100098145,100268193,100062919
100107773,100341619,100125156,100271300,100100358
100135064,100340732,100394949,100580380,100025674
100161597,100341244,100649401,100398107,100100367
100048975,100341115,100205655,100582020,100166270
100152230,100339729,100456224,100583315,100062932
100086387,100268504,100461611,100580814,100025746
100105071,100270211,100633043,100583808,100173856
100116262,100270747,100161492,100651190,100100464
100133248,100271025,100145296,100265210,100063035
100050705,100588611,100098184,100555635,100044461
100095636,100271255,100117011,100581887,100109576
100133226,100344712,100107583,100641602,100081434
100095648,100526443,100079436,100268090,100081431
100067621,100619330,100164073,100267986,100044198
100069448,100340710,100145244,100456926,100100192
100048921,100341095,100116972,100629126,100100180
100142587,100340337,100135745,100372165,100062743
100133145,100344527,100060806,100370281,100062742
100125684,100296398,100032856,100499659,100166070
100161348,100269924,100135736,100499338,100062710
100161318,100268693,100126414,100497463,100062686
100123592,100271234,100154719,100583998,100100135
100095354,100528817,100145218,100528634,100100130
100114106,100320076,100098136,100580125,100172697
100151943,100271222,100135718,100580550,100106598
100067369,100268919,100115677,100641593,100078381
100151938,100487733,100457192,100581648,100162938
100076664,100234125,100463168,100267681,100115731
100123571,100341333,100459172,100267608,100096896
100032170,100340435,100371424,100266178,100115650
100132888,100340953,100458379,100372912,100068310
100076637,100340819,100394975,100370309,100124699
100151888,100341571,100632442,100351279,100417603
100142303,100340163,100605189,100348730,100068298
100057906,100267662,100519429,100631963,100115082
100142306,100268900,100599020,100629486,100077253
100164261,100282585,100598982,100264971,100313600
100132859,100526205,100605206,100348581,100162168
100061008,100484019,100634626,100348610,100114484
100057884,100289514,100649610,100529840,100372327
100095280,100215222,100600651,100583275,100536802
100164256,100215603,100619735,100528435,100381065
100132797,100286426,100619734,100631906,100457916
100078719,100288745,100553669,100266679,100574380
100048565,100339504,100395114,100348023,100378684
100135048,100214447,100395137,100583313,100378687
100106827,100543595,100459199,100581300,100378681
100078717,100240600,100074760,100630896,100372285
100057858,100501238,100075612,100269740,100377863
100095178,100216674,100075559,100268608,100457893
100154025,100216296,100075029,100270447,100373878
100022715,100624875,100074992,100422670,100358609
100022714,100316494,100454908,100421466,100379457
100142129,100212849,100075551,100650463,100575368
100069426,100212848,100088839,100631959,100575367
100050678,100338765,100076632,100630430,100380947
100135925,100233469,100131797,100629275,100572612
100125657,100515892,100088866,100268326,100574614
100070329,100313883,100454115,100270019,100575634
100088114,100288705,100135763,100268622,100374532
100141927,100559738,100135750,100270945,100372158
100066949,100291216,100135724,100268286,100380109
100145438,100437174,100135716,100423144,100378521
100088992,100212460,100077106,100423108,100378520
100042378,100217012,100079448,100272027,100380887
100097433,100495522,100151923,100268364,100377685
100057556,100495450,100142156,100271655,100379274
100094925,100495429,100104490,100560650,100573896
100106816,100288692,100456139,100650653,100573351
100125648,100212827,100632924,100559499,100457026
100141879,100212822,100019681,100399032,100166383
100032150,100287167,100020280,100399912,100081704
100097430,100325036,100395472,100489304,100172710
100135037,100214737,100632502,100671695,100166354
100041460,100287508,100632429,100476890,100109793
100038909,100289765,100463631,100398794,100100452
100051570,100215859,100460858,100518958,100166344
100116221,100213563,100463570,100669114,100025770
100070315,100212796,100456875,100397005,100025760
100132351,100214728,100463562,100639455,100109759
100057408,100216977,100649551,100398792,100025740
100113508,100212793,100634613,100397910,100109743
100097422,100213560,100619862,100518698,100100403
100141740,100216974,100619785,100671683,100109729
100123042,100211645,100649440,100671669,100025703
100094771,100435302,100649566,100284830,100173276
100094770,100559668,100649539,100518767,100166277
100020134,100559569,100649437,100518569,100166258
100048052,100285639,100352013,100668475,100109671
100164232,100286001,100351854,100560582,100166239
100060968,100288246,100619620,100622854,100062887
100160627,100285266,100619801,100669039,100109663
100051565,100214700,100659932,100558012,100062886
100104074,100211999,100046028,100282051,100166226
100154872,100215077,100051452,100622840,100100316
100135028,100216570,100121089,100621552,100166199
100125638,100288650,100047605,100623343,100166187
100163325,100213939,100047504,100295578,100109626
100135025,100211612,100066378,100475532,100109625
100132016,100212386,100047815,100475197,100166167
100098308,100211988,100051424,100475475,100100264
100085132,100290425,100015898,100475576,100109603
100088968,100236732,100123148,100475572,100062815
100145401,100237245,100124185,100475545,100100257
100019820,100559666,100123174,100623847,100166149
100078684,100559606,100123352,100622258,100322451
100042341,100451123,100015895,100522262,100465444
100060944,100237386,100066306,100479831,100465445
100103775,100236659,100123754,100476962,100465433
100066351,100610178,100015659,100479473,100465452
100135020,100610258,100085814,100623331,100322685
100084978,100239989,100086649,100521507,100417609
100116205,100652747,100029758,100475486,100322777
100106802,100652703,100029754,100475190,100322689
100150839,100652746,100030126,100622856,100322537
100150821,100213115,100030564,100518940,100322651
100160240,100212747,100030242,100622839,100322464
100144441,100213493,100036685,100518972,100322543
100038255,100211591,100018435,100522436,100417920
100135878,100215435,100103735,100521960,100418059
100084866,100213108,100104034,100475521,100417818
100122496,100216147,100103728,100479780,100291643
100050638,100216532,100105639,100639558,100291605
100069380,100284841,100105592,100480085,100291549
100069379,100286309,100057199,100282577,100291560
100135865,100288606,100084323,100282042,100465466
100070270,100287823,100104197,100637840,100465448
100060909,100168009,100084899,100637890,100417887
100088934,100067286,100084012,100487759,100417989
100069376,100180220,100106045,100490538,100291622
100093877,100180552,100057281,100487609,100322694
100065882,100171934,100058409,100479229,100417777
100060050,100186245,100115385,100477040,100322517
100097390,100188749,100058090,100477236,100343847
100106782,100057264,100056677,100399513,100296619
100135003,100075964,100058410,100623322,100296594
100126518,100175425,100056897,100476888,100296603
100163292,100174814,100057436,100281570,100109507
100078662,100141597,100114242,100399672,100062696
100116181,100173646,100632937,100397949,100100151
100135841,100085109,100634612,100521149,100166057
100050613,100170737,100029095,100550217,100166058
100051502,100181258,100060826,100523274,100062725
100060037,100047672,100060818,100526480,100109525
100088064,100047525,100070172,100657572,100109533
100041417,100171292,100070170,100524255,100062735
100069359,100190722,100050334,100525534,100166078
100144410,100160156,100125153,100621413,100109541
100125605,100193251,100126445,100591836,100044186
100106767,100188224,100060805,100621327,100166088
100117081,100188223,100040271,100621344,100100184
100106765,100168413,100107556,100621412,100062761
100042296,100131542,100038868,100416175,100109556
100134984,100173604,100068516,100657558,100166103
100115979,100186680,100102774,100523142,100109565
100134849,100112696,100039025,100523624,100044217
100059898,100093924,100067069,100523481,100044218
100078477,100140901,100070199,100526301,100100221
100116019,100122212,100039081,100524461,100100223
100163004,100173598,100094984,100025359,100166125
100022348,100170112,100040420,100041208,100100227
100068717,100150400,100067489,100657575,100166133
100068620,100179828,100048740,100526540,100166137
100143653,100194312,100107607,100524437,100109589
100124798,100037887,100126467,100618559,100360680
100049859,100186186,100060804,100620748,100359233
100049854,100188212,100027804,100191539,100373994
100143510,100037824,100038278,100657551,100375637
100021843,100173593,100038277,100657576,100376439
100115218,100189157,100066910,100658622,100358645
100068425,100189158,100094234,100657554,100360400
100059075,100056383,100038266,100191536,100573929
100077630,100196148,100038993,100188296,100456627
100114974,100191070,100042258,100039338,100535757
100152753,100168403,100126465,100657532,100373963
100058832,100192536,100038425,100612712,100372346
100162078,100150195,100029179,100612693,100536279
100133813,100159700,100103371,100618242,100534349
100096197,100187705,100103138,100551548,100050779
100114931,100037769,100037964,100549840,100106931
100162059,100056219,100301566,100160947,100163442
100162055,100140604,100497908,100550040,100097534
100161923,100172432,100499870,100618234,100163437
100152390,100191064,100498626,100020270,100116319
100067903,100150050,100498263,100618434,100106887
100021201,100182659,100500098,100094794,100106872
100124039,100175337,100443854,100192204,100116291
100049053,100121883,100499854,100193655,100097489
100058366,100159546,100498328,100536560,100154107
100039791,100177438,100497545,100620713,100125725
100114363,100074799,100001002,100612704,100116317
100067645,100176496,100001657,100612711,100097483
100133081,100084125,100439626,100618211,100125722
100114254,100173001,100225248,100187771,100125724
100114199,100046561,100225154,100536259,100125712
100114195,100170051,100254395,100535101,100106937
100114167,100065036,100225171,100160613,100125780
100067339,100149442,100427083,100549916,100125773
100057902,100102361,100428339,100550060,100154099
100113929,100168356,100253582,100160456,100097507
100057857,100167774,100429245,100172489,100106879
100095168,100102359,100477990,100038508,100163419
100039273,100111635,100298370,100094431,100097484
100057777,100130397,100225149,100536940,100125719
100095155,100121148,100392642,100613124,100163406
100161086,100175882,100428710,100612685,100154064
100132696,100186607,100264336,100094363,100050318
100132665,100189596,100427594,100181252,100391450
100057748,100121081,100253702,100184679,100345157
100161040,100074137,100349231,100657530,100485753
100029864,100190114,100016645,100618411,100322849
100151662,100189093,100351195,100612737,100278227
100048365,100121080,100016433,100657535,100597598
100029787,100175869,100478035,100658639,100485446
100141942,100193884,100264323,100536703,100278588
100038999,100092758,100264343,100534081,100278577
100094844,100192477,100225208,100536680,100536626
100076065,100168913,100225258,100534934,100536623
100047991,100175868,100351223,100536735,100378685
100122892,100168337,100253243,100618503,100536539
100019860,100178760,100351219,100534612,100062833
100038481,100178091,100350895,100534032,100166171
100094339,100194615,100159730,100524625,100166161
100047642,100195336,100617191,100522928,100166139
100094334,100158662,100616969,100525289,100062715
100150872,100139669,100617695,100524858,100062701
100047497,100158659,100225131,100525087,100081388
100141196,100611769,100225172,100522638,100166052
100094015,100288191,100402212,100534452,100100143
100205406,100429044,100065184,100537034,100100141
100530782,100574223,100547370,100549789,100109513
100413788,100312965,100549100,100551615,100100138
100566491,100279352,100066335,100551494,100081377
100510299,100528960,100065182,100315098,100109497
100487946,100121252,100064451,100591696,100173848
100508811,100243271,100547367,100428300,100096892
100505681,100429386,100064917,100428880,100068866
100208656,100083763,100065177,100429428,100096880
100557281,100056329,100065243,100429420,100124953
100009305,100172443,100066448,100591905,100049886
100540088,100170694,100098624,100260760,100105980
100540096,100159922,100098659,100662549,100115281
100542241,100186683,100098686,100435601,100077809
100605585,100113105,100098680,100414539,100115174
100370704,100190231,100098618,100414410,100115170
100376310,100066651,100098609,100261903,100049683
100379451,100141775,100205885,100286924,100049676
100455830,100132452,100490316,100468333,100068400
100456541,100104422,100489977,100344335,100162241
100459200,100066955,100490732,100315193,100105614
100427310,100151562,100489200,100627265,100322519
100380998,100076287,100640194,100627272,100417820
100458533,100066992,100016436,100627271,100316981
100376293,100066991,100205472,100627270,100317417
100380218,100184731,100412780,100626906,100316879
100499963,100168485,100617666,100626872,100343733
100421183,100167906,100016356,100233030,100343936
100419926,100039110,100476730,100282358,100343956
100421959,100104529,100519795,100282453,100291590
100421683,100039211,100016296,100281547,100322585
100373062,100177855,100016295,100282683,100322433
100456530,100181281,100016242,100627254,100322513
100462556,100185784,100016289,100627280,100322718
100377058,100190254,100245827,100282489,100322462
100453751,100178185,100245429,100286475,100322564
100457857,100178850,100245534,100291197,100322563
100453750,100194011,100244916,100288751,100322668
100460486,100194399,100079886,100232052,100322627
100372245,100067287,100079936,100364862,100322737
100455125,100104682,100245413,100285312,100322459
100374610,100095272,100245073,100325158,100322535
100376277,100076573,100245962,100652230,100322477
100377044,100076574,100245092,100653419,100322534
100374611,100104683,100245207,100664836,100316978
100369869,100151833,100079893,100652171,100611557
100455774,100039372,100079933,100650742,100417729
100375462,100048619,100079894,100321730,100417728
100327778,100076660,100312290,100277089,100417869
100419157,100095352,100599977,100072066,100296633
100421391,100168513,100599959,100192020,100465478
100463152,100123736,100079902,100165956,100465461
100614735,100193683,100079963,100165955,100418111
100421892,100133084,100079910,100156535,100290941
100456490,100048840,100079943,100072041,100317026
100461103,100177536,100599943,100090646,100291546
100380176,100170229,100599983,100165934,100418136
100374581,100186785,100599904,100072037,100417842
100281074,100086475,100600017,100281654,100417679
100456481,100177891,100079967,100289961,100322753
100280322,100171986,100123509,100281687,100322500
100523911,100180267,100123962,100288081,100322576
100523799,100178538,100361112,100414163,100322499
100460401,100095796,100600013,100602794,100322447
100461024,100077083,100600015,100276647,100317411
100523904,100192259,100122605,100199018,100317024
100413924,100167950,100122983,100198429,100465131
100414111,100183313,100361141,100199191,100465058
100414168,100105321,100599912,100281902,100343892
100227738,100142924,100599898,100414058,100343856
100228037,100170828,100599910,100504909,100322749
100375360,100173762,100599982,100591809,100154123
100526735,100049392,100599902,100315293,100116336
100370563,100124409,100599939,100315000,100116294
100633672,100086865,100599953,100315218,100097493
100327214,100086891,100132399,100323076,100097485
100327775,100040256,100133507,100323072,100154067
100327994,100133807,100134024,100323063,100154059
100327553,100040259,100134666,100323078,100116274
100454976,100162087,100599932,100323070,100163393
100327549,100182817,100600024,100325260,100163395
100376898,100152921,100016268,100325226,100116017
100453597,100162255,100016438,100417180,100251754
100633759,100059019,100133506,100346513,100465231
100633583,100184795,100139413,100292385,100154066
100633311,100152944,100140183,100511883,100106875
100280314,100115203,100489624,100512431,100162493
100213782,100184295,100489113,100514014,100162287
100458327,100185844,100490881,100514549,100106331
100457678,100187875,100490024,100607216,100096941
100460298,100068517,100016383,100518185,100059585
100238493,100175537,100016322,100516489,100485688
100632435,100170872,100140184,100516285,100067557
100414493,100134265,100490435,100516497,100296564
100463001,100176182,100489652,100516872,100095800
100455604,100081753,100016409,100517276,100096260
100527069,100175059,100206024,100516681,100296578
100527027,100072505,100205764,100517472,100343915
100632774,100189918,100205641,100518226,100095394
100633211,100100599,100488689,100514052,100048563
100647607,100081857,100488637,100516520,100536536
100647585,100100648,100016404,100516703,100278356
100380774,100147730,100016264,100511437,100067248
100374384,100289040,100205601,100058976,100112305
100238569,100325201,100205474,100187868,100067247
100238345,100287162,100647288,100068392,100093078
100569825,100215877,100095877,100059039,100161143
100633376,100611299,100136211,100059189,100095179
100633742,100611249,100351180,100068621,100486374
100614786,100639498,100136269,100040967,100251372
100214530,100543766,100420940,100162856,100483836
100327424,100646381,100420481,100068966,100384896
100456257,100216654,100136237,100041165,100531263
100342793,100216293,100136181,100187909,100005323
100455581,100198955,100136277,100185890,100112550
