Item_Number1,Item_Number2,Item_Number3
101650662,101622589,101737642
101648983,101459174,101663316
101663696,101535654,101756675
101793926,101430749,101580622
101765127,101602588,101774711
101792665,101457655,101765416
101640489,101624580,101792893
101787611,101626423,101790134
101808018,101526671,101659272
101718572,101526694,101750786
101775124,101581293,101771108
101797395,101524372,101840818
101789835,101490577,101840880
101653108,101586999,101840922
101781808,101585196,101954888
101782055,101585557,101760682
101791969,101562295,101737526
101812432,101521565,101844500
101745398,101521466,101780815
101634634,101600409,101775265
101768392,101789597,101658715
101746010,101567883,101771056
101651271,101644786,101812472
101657021,101844585,101813023
101790401,101841816,101715353
101679552,103120504,101800828
101658413,103120952,101647197
101840332,101846400,101754256
101757955,103196648,101688981
101759456,101801938,101658592
101845678,101802682,101813384
101811281,101649792,101778707
101840625,101748977,101664977
101840977,101657994,101640479
101642656,101778051,101730443
101811625,101799565,101789349
101689712,101790340,101845824
101802705,101778976,101763467
101685525,101818128,101804050
101792535,101791937,101744715
101665067,101817124,101776629
101737690,101743430,101797908
101646019,101799435,101805710
101646424,101845891,101723033
101794789,101761776,101785438
101658197,101816801,101800242
101803995,101638556,101764301
101955362,101747751,101846505
101521938,101801271,101804461
101522485,103195495,101811346
101524658,103195584,101792302
101430575,101813000,101954424
101524025,101813215,101688282
101611873,101802175,101748269
101525598,101679587,101774329
101525954,101641386,101644157
101526505,101817447,101797945
101443381,101817503,101812536
101603923,101783554,101839792
101456551,101772521,101653158
101455196,101682160,101732940
101523903,101817648,101780865
101520790,101817848,101746674
101457299,101817473,101657889
101596163,101687475,101840376
101525590,101765068,101791929
101597029,101781190,101798870
101526059,101705999,101648720
101592907,101818968,101652676
101520619,101753300,101840242
101598523,101727975,101818376
101521863,101693256,101840930
101520711,101664318,101817752
101521780,101647312,101654285
101586394,101798704,101796324
101430819,101794946,101844458
101521521,101736995,101663462
101523994,101840136,101784069
101522091,101755227,101818329
101410419,101817649,101684935
101584028,101816840,101818402
101525318,101760411,101818673
101599312,101693241,101746484
101594535,101811924,101640719
101580525,101644156,101751141
101524901,101679560,101642741
101535982,101845257,101644357
101460952,101845522,101752284
101525820,101758259,103197437
101459021,101844657,101737334
101600943,101740332,101641896
101521360,101766943,101741310
101522728,101818472,101677991
101583075,101760815,101662928
101512623,101750011,101796346
101583779,101791173,101813226
101453405,101845386,101818432
101522484,101816889,101645827
101447197,101845411,101667935
101523396,101748886,101648259
101591323,101653626,101741188
101523084,101816960,101664497
101458698,101817417,101813488
101455574,101763194,101754577
101522059,101812921,101816817
101523000,103195527,101648205
101430430,101846449,101789626
101522257,101765517,101794031
101535462,101762958,101818960
101524681,101800790,101844546
101461404,101635793,101772722
101526125,101797483,101840931
101630533,101742011,101769117
101525340,101746007,101795164
101443338,101773392,101807458
101526632,101802763,101664376
101525718,101714146,101783033
101522472,101773280,101845620
101445944,101811415,101845825
101598994,101639991,101840137
101525985,101746036,101845952
101576614,101741768,101761984
101452133,101812904,101841321
101454206,101678782,101651998
101592995,101680730,101817320
101593391,101659603,101845954
101522034,101795434,101640291
101594256,101747635,101764846
101520736,101844676,101654821
101521035,101696209,101845816
101524742,101730861,101845880
101631407,101810349,101679284
101536096,101816153,101817735
101526696,101798596,101810959
101581886,101750986,101810992
101454721,101666353,101640299
101522253,101739343,101817967
101453644,101718568,101663829
101523617,101667295,101656912
101551112,101732966,101658806
101455927,101714732,101840769
101594261,101682360,101955330
101443388,101734856,101845193
101448789,101846634,101818201
101601237,101755878,101818585
101443608,101635449,101700325
101526602,101817767,101782140
101535985,101740283,101811607
101595336,101766028,101749371
101595622,101737050,101706740
101618109,101649520,101780889
101435453,101652259,101639483
101522272,101664926,101658340
101440425,101818584,101650733
101584225,101818664,101665550
101522596,101676858,101773426
101460132,101724244,101642415
101522238,101781372,101812183
101445926,101742283,101785622
101586372,101651973,101812985
101446633,101656884,101846392
101522817,101787745,101640227
101522483,101678633,101818474
101592023,101777851,101744099
101523429,101676299,101752382
101600166,101677390,101719976
101536104,101692560,101811923
101602049,101787746,101797896
101453070,101653951,101773728
101525249,101724329,101638933
101600309,101676758,103196687
101525204,101707976,103195583
101586593,101662501,101697910
101540450,101719918,101776165
101430577,101662902,101844800
101613231,101658160,101745793
101613362,101744289,101804119
101587708,101759122,101635036
101596080,101791334,101667740
101449147,101696487,101747337
101521744,101846635,101839617
101440748,101807229,101771585
101602220,101773148,101812967
101523905,101740387,101664925
101594136,101802888,101635763
101444958,101808493,101817631
101405451,101642761,101797256
101443969,101794370,101637802
101601422,101797769,101812082
101525867,101799190,101634998
101601938,101776795,101655246
101525673,101792250,101743982
101522636,101794944,101839744
101526593,101762795,101840008
101523509,101744613,101700593
101523588,101770141,101638725
101596639,101771186,101774572
101524876,101793728,101840435
101524744,101770121,101818216
101591926,101767715,101798059
101578052,101769858,101655497
101526189,101657995,101639816
101589315,101636761,101782921
101514231,101818295,101839614
101522858,101649099,101756908
101565304,101800399,101798942
101521119,101654683,101703317
101587882,101758282,101844692
101597671,101845828,101784070
101574713,101702749,101786671
101520998,101683207,101781573
101592953,101791967,101845082
101590357,101687454,101724341
101584331,101525568,101665366
101525465,101584858,101782947
101525448,101521311,101846424
101535470,101521456,101788791
101520907,101526641,101846008
101605576,101591181,101733800
101523076,101522042,101817923
101535600,101525478,101818019
101522399,101602179,101766696
101522727,101584050,101649411
101523770,101600170,101650194
101524390,101561405,101661692
101525234,101592207,101785476
101594926,101597827,101754113
101595273,101616215,101758446
101524963,101597868,101664458
101525475,101592783,101734715
101520946,101598724,101661925
101596498,101599805,101633335
101524024,101583823,101657769
101523484,101591059,101646049
101566649,101600604,101676455
101596595,101595125,101813079
101598968,101593877,101805546
101597042,101520611,101679590
101564747,101603285,101665155
101580384,101614987,101840267
101589516,101520692,101744202
101451226,101520709,101664328
101598725,101588594,101785396
101610037,101583160,101732392
101617418,101614339,101681048
101588149,101521947,101688439
101599531,101523016,101704711
101596879,101593317,101846568
101591818,101589758,101653488
101622972,101525987,101704093
101522850,101523051,103195623
101523801,101593668,101655213
101599063,101599026,101740991
101599910,101522668,103196743
101491473,101594082,101750973
101566315,101522487,101655486
101594825,101599494,101759409
101603237,101606345,101773317
101623218,101524306,101811736
101522099,101592604,101647109
101430748,101524817,101795080
101569799,101602590,101841184
101590288,101605638,101774424
101592445,101596905,101749095
101525819,101525953,101808198
101525894,101521946,101776975
101524475,101535420,101764174
101582874,101450453,101762536
101618420,101594205,101954425
101574955,101449756,101805444
101522918,101521781,101793956
101844427,101451117,101458398
101787870,101456960,101442058
101649098,101586426,101524713
101641572,101589634,101521095
101817775,101535671,101593116
101788651,101561393,101525938
101772617,101521216,101555183
101737119,101622326,101522101
101645524,101520737,101430611
103197535,101443350,101523225
101846352,101583949,101522748
101846457,101597517,101461226
101740123,101587490,101566565
101809850,101455673,101444740
101753793,101522712,101510952
101664042,101522384,101568152
101800083,101520782,101524011
101753418,101453215,101521038
101653628,101458511,101522597
101676469,101525479,101405467
101785696,101588784,101540489
101817889,101584107,101522749
101745591,101601778,101525935
101761689,101617206,101562284
101680227,101525205,101525178
101677066,101525363,101522653
101767735,101452469,101520693
101679158,101524290,101520966
101761422,101526623,101430750
101764117,101520942,101524389
101647961,101524095,101523625
101818103,101449789,101523895
101771452,101605220,101523802
103196751,101449457,101521895
101679580,101522833,101525466
101767608,101580734,101522297
101817375,101453147,101430576
101817448,101599360,101559123
101754105,101599794,101524288
101757970,101521247,101523707
101791351,101450475,101449732
101676656,101596948,101524373
101646102,101522431,101522595
101714637,101523093,101430610
101818393,101524048,101430816
101706843,101589006,101526603
101718643,101594910,101576211
101705201,101522287,101514269
101734380,101525166,101554941
101756683,101456608,101520658
101787601,101522221,101524780
101654464,101525408,101524333
101756645,101520890,101512714
103120481,101521501,101524726
101846578,101435516,101514819
101695692,101521583,101521008
101686336,101522229,101535920
103121505,101405459,101430535
101769060,101572898,101510718
101697902,101548656,101550190
101646217,101526585,101535800
101737189,101596593,101540425
101659789,101592446,101435563
101660145,101486524,101526640
101792817,101430628,101526704
101773850,101617566,101435515
101774361,101599227,101522296
101679251,101523184,101523904
101807671,101430557,101564160
101707431,101595888,101521956
101661267,101523329,101763843
101776492,101521310,101741247
101794733,101521705,101722060
101784068,101589347,101741275
101790209,101589729,101767998
101788116,101524057,101678572
101662510,101521040,101777309
101806064,101524463,101720929
101697365,101521391,101799183
101813417,101591620,101776831
101650602,101598880,101804076
101816513,101584963,101799219
101816800,101521799,101800532
101798480,101540488,101739680
101775984,101592282,101724213
101683632,101604847,101808138
101791670,101525361,101749824
101730624,101520774,101642627
101812762,101526126,101666108
101817321,101448608,101651461
101769179,101521801,101733371
101778367,101588228,101635482
101801114,101594597,101710735
101637459,101522834,101786842
101637895,101525372,101772200
101637140,101582700,101743240
101799118,101430565,101722071
101817647,101524033,101522825
101765108,101601804,101522999
101652517,101514435,101430465
101770657,101582679,101525450
101806227,101602761,101525733
101653482,101587121,101525849
101773846,101599714,101526620
101639531,101625894,101452749
101754747,101514381,101535655
101801675,101589719,101535503
101639827,101564483,101453683
101747584,101602680,101444990
101784044,101522383,101435452
101762977,101521966,101523710
101657013,101629005,101510663
103120154,101523085,101457190
101790898,101620126,101522525
101791752,101604022,101443051
101758038,101569740,101447590
101662842,101581559,101522026
101695096,101588932,101447616
101782838,101520967,101522730
101753961,101520909,101568909
101718624,101525177,101461327
101758501,101521839,101523224
101722612,101535502,101520899
101816183,101583627,101524649
