Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5,Item_Number6,Item_Number7,Item_Number8,Item_Number9,Item_Number10,Item_Number11,Item_Number12,Item_Number13,Item_Number14,Item_Number15,Item_Number16,Item_Number17,Item_Number18,Item_Number19,Item_Number20,Item_Number21,Item_Number22,Item_Number23,Item_Number24,Item_Number25,Item_Number26,Item_Number27,Item_Number28,Item_Number29,Item_Number30,Item_Number31,Item_Number32,Item_Number33,Item_Number34,Item_Number35,Item_Number36,Item_Number37,Item_Number38,Item_Number39,Item_Number40,Item_Number41,Item_Number42,Item_Number43,Item_Number44,Item_Number45,Item_Number46,Item_Number47,Item_Number48,Item_Number49,Item_Number50,Item_Number51,Item_Number52,Item_Number53,Item_Number54,Item_Number55,Item_Number56,Item_Number57,Item_Number58,Item_Number59,Item_Number60,Item_Number61,Item_Number62,Item_Number63,Item_Number64,Item_Number65,Item_Number66,Item_Number67,Item_Number68,Item_Number69,Item_Number70,Item_Number71,Item_Number72,Item_Number73,Item_Number74,Item_Number75,Item_Number76,Item_Number77,Item_Number78,Item_Number79,Item_Number80,Item_Number81,Item_Number82,Item_Number83,Item_Number84,Item_Number85,Item_Number86,Item_Number87,Item_Number88,Item_Number89,Item_Number90,Item_Number91,Item_Number92,Item_Number93,Item_Number94,Item_Number95,Item_Number96,Item_Number97,Item_Number98,Item_Number99,Item_Number100
118701684,118701745,118701736,118701737,118701760,118701761,118701762,118701771,118701763,118701787,118701779,118701795,118701817,118701850,118701848,118701839,118701849,118701847,118701851,118701861,118701859,118701871,118701860,118701870,118701862,118701915,118701945,118701954,118701930,118701955,118701963,118701953,118701980,118701971,118701972,118702009,118702040,118702039,118702038,118702048,118702058,118702050,118702059,118702067,118702049,118702076,118702075,118702077,118702085,118702100,118702123,118702108,118702124,118702139,118702141,118702140,118702163,118702166,118702164,118702165,118702237,118702238,118702239,118702240,118702265,118702248,118702264,118702266,118702274,118702285,118702275,118702276,118702294,118702293,118702284,118702316,118702324,118702347,118702332,118702364,118702355,118702372,118702373,118702430,118702438,118702439,118702441,118702440,118702465,118702481,118702464,118702466,118702484,118702483,118702485,118702493,118702482,118702510,118702509,118702525
118702527,118702526,118702550,118702549,118702572,118702609,118702610,118702632,118702633,118702655,118702656,118702673,118702672,118702674,118702682,118702703,118702693,118702690,118702695,118702691,118702694,118702712,118702735,118702692,118702704,118702794,118702736,118702795,118702786,118702824,118702847,118702846,118702857,118702849,118702872,118702889,118702888,118702898,118702880,118702897,118702899,118702920,118702900,118702909,118702911,118702910,118702908,118702921,118702912,118702943,118702944,118702959,118703016,118703039,118703031,118703040,118703049,118703041,118703065,118703091,118703087,118703088,118703089,118703107,118703109,118703111,118703106,118703090,118703108,118703129,118703120,118703130,118703128,118703187,118703231,118703232,118703202,118703241,118703233,118703264,118703256,118703288,118703289,118703290,118703299,118703298,118703279,118703311,118703301,118703300,118703302,118703303,118703333,118703350,118703341,118703342,118703395,118703372,118703394,118703403
118703425,118703426,118703463,118703441,118703472,118703480,118703464,118703481,118703482,118703498,118703497,118703500,118703501,118703499,118703524,118703516,118703532,118703572,118703568,118703569,118703588,118703570,118703571,118703580,118703589,118703597,118703633,118703663,118703665,118703664,118703673,118703683,118703682,118703691,118703699,118703707,118703715,118703761,118703744,118703759,118703760,118703769,118703770,118703771,118703773,118703772,118703805,118703774,118703775,118703841,118703856,118703873,118703857,118703872,118703875,118703874,118703883,118703891,118703900,118703899,118703929,118703944,118703959,118703962,118703961,118703960,118703970,118703971,118703980,118703972,118703981,118704010,118704020,118704012,118704021,118704043,118704011,118704087,118704088,118704096,118704097,118704099,118704098,118704100,118704122,118704123,118704160,118704161,118704178,118704159,118704162,118704202,118704203,118704179,118704170,118704212,118704194,118704213,118704211,118704236
118704228,118704272,118704288,118704273,118704289,118704298,118704299,118704290,118704314,118704315,118704352,118704353,118704368,118704392,118704376,118704377,118704393,118704394,118704395,118704396,118704404,118704441,118704449,118704433,118704457,118704458,118704466,118704476,118704485,118704484,118704500,118704515,118704516,118704531,118704561,118704546,118704576,118704584,118704585,118704593,118704594,118704603,118704602,118704625,118704640,118704650,118704641,118704660,118704658,118704649,118704668,118704670,118704669,118704678,118704701,118704693,118704731,118704732,118704730,118704762,118704770,118704754,118704792,118704793,118704794,118704816,118704817,118704825,118704841,118704842,118704840,118704843,118704851,118704859,118704860,118704869,118704885,118704861,118704877,118704886,118704901,118704909,118704946,118704924,118704962,118704954,118704977,118704985,118704986,118704994,118705032,118705031,118705016,118705041,118705044,118705043,118705042,118705076,118705060,118705052
118705068,118705085,118705094,118705077,118705093,118705123,118705125,118705124,118705140,118705170,118705169,118705192,118705193,118705216,118705201,118705234,118705242,118705231,118705232,118705243,118705233,118705251,118705252,118705291,118705260,118705276,118705300,118705275,118705310,118705292,118705309,118705301,118705333,118705383,118705384,118705385,118705400,118705401,118705433,118705424,118705425,118705423,118705434,118705443,118705453,118705452,118705461,118705469,118705477,118705492,118705493,118705530,118705508,118705539,118705547,118705562,118705592,118705593,118705571,118705623,118705631,118705632,118705608,118705634,118705633,118705635,118705643,118705660,118705671,118705651,118705669,118705652,118705670,118705661,118705715,118705693,118705752,118705753,118705737,118705755,118705763,118705754,118705779,118705771,118705815,118705830,118705832,118705833,118705831,118705836,118705834,118705844,118705835,118705874,118705866,118705876,118705892,118705884,118705875,118705937
118705929,118705938,118705955,118705946,118705954,118705985,118705963,118706008,118705993,118706009,118706018,118706017,118706034,118706033,118706035,118706043,118706068,118706066,118706051,118706067,118706105,118706090,118706107,118706106,118706132,118706130,118706131,118706129,118706140,118706194,118706193,118706162,118706163,118706196,118706195,118706164,118706212,118706197,118706263,118706273,118706264,118706241,118706265,118706274,118706319,118706328,118706318,118706330,118706329,118706327,118706331,118706339,118706355,118706370,118706354,118706378,118706380,118706379,118706381,118706390,118706398,118706434,118706465,118706473,118706464,118706482,118706483,118706481,118706505,118706527,118706536,118706528,118706537,118706545,118706549,118706547,118706557,118706558,118706548,118706559,118706581,118706583,118706627,118706582,118706642,118706612,118706659,118706658,118706650,118706681,118706691,118706689,118706690,118706720,118706743,118706742,118706745,118706747,118706757,118706748
118706744,118706746,118706749,118706758,118706773,118706810,118706826,118706788,118706811,118706835,118706836,118706844,118706859,118706834,118706875,118706905,118706904,118706927,118706928,118706936,118706944,118706954,118706945,118706946,118706963,118706962,118706964,118706987,118706995,118706979,118707003,118707018,118707035,118707027,118707043,118707044,118707026,118707061,118707060,118707111,118707128,118707120,118707112,118707129,118707130,118707139,118707131,118707154,118707176,118707179,118707177,118707180,118707178,118707203,118707211,118707202,118707228,118707212,118707220,118707243,118707245,118707244,118707267,118707275,118707312,118707314,118707313,118707315,118707330,118707331,118707361,118707376,118707377,118707385,118707402,118707394,118707393,118707404,118707403,118707412,118707434,118707442,118707473,118707450,118707477,118707476,118707485,118707465,118707474,118707475,118707515,118707538,118707514,118707523,118707546,118707554,118707570,118707555,118707594,118707592
118707603,118707593,118707602,118707604,118707619,118707641,118707664,118707649,118707673,118707675,118707674,118707665,118707691,118707700,118707676,118707715,118707699,118707731,118707730,118707755,118707732,118707777,118707794,118707778,118707786,118707809,118707810,118707825,118707841,118707840,118707851,118707850,118707859,118707889,118707897,118707905,118707888,118707915,118707913,118707914,118707917,118707916,118707919,118707918,118707941,118707956,118707986,118707971,118707994,118708016,118708017,118708041,118708033,118708032,118708043,118708044,118708042,118708059,118708088,118708103,118708111,118708113,118708114,118708112,118708115,118708116,118708117,118708141,118708118,118708133,118708142,118708186,118708171,118708194,118708225,118708233,118708223,118708224,118708234,118708243,118708244,118708242,118708281,118708304,118708306,118708303,118708322,118708305,118708324,118708321,118708325,118708323,118708340,118708358,118708348,118708356,118708357,118708394,118708409,118708410
118708435,118708434,118708432,118708443,118708433,118708459,118708458,118708467,118708496,118708506,118708498,118708537,118708528,118708555,118708538,118708546,118708556,118708580,118708557,118708558,118708589,118708618,118708647,118708649,118708648,118708667,118708668,118708657,118708666,118708676,118708698,118708727,118708728,118708736,118708745,118708748,118708737,118708747,118708746,118708764,118708756,118708765,118708781,118708789,118708766,118708804,118708847,118708848,118708856,118708865,118708866,118708857,118708867,118708883,118708868,118708884,118708929,118708920,118708921,118708937,118708945,118708946,118708954,118708977,118708955,118708980,118708979,118708978,118708988,118708996,118709019,118709004,118709034,118709050,118709042,118709058,118709075,118709073,118709074,118709090,118709113,118709098,118709131,118709129,118709130,118709114,118709153,118709170,118709162,118709154,118709185,118709194,118709186,118709219,118709203,118709218,118709229,118709195,118709228,118709227
118709251,118709273,118709295,118709296,118709298,118709299,118709316,118709315,118709339,118709331,118709362,118709354,118709377,118709385,118709401,118709400,118709409,118709427,118709417,118709418,118709437,118709426,118709429,118709428,118709481,118709466,118709489,118709497,118709505,118709508,118709506,118709507,118709523,118709531,118709539,118709569,118709554,118709577,118709585,118709593,118709615,118709616,118709624,118709626,118709627,118709625,118709645,118709637,118709635,118709636,118709660,118709675,118709691,118709683,118709716,118709707,118709715,118709731,118709747,118709746,118709755,118709777,118709785,118709786,118709808,118709816,118709824,118709832,118709834,118709850,118709833,118709851,118709835,118709859,118709869,118709867,118709884,118709893,118709885,118709894,118709909,118709910,118709954,118709939,118709962,118709984,118709985,118709986,118710015,118710023,118710032,118710031,118710033,118710049,118710041,118710050,118710051,118710068,118710067,118710069
