ACTION,Option ID,SKU,Brand Size,Barcode Type,Barcode,Primary Ind
New,132742042,132742049,S,EAN13,2200002410366,Y
New,132742090,132742234,S,EAN13,2200002410380,Y
New,132742302,132742322,S,EAN13,2200002410397,Y
New,132742304,132742334,S,EAN13,2200002410410,Y
New,132742306,132742346,S,EAN13,2200002410434,Y
New,132742308,132742358,S,EAN13,2200002410458,Y
New,132742309,132742364,S,EAN13,2200002410465,Y
New,132742311,132742376,S,EAN13,2200002410489,Y
New,132742313,132742388,S,EAN13,2200002410502,Y
New,132742477,132742489,S,EAN13,2200002410526,Y
New,132742478,132742494,S,EAN13,2200002410533,Y
New,132742480,132742504,S,EAN13,2200002410557,Y
New,132742482,132742514,S,EAN13,2200002410571,Y
New,132742521,132742601,S,EAN13,2200002410595,Y
New,132742522,132742609,S,EAN13,2200002410601,Y
New,132742524,132742625,S,EAN13,2200002410625,Y
New,132742526,132742660,S,EAN13,2200002410649,Y
New,132742667,132742684,S,EAN13,2200002410656,Y
New,132742670,132742699,S,EAN13,2200002410670,Y
New,132742673,132742714,S,EAN13,2200002410694,Y
New,132742740,132742743,S,EAN13,2200002410717,Y
New,132742745,132742752,S,EAN13,2200002410724,Y
New,132742785,132742787,S,EAN13,2200002410748,Y
New,132743148,132743150,S,EAN13,2200002410762,Y
New,132743287,132743351,S,EAN13,2200002410786,Y
New,132743292,132743428,S,EAN13,2200002410793,Y
New,132743312,132743323,S,EAN13,2200002410816,Y
New,132743330,132743443,S,EAN13,2200002410830,Y
New,132743334,132743336,S,EAN13,2200002410854,Y
New,132743367,132743399,S,EAN13,2200002410861,Y
New,132743380,132743411,S,EAN13,2200002410885,Y
New,132743383,132743423,S,EAN13,2200002410908,Y
New,132759451,132759463,S,EAN13,2200002410922,Y
New,132759601,132759623,S,EAN13,2200002410939,Y
New,132759604,132759642,S,EAN13,2200002410953,Y
New,132759766,132759776,S,EAN13,2200002410977,Y
New,132759767,132759782,S,EAN13,2200002410984,Y
New,132759769,132759797,S,EAN13,2200002411004,Y
New,132759772,132759820,S,EAN13,2200002411028,Y
New,132760035,132760043,S,EAN13,2200002411042,Y
New,132760133,132760148,S,EAN13,2200002411059,Y
New,132760712,132760843,S,EAN13,2200002411073,Y
New,132760726,132760913,S,EAN13,2200002411097,Y
New,132760732,132760943,S,EAN13,2200002411110,Y
New,132760733,132760948,S,EAN13,2200002411127,Y
New,132760743,132760998,S,EAN13,2200002411141,Y
New,132760746,132761013,S,EAN13,2200002411165,Y
New,132760750,132761033,S,EAN13,2200002411189,Y
New,132760751,132761038,S,EAN13,2200002411196,Y
New,132760753,132761048,S,EAN13,2200002411219,Y
New,132760757,132761068,S,EAN13,2200002411233,Y
New,132760766,132761113,S,EAN13,2200002411257,Y
New,132760770,132761133,S,EAN13,2200002411264,Y
New,132760777,132761168,S,EAN13,2200002411288,Y
New,132760794,132761253,S,EAN13,2200002411301,Y
New,132760795,132761258,S,EAN13,2200002411318,Y
New,132760797,132761268,S,EAN13,2200002411332,Y
New,132760799,132761278,S,EAN13,2200002411356,Y
New,132760802,132761293,S,EAN13,2200002411370,Y
New,132760807,132761318,S,EAN13,2200002411387,Y
New,132761336,132761343,S,EAN13,2200002411400,Y
New,132761444,132761448,S,EAN13,2200002411424,Y
New,132762175,132762178,S,EAN13,2200002411448,Y
New,132762331,132762354,S,EAN13,2200002411455,Y
New,132762333,132762515,S,EAN13,2200002411479,Y
New,132762590,132763200,S,EAN13,2200002411493,Y
New,132763580,132763582,S,EAN13,2200002411516,Y
New,132763631,132763637,S,EAN13,2200002411523,Y
New,132763633,132763684,S,EAN13,2200002411547,Y
New,132763661,132763751,S,EAN13,2200002411561,Y
New,132763663,132763763,S,EAN13,2200002411585,Y
New,132763664,132763770,S,EAN13,2200002411592,Y
New,132763666,132763784,S,EAN13,2200002411615,Y
New,132763668,132763797,S,EAN13,2200002411639,Y
New,132763669,132763803,S,EAN13,2200002411646,Y
New,132763672,132763824,S,EAN13,2200002411660,Y
New,132763674,132763837,S,EAN13,2200002411684,Y
New,132763976,132763984,S,EAN13,2200002411707,Y
New,132763977,132763991,S,EAN13,2200002411714,Y
New,132763979,132764005,S,EAN13,2200002411738,Y
New,132764024,132764028,S,EAN13,2200002411752,Y
New,132764914,132764963,S,EAN13,2200002411776,Y
New,132765009,132765078,S,EAN13,2200002411783,Y
New,132765048,132765271,S,EAN13,2200002411806,Y
New,132765419,132765423,S,EAN13,2200002411820,Y
New,132765439,132765509,S,EAN13,2200002411844,Y
New,132765609,132766689,S,EAN13,2200002411851,Y
New,132766496,132766499,S,EAN13,2200002411875,Y
New,132766709,132766733,S,EAN13,2200002411899,Y
New,132767199,132767203,S,EAN13,2200002411912,Y
New,132768035,132768040,S,EAN13,2200002411929,Y
New,132768046,132768053,S,EAN13,2200002411936,Y
New,132768047,132768057,S,EAN13,2200002411943,Y
New,132768048,132768061,S,EAN13,2200002411950,Y
New,132768049,132768065,S,EAN13,2200002411967,Y
New,132768050,132768069,S,EAN13,2200002411974,Y
New,132768126,132768141,S,EAN13,2200002411981,Y
New,132768127,132768148,S,EAN13,2200002411998,Y
New,132768128,132768154,S,EAN13,2200002412001,Y
New,132768129,132768160,S,EAN13,2200002412018,Y
