Option ID,Element,Fibre,Percentage
138252683,1,AB,100
138252689,1,AB,100
138256272,1,AB,100
138256700,1,AB,100
138173455,1,AB,100
138173780,1,AB,100
138174562,1,AB,100
138174569,1,AB,100
138174573,1,AB,100
138176242,1,AB,100
138176347,1,AB,100
138200793,1,AB,100
138201255,1,AB,100
138201418,1,AB,100
138201420,1,AB,100
138201421,1,AB,100
138201426,1,AB,100
138201432,1,AB,100
138201441,1,AB,100
138201743,1,AB,100
138202425,1,AB,100
138202506,1,AB,100
138202508,1,AB,100
138202509,1,AB,100
138202510,1,AB,100
138226094,1,AB,100
138226107,1,AB,100
138226110,1,AB,100
138226422,1,AB,100
138226424,1,AB,100
138226426,1,AB,100
138226509,1,AB,100
138226831,1,AB,100
138227527,1,AB,100
138227873,1,AB,100
138236748,1,AB,100
138236752,1,AB,100
138236756,1,AB,100
138236773,1,AB,100
138236777,1,AB,100
138236793,1,AB,100
138236796,1,AB,100
138251988,1,AB,100
138252058,1,AB,100
138252059,1,AB,100
138252261,1,AB,100
138252454,1,AB,100
138252455,1,AB,100
138252681,1,AB,100
138256787,1,AB,100
