ACTION,Option ID,UDA ID,UDA Value
NEW,132541294,9,1
NEW,132541294,13,1
NEW,132541294,32,1
NEW,132541294,33,1
NEW,132541294,34,1
NEW,132541294,35,1
NEW,132541294,47,1
NEW,132541294,48,1
NEW,132541294,52,1
NEW,132541294,105,1
NEW,132541300,9,1
NEW,132541300,13,1
NEW,132541300,32,1
NEW,132541300,33,1
NEW,132541300,34,1
NEW,132541300,35,1
NEW,132541300,47,1
NEW,132541300,48,1
NEW,132541300,52,1
NEW,132541300,105,1
NEW,132541308,9,1
NEW,132541308,13,1
NEW,132541308,32,1
NEW,132541308,33,1
NEW,132541308,34,1
NEW,132541308,35,1
NEW,132541308,47,1
NEW,132541308,48,1
NEW,132541308,52,1
NEW,132541308,105,1
NEW,132542782,9,1
NEW,132542782,13,1
NEW,132542782,32,1
NEW,132542782,33,1
NEW,132542782,34,1
NEW,132542782,35,1
NEW,132542782,47,1
NEW,132542782,48,1
NEW,132542782,52,1
NEW,132542782,105,1
NEW,132542802,9,1
NEW,132542802,13,1
NEW,132542802,32,1
NEW,132542802,33,1
NEW,132542802,34,1
NEW,132542802,35,1
NEW,132542802,47,1
NEW,132542802,48,1
NEW,132542802,52,1
NEW,132542802,105,1
NEW,132542816,9,1
NEW,132542816,13,1
NEW,132542816,32,1
NEW,132542816,33,1
NEW,132542816,34,1
NEW,132542816,35,1
NEW,132542816,47,1
NEW,132542816,48,1
NEW,132542816,52,1
NEW,132542816,105,1
NEW,132542819,9,1
NEW,132542819,13,1
NEW,132542819,32,1
NEW,132542819,33,1
NEW,132542819,34,1
NEW,132542819,35,1
NEW,132542819,47,1
NEW,132542819,48,1
NEW,132542819,52,1
NEW,132542819,105,1
NEW,132542821,9,1
NEW,132542821,13,1
NEW,132542821,32,1
NEW,132542821,33,1
NEW,132542821,34,1
NEW,132542821,35,1
NEW,132542821,47,1
NEW,132542821,48,1
NEW,132542821,52,1
NEW,132542821,105,1
NEW,132543991,9,1
NEW,132543991,13,1
NEW,132543991,32,1
NEW,132543991,33,1
NEW,132543991,34,1
NEW,132543991,35,1
NEW,132543991,47,1
NEW,132543991,48,1
NEW,132543991,52,1
NEW,132543991,105,1
NEW,132543992,9,1
NEW,132543992,13,1
NEW,132543992,32,1
NEW,132543992,33,1
NEW,132543992,34,1
NEW,132543992,35,1
NEW,132543992,47,1
NEW,132543992,48,1
NEW,132543992,52,1
NEW,132543992,105,1
NEW,132543995,9,1
NEW,132543995,13,1
NEW,132543995,32,1
NEW,132543995,33,1
NEW,132543995,34,1
NEW,132543995,35,1
NEW,132543995,47,1
NEW,132543995,48,1
NEW,132543995,52,1
NEW,132543995,105,1
NEW,132543998,9,1
NEW,132543998,13,1
NEW,132543998,32,1
NEW,132543998,33,1
NEW,132543998,34,1
NEW,132543998,35,1
NEW,132543998,47,1
NEW,132543998,48,1
NEW,132543998,52,1
NEW,132543998,105,1
NEW,132544002,9,1
NEW,132544002,13,1
NEW,132544002,32,1
NEW,132544002,33,1
NEW,132544002,34,1
NEW,132544002,35,1
NEW,132544002,47,1
NEW,132544002,48,1
NEW,132544002,52,1
NEW,132544002,105,1
NEW,132544155,9,1
NEW,132544155,13,1
NEW,132544155,32,1
NEW,132544155,33,1
NEW,132544155,34,1
NEW,132544155,35,1
NEW,132544155,47,1
NEW,132544155,48,1
NEW,132544155,52,1
NEW,132544155,105,1
NEW,132544158,9,1
NEW,132544158,13,1
NEW,132544158,32,1
NEW,132544158,33,1
NEW,132544158,34,1
NEW,132544158,35,1
NEW,132544158,47,1
NEW,132544158,48,1
NEW,132544158,52,1
NEW,132544158,105,1
NEW,132544159,9,1
NEW,132544159,13,1
NEW,132544159,32,1
NEW,132544159,33,1
NEW,132544159,34,1
NEW,132544159,35,1
NEW,132544159,47,1
NEW,132544159,48,1
NEW,132544159,52,1
NEW,132544159,105,1
NEW,132544162,9,1
NEW,132544162,13,1
NEW,132544162,32,1
NEW,132544162,33,1
NEW,132544162,34,1
NEW,132544162,35,1
NEW,132544162,47,1
NEW,132544162,48,1
NEW,132544162,52,1
NEW,132544162,105,1
NEW,132544194,9,1
NEW,132544194,13,1
NEW,132544194,32,1
NEW,132544194,33,1
NEW,132544194,34,1
NEW,132544194,35,1
NEW,132544194,47,1
NEW,132544194,48,1
NEW,132544194,52,1
NEW,132544194,105,1
NEW,132544195,9,1
NEW,132544195,13,1
NEW,132544195,32,1
NEW,132544195,33,1
NEW,132544195,34,1
NEW,132544195,35,1
NEW,132544195,47,1
NEW,132544195,48,1
NEW,132544195,52,1
NEW,132544195,105,1
NEW,132546554,9,1
NEW,132546554,13,1
NEW,132546554,32,1
NEW,132546554,33,1
NEW,132546554,34,1
NEW,132546554,35,1
NEW,132546554,47,1
NEW,132546554,48,1
NEW,132546554,52,1
NEW,132546554,105,1
NEW,132546619,9,1
NEW,132546619,13,1
NEW,132546619,32,1
NEW,132546619,33,1
NEW,132546619,34,1
NEW,132546619,35,1
NEW,132546619,47,1
NEW,132546619,48,1
NEW,132546619,52,1
NEW,132546619,105,1
NEW,132546815,9,1
NEW,132546815,13,1
NEW,132546815,32,1
NEW,132546815,33,1
NEW,132546815,34,1
NEW,132546815,35,1
NEW,132546815,47,1
NEW,132546815,48,1
NEW,132546815,52,1
NEW,132546815,105,1
NEW,132547362,9,1
NEW,132547362,13,1
NEW,132547362,32,1
NEW,132547362,33,1
NEW,132547362,34,1
NEW,132547362,35,1
NEW,132547362,47,1
NEW,132547362,48,1
NEW,132547362,52,1
NEW,132547362,105,1
NEW,132547459,9,1
NEW,132547459,13,1
NEW,132547459,32,1
NEW,132547459,33,1
