ACTION,Option ID,UDA ID,UDA Value
NEW,132406532,9,1
NEW,132406532,13,1
NEW,132406532,32,1
NEW,132406532,33,1
NEW,132406532,34,1
NEW,132406532,35,1
NEW,132406532,47,1
NEW,132406532,48,1
NEW,132406532,52,1
NEW,132406532,105,1
NEW,132406639,9,1
NEW,132406639,13,1
NEW,132406639,32,1
NEW,132406639,33,1
NEW,132406639,34,1
NEW,132406639,35,1
NEW,132406639,47,1
NEW,132406639,48,1
NEW,132406639,52,1
NEW,132406639,105,1
NEW,132407283,9,1
NEW,132407283,13,1
NEW,132407283,32,1
NEW,132407283,33,1
NEW,132407283,34,1
NEW,132407283,35,1
NEW,132407283,47,1
NEW,132407283,48,1
NEW,132407283,52,1
NEW,132407283,105,1
NEW,132407293,9,1
NEW,132407293,13,1
NEW,132407293,32,1
NEW,132407293,33,1
NEW,132407293,34,1
NEW,132407293,35,1
NEW,132407293,47,1
NEW,132407293,48,1
NEW,132407293,52,1
NEW,132407293,105,1
NEW,132408346,9,1
NEW,132408346,13,1
NEW,132408346,32,1
NEW,132408346,33,1
NEW,132408346,34,1
NEW,132408346,35,1
NEW,132408346,47,1
NEW,132408346,48,1
NEW,132408346,52,1
NEW,132408346,105,1
NEW,132408347,9,1
NEW,132408347,13,1
NEW,132408347,32,1
NEW,132408347,33,1
NEW,132408347,34,1
NEW,132408347,35,1
NEW,132408347,47,1
NEW,132408347,48,1
NEW,132408347,52,1
NEW,132408347,105,1
NEW,132408351,9,1
NEW,132408351,13,1
NEW,132408351,32,1
NEW,132408351,33,1
NEW,132408351,34,1
NEW,132408351,35,1
NEW,132408351,47,1
NEW,132408351,48,1
NEW,132408351,52,1
NEW,132408351,105,1
NEW,132408491,9,1
NEW,132408491,13,1
NEW,132408491,32,1
NEW,132408491,33,1
NEW,132408491,34,1
NEW,132408491,35,1
NEW,132408491,47,1
NEW,132408491,48,1
NEW,132408491,52,1
NEW,132408491,105,1
NEW,132409040,9,1
NEW,132409040,13,1
NEW,132409040,32,1
NEW,132409040,33,1
NEW,132409040,34,1
NEW,132409040,35,1
NEW,132409040,47,1
NEW,132409040,48,1
NEW,132409040,52,1
NEW,132409040,105,1
NEW,132414497,9,1
NEW,132414497,13,1
NEW,132414497,32,1
NEW,132414497,33,1
NEW,132414497,34,1
NEW,132414497,35,1
NEW,132414497,47,1
NEW,132414497,48,1
NEW,132414497,52,1
NEW,132414497,105,1
NEW,132414533,9,1
NEW,132414533,13,1
NEW,132414533,32,1
NEW,132414533,33,1
NEW,132414533,34,1
NEW,132414533,35,1
NEW,132414533,47,1
NEW,132414533,48,1
NEW,132414533,52,1
NEW,132414533,105,1
NEW,132414976,9,1
NEW,132414976,13,1
NEW,132414976,32,1
NEW,132414976,33,1
NEW,132414976,34,1
NEW,132414976,35,1
NEW,132414976,47,1
NEW,132414976,48,1
NEW,132414976,52,1
NEW,132414976,105,1
NEW,132415493,9,1
NEW,132415493,13,1
NEW,132415493,32,1
NEW,132415493,33,1
