Action Type, Option ID,Location Type,Location ID,On-Query Reason Code
ADD,100000013,Parent Warehouse,FC01,15
ADD,100000026,Parent Warehouse,FC01,15
ADD,100000242,Parent Warehouse,FC01,15
ADD,100000257,Parent Warehouse,FC01,15
ADD,100000270,Parent Warehouse,FC01,15
ADD,100000303,Parent Warehouse,FC01,15
ADD,100000304,Parent Warehouse,FC01,15
ADD,100000305,Parent Warehouse,FC01,15
ADD,100000348,Parent Warehouse,FC01,15
ADD,100000391,Parent Warehouse,FC01,15
ADD,100000392,Parent Warehouse,FC01,15
ADD,100000483,Parent Warehouse,FC01,15
ADD,100000484,Parent Warehouse,FC01,15
ADD,100000489,Parent Warehouse,FC01,15
ADD,100000491,Parent Warehouse,FC01,15
ADD,100000499,Parent Warehouse,FC01,15
ADD,100000500,Parent Warehouse,FC01,15
ADD,100000512,Parent Warehouse,FC01,15
ADD,100000514,Parent Warehouse,FC01,15
ADD,100000517,Parent Warehouse,FC01,15
ADD,100000523,Parent Warehouse,FC01,15
ADD,100000524,Parent Warehouse,FC01,15
ADD,100000526,Parent Warehouse,FC01,15
ADD,100000530,Parent Warehouse,FC01,15
ADD,100000531,Parent Warehouse,FC01,15
ADD,100000543,Parent Warehouse,FC01,15
ADD,100000548,Parent Warehouse,FC01,15
ADD,100000549,Parent Warehouse,FC01,15
ADD,100000560,Parent Warehouse,FC01,15
ADD,100000561,Parent Warehouse,FC01,15
ADD,100000566,Parent Warehouse,FC01,15
ADD,100000570,Parent Warehouse,FC01,15
ADD,100000571,Parent Warehouse,FC01,15
ADD,100000577,Parent Warehouse,FC01,15
ADD,100000591,Parent Warehouse,FC01,15
ADD,100000597,Parent Warehouse,FC01,15
ADD,100000599,Parent Warehouse,FC01,15
ADD,100000605,Parent Warehouse,FC01,15
ADD,100000611,Parent Warehouse,FC01,15
ADD,100000626,Parent Warehouse,FC01,15
ADD,100000627,Parent Warehouse,FC01,15
ADD,100000631,Parent Warehouse,FC01,15
ADD,100000634,Parent Warehouse,FC01,15
ADD,100000635,Parent Warehouse,FC01,15
ADD,100000641,Parent Warehouse,FC01,15
ADD,100000642,Parent Warehouse,FC01,15
ADD,100000658,Parent Warehouse,FC01,15
ADD,100000659,Parent Warehouse,FC01,15
ADD,100000661,Parent Warehouse,FC01,15
ADD,100000666,Parent Warehouse,FC01,15
ADD,100000667,Parent Warehouse,FC01,15
ADD,100000673,Parent Warehouse,FC01,15
ADD,100000683,Parent Warehouse,FC01,15
ADD,100000686,Parent Warehouse,FC01,15
ADD,100000699,Parent Warehouse,FC01,15
ADD,100000701,Parent Warehouse,FC01,15
ADD,100000704,Parent Warehouse,FC01,15
ADD,100000722,Parent Warehouse,FC01,15
ADD,100000723,Parent Warehouse,FC01,15
ADD,100000725,Parent Warehouse,FC01,15
ADD,100000728,Parent Warehouse,FC01,15
ADD,100000729,Parent Warehouse,FC01,15
ADD,100000755,Parent Warehouse,FC01,15
ADD,100000765,Parent Warehouse,FC01,15
ADD,100000767,Parent Warehouse,FC01,15
ADD,100000783,Parent Warehouse,FC01,15
ADD,100000784,Parent Warehouse,FC01,15
ADD,100000788,Parent Warehouse,FC01,15
ADD,100000789,Parent Warehouse,FC01,15
ADD,100000795,Parent Warehouse,FC01,15
ADD,100000811,Parent Warehouse,FC01,15
ADD,100000812,Parent Warehouse,FC01,15
ADD,100000815,Parent Warehouse,FC01,15
ADD,100000817,Parent Warehouse,FC01,15
ADD,100000825,Parent Warehouse,FC01,15
ADD,100000843,Parent Warehouse,FC01,15
ADD,100000846,Parent Warehouse,FC01,15
ADD,100000847,Parent Warehouse,FC01,15
ADD,100000861,Parent Warehouse,FC01,15
ADD,100000863,Parent Warehouse,FC01,15
ADD,100000894,Parent Warehouse,FC01,15
ADD,100000895,Parent Warehouse,FC01,15
ADD,100000896,Parent Warehouse,FC01,15
ADD,100000897,Parent Warehouse,FC01,15
ADD,100000901,Parent Warehouse,FC01,15
ADD,100000908,Parent Warehouse,FC01,15
ADD,100000909,Parent Warehouse,FC01,15
ADD,100000910,Parent Warehouse,FC01,15
ADD,100000914,Parent Warehouse,FC01,15
ADD,100000930,Parent Warehouse,FC01,15
ADD,100000936,Parent Warehouse,FC01,15
ADD,100000937,Parent Warehouse,FC01,15
ADD,100000940,Parent Warehouse,FC01,15
ADD,100000951,Parent Warehouse,FC01,15
ADD,100000952,Parent Warehouse,FC01,15
ADD,100000966,Parent Warehouse,FC01,15
ADD,100000967,Parent Warehouse,FC01,15
ADD,100000968,Parent Warehouse,FC01,15
ADD,100000971,Parent Warehouse,FC01,15
ADD,100000974,Parent Warehouse,FC01,15
ADD,100000976,Parent Warehouse,FC01,15
ADD,100000978,Parent Warehouse,FC01,15
ADD,100000986,Parent Warehouse,FC01,15
ADD,100000994,Parent Warehouse,FC01,15
ADD,100001016,Parent Warehouse,FC01,15
ADD,100001033,Parent Warehouse,FC01,15
ADD,100001034,Parent Warehouse,FC01,15
ADD,100001035,Parent Warehouse,FC01,15
ADD,100001055,Parent Warehouse,FC01,15
ADD,100001075,Parent Warehouse,FC01,15
ADD,100001076,Parent Warehouse,FC01,15
ADD,100001077,Parent Warehouse,FC01,15
ADD,100001079,Parent Warehouse,FC01,15
ADD,100001083,Parent Warehouse,FC01,15
ADD,100001084,Parent Warehouse,FC01,15
ADD,100001086,Parent Warehouse,FC01,15
ADD,100001103,Parent Warehouse,FC01,15
ADD,100001107,Parent Warehouse,FC01,15
ADD,100001108,Parent Warehouse,FC01,15
ADD,100001110,Parent Warehouse,FC01,15
ADD,100001111,Parent Warehouse,FC01,15
ADD,100001116,Parent Warehouse,FC01,15
ADD,100001118,Parent Warehouse,FC01,15
ADD,100001119,Parent Warehouse,FC01,15
ADD,100001125,Parent Warehouse,FC01,15
ADD,100001126,Parent Warehouse,FC01,15
ADD,100001137,Parent Warehouse,FC01,15
ADD,100001139,Parent Warehouse,FC01,15
ADD,100001140,Parent Warehouse,FC01,15
ADD,100001144,Parent Warehouse,FC01,15
ADD,100001163,Parent Warehouse,FC01,15
ADD,100001164,Parent Warehouse,FC01,15
ADD,100001177,Parent Warehouse,FC01,15
ADD,100001181,Parent Warehouse,FC01,15
ADD,100001193,Parent Warehouse,FC01,15
ADD,100001194,Parent Warehouse,FC01,15
ADD,100001201,Parent Warehouse,FC01,15
ADD,100001202,Parent Warehouse,FC01,15
ADD,100001208,Parent Warehouse,FC01,15
ADD,100001221,Parent Warehouse,FC01,15
ADD,100001233,Parent Warehouse,FC01,15
ADD,100001236,Parent Warehouse,FC01,15
ADD,100001253,Parent Warehouse,FC01,15
ADD,100001254,Parent Warehouse,FC01,15
ADD,100001258,Parent Warehouse,FC01,15
ADD,100001259,Parent Warehouse,FC01,15
ADD,100001265,Parent Warehouse,FC01,15
ADD,100001278,Parent Warehouse,FC01,15
ADD,100001279,Parent Warehouse,FC01,15
ADD,100001280,Parent Warehouse,FC01,15
ADD,100001281,Parent Warehouse,FC01,15
ADD,100001283,Parent Warehouse,FC01,15
ADD,100001286,Parent Warehouse,FC01,15
ADD,100001293,Parent Warehouse,FC01,15
ADD,100001314,Parent Warehouse,FC01,15
ADD,100001315,Parent Warehouse,FC01,15
ADD,100001321,Parent Warehouse,FC01,15
ADD,100001324,Parent Warehouse,FC01,15
ADD,100001326,Parent Warehouse,FC01,15
ADD,100001327,Parent Warehouse,FC01,15
ADD,100001338,Parent Warehouse,FC01,15
ADD,100001339,Parent Warehouse,FC01,15
ADD,100001356,Parent Warehouse,FC01,15
ADD,100001360,Parent Warehouse,FC01,15
ADD,100001361,Parent Warehouse,FC01,15
ADD,100001363,Parent Warehouse,FC01,15
ADD,100001371,Parent Warehouse,FC01,15
ADD,100001372,Parent Warehouse,FC01,15
ADD,100001374,Parent Warehouse,FC01,15
ADD,100001389,Parent Warehouse,FC01,15
ADD,100001400,Parent Warehouse,FC01,15
ADD,100001402,Parent Warehouse,FC01,15
ADD,100001403,Parent Warehouse,FC01,15
ADD,100001407,Parent Warehouse,FC01,15
ADD,100001408,Parent Warehouse,FC01,15
ADD,100001413,Parent Warehouse,FC01,15
ADD,100001414,Parent Warehouse,FC01,15
ADD,100001426,Parent Warehouse,FC01,15
ADD,100001427,Parent Warehouse,FC01,15
ADD,100001428,Parent Warehouse,FC01,15
ADD,100001429,Parent Warehouse,FC01,15
ADD,100001430,Parent Warehouse,FC01,15
ADD,100001431,Parent Warehouse,FC01,15
ADD,100001432,Parent Warehouse,FC01,15
ADD,100001436,Parent Warehouse,FC01,15
ADD,100001442,Parent Warehouse,FC01,15
ADD,100001444,Parent Warehouse,FC01,15
ADD,100001445,Parent Warehouse,FC01,15
ADD,100001459,Parent Warehouse,FC01,15
ADD,100001461,Parent Warehouse,FC01,15
ADD,100001469,Parent Warehouse,FC01,15
ADD,100001477,Parent Warehouse,FC01,15
ADD,100001482,Parent Warehouse,FC01,15
ADD,100001488,Parent Warehouse,FC01,15
ADD,100001489,Parent Warehouse,FC01,15
ADD,100001492,Parent Warehouse,FC01,15
ADD,100001506,Parent Warehouse,FC01,15
ADD,100001507,Parent Warehouse,FC01,15
ADD,100001508,Parent Warehouse,FC01,15
ADD,100001512,Parent Warehouse,FC01,15
ADD,100001513,Parent Warehouse,FC01,15
ADD,100001522,Parent Warehouse,FC01,15
ADD,100001533,Parent Warehouse,FC01,15
ADD,100001547,Parent Warehouse,FC01,15
ADD,100001549,Parent Warehouse,FC01,15
ADD,100001550,Parent Warehouse,FC01,15
ADD,100001576,Parent Warehouse,FC01,15
ADD,100001577,Parent Warehouse,FC01,15
ADD,100001578,Parent Warehouse,FC01,15
ADD,100001579,Parent Warehouse,FC01,15
ADD,100001592,Parent Warehouse,FC01,15
ADD,100001598,Parent Warehouse,FC01,15
ADD,100001627,Parent Warehouse,FC01,15
ADD,100001633,Parent Warehouse,FC01,15
ADD,100001645,Parent Warehouse,FC01,15
ADD,100001646,Parent Warehouse,FC01,15
ADD,100001647,Parent Warehouse,FC01,15
ADD,100001648,Parent Warehouse,FC01,15
ADD,100001655,Parent Warehouse,FC01,15
ADD,100001671,Parent Warehouse,FC01,15
ADD,100001672,Parent Warehouse,FC01,15
ADD,100001716,Parent Warehouse,FC01,15
ADD,100001723,Parent Warehouse,FC01,15
ADD,100001725,Parent Warehouse,FC01,15
ADD,100001726,Parent Warehouse,FC01,15
ADD,100001739,Parent Warehouse,FC01,15
ADD,100001742,Parent Warehouse,FC01,15
ADD,100001775,Parent Warehouse,FC01,15
ADD,100001776,Parent Warehouse,FC01,15
ADD,100001780,Parent Warehouse,FC01,15
ADD,100001782,Parent Warehouse,FC01,15
ADD,100001816,Parent Warehouse,FC01,15
ADD,100001817,Parent Warehouse,FC01,15
ADD,100001818,Parent Warehouse,FC01,15
ADD,100001819,Parent Warehouse,FC01,15
