Action Type,Option ID,Location Type,Location ID,On-Query Reason Code
ADD,100008484,Parent Warehouse,FC01,15
ADD,100008489,Parent Warehouse,FC01,15
ADD,100008496,Parent Warehouse,FC01,15
ADD,100008497,Parent Warehouse,FC01,15
ADD,100008498,Parent Warehouse,FC01,15
ADD,100008499,Parent Warehouse,FC01,15
ADD,100008513,Parent Warehouse,FC01,15
ADD,100008516,Parent Warehouse,FC01,15
ADD,100008517,Parent Warehouse,FC01,15
ADD,100008538,Parent Warehouse,FC01,15
ADD,100008542,Parent Warehouse,FC01,15
ADD,100008544,Parent Warehouse,FC01,15
ADD,100008558,Parent Warehouse,FC01,15
ADD,100008563,Parent Warehouse,FC01,15
ADD,100008572,Parent Warehouse,FC01,15
ADD,100008574,Parent Warehouse,FC01,15
ADD,100008590,Parent Warehouse,FC01,15
ADD,100008591,Parent Warehouse,FC01,15
ADD,100008592,Parent Warehouse,FC01,15
ADD,100008598,Parent Warehouse,FC01,15
ADD,100008599,Parent Warehouse,FC01,15
ADD,100008604,Parent Warehouse,FC01,15
ADD,100008605,Parent Warehouse,FC01,15
ADD,100008606,Parent Warehouse,FC01,15
ADD,100008611,Parent Warehouse,FC01,15
ADD,100008612,Parent Warehouse,FC01,15
ADD,100008615,Parent Warehouse,FC01,15
ADD,100008616,Parent Warehouse,FC01,15
ADD,100008617,Parent Warehouse,FC01,15
ADD,100008618,Parent Warehouse,FC01,15
ADD,100008621,Parent Warehouse,FC01,15
ADD,100008622,Parent Warehouse,FC01,15
ADD,100008625,Parent Warehouse,FC01,15
ADD,100008634,Parent Warehouse,FC01,15
ADD,100008639,Parent Warehouse,FC01,15
ADD,100008650,Parent Warehouse,FC01,15
ADD,100008656,Parent Warehouse,FC01,15
ADD,100008657,Parent Warehouse,FC01,15
ADD,100008663,Parent Warehouse,FC01,15
ADD,100008665,Parent Warehouse,FC01,15
ADD,100008677,Parent Warehouse,FC01,15
ADD,100008678,Parent Warehouse,FC01,15
ADD,100008683,Parent Warehouse,FC01,15
ADD,100008684,Parent Warehouse,FC01,15
ADD,100008685,Parent Warehouse,FC01,15
ADD,100008686,Parent Warehouse,FC01,15
ADD,100008687,Parent Warehouse,FC01,15
ADD,100008691,Parent Warehouse,FC01,15
ADD,100008709,Parent Warehouse,FC01,15
ADD,100008716,Parent Warehouse,FC01,15
ADD,100008724,Parent Warehouse,FC01,15
ADD,100008737,Parent Warehouse,FC01,15
ADD,100008742,Parent Warehouse,FC01,15
ADD,100008762,Parent Warehouse,FC01,15
ADD,100008870,Parent Warehouse,FC01,15
ADD,100008918,Parent Warehouse,FC01,15
ADD,100008953,Parent Warehouse,FC01,15
ADD,100009426,Parent Warehouse,FC01,15
ADD,100009428,Parent Warehouse,FC01,15
ADD,100009494,Parent Warehouse,FC01,15
ADD,100009507,Parent Warehouse,FC01,15
ADD,100009508,Parent Warehouse,FC01,15
ADD,100009510,Parent Warehouse,FC01,15
ADD,100009531,Parent Warehouse,FC01,15
ADD,100009571,Parent Warehouse,FC01,15
ADD,100009572,Parent Warehouse,FC01,15
ADD,100009626,Parent Warehouse,FC01,15
ADD,100009636,Parent Warehouse,FC01,15
ADD,100009704,Parent Warehouse,FC01,15
ADD,100009744,Parent Warehouse,FC01,15
ADD,100009866,Parent Warehouse,FC01,15
ADD,100009972,Parent Warehouse,FC01,15
ADD,100010056,Parent Warehouse,FC01,15
ADD,100010093,Parent Warehouse,FC01,15
ADD,100010100,Parent Warehouse,FC01,15
ADD,100010121,Parent Warehouse,FC01,15
ADD,100010144,Parent Warehouse,FC01,15
ADD,100010258,Parent Warehouse,FC01,15
ADD,100010294,Parent Warehouse,FC01,15
ADD,100010298,Parent Warehouse,FC01,15
ADD,100010340,Parent Warehouse,FC01,15
ADD,100010525,Parent Warehouse,FC01,15
ADD,100010527,Parent Warehouse,FC01,15
ADD,100010530,Parent Warehouse,FC01,15
ADD,100010531,Parent Warehouse,FC01,15
ADD,100010532,Parent Warehouse,FC01,15
ADD,100010547,Parent Warehouse,FC01,15
ADD,100010625,Parent Warehouse,FC01,15
ADD,100010656,Parent Warehouse,FC01,15
ADD,100010718,Parent Warehouse,FC01,15
ADD,100010737,Parent Warehouse,FC01,15
ADD,100010783,Parent Warehouse,FC01,15
ADD,100010784,Parent Warehouse,FC01,15
ADD,100010785,Parent Warehouse,FC01,15
ADD,100010786,Parent Warehouse,FC01,15
ADD,100010787,Parent Warehouse,FC01,15
ADD,100010788,Parent Warehouse,FC01,15
ADD,100010801,Parent Warehouse,FC01,15
ADD,100010807,Parent Warehouse,FC01,15
ADD,100010822,Parent Warehouse,FC01,15
ADD,100010823,Parent Warehouse,FC01,15
ADD,100010836,Parent Warehouse,FC01,15
ADD,100010842,Parent Warehouse,FC01,15
ADD,100010886,Parent Warehouse,FC01,15
ADD,100010889,Parent Warehouse,FC01,15
ADD,100010890,Parent Warehouse,FC01,15
ADD,100010891,Parent Warehouse,FC01,15
ADD,100010909,Parent Warehouse,FC01,15
ADD,100010924,Parent Warehouse,FC01,15
ADD,100010943,Parent Warehouse,FC01,15
