Registered MID code,FACTORY ID,COUNTRY OF MANUFACTURE/ORIGIN (COM/COO)
MYUNISWE1420PEN,,MY
PECMTDEL1894LIM,,PE
PENET984LIM,,PE
PETEXSOU251PUE,,PE
LKFOUGARKUR,,LK
KHXSLCAM2PHN,,KH
THSIACLO2SAM,,TH
ROALESRL16DOL,,RO
TRSMLKIR14KIR,,TR
ITLARSPA31COM,,IT
ITLDPRO59PRA,,IT
ITLPDI5BRE,,IT
ITMAGTRI9SIN,,IT
ITPHOSRL7BIS,,IT
ITPINSHO7612BAR,,IT
CNWANGAR5657YAN,,CN
CNWENCHE3003LUC,,CN
VNNAMINT6HAI,,VN
ININSEXP17FAR,,IN
GBFASFOR319LON,,GB
MANJCON91CAS,,MA
ININTEXP1220UTT,,IN
PHELLINT23MET,,PH
PHFRAINT4TAY,,PH
INTEXINT12BAN,,IN
INVINIMP293GHA,,IN
PK261WESLAH,,PK
PKALFENT413KAR,,PK
PKAMT5PU5FAI,,PK
PKAQAPP313FAI,,PK
PKARSGRO16LAH,,PK
TNDENHOUBOU,,TN
TNDENHOUKSA,,TN
TNFENGAR6828KHA,,TN
TNGROMED2SFA,,TN
TNSOBOKSO,,TN
TNSTEYOUTOU,,TN
TNTLSMEN,,TN
TNTUNGRO1SOL,,TN
TNTUNGRO1TUN,,TN
TNVTL2MEN,,TN
TNVTLSA3TUN,,TN
TR201IST152IST,,TR
ITINTEUR84MIL,,IT
INTUHKNI8340UPP,,IN
TREMITEK611BUR,,TR
IDGREIND165JAW,,ID
ITVIV8934PRA,,IT
JOCLAFAS1214IRB,,JO
JOCLAFAS54AMM,,JO
JONEECRA684ADD,,JO
JOUNICRE614AMM,,JO
JPGRADES2474CHI,,JP
KHAGISWEKRO,,KH
INSAAFAS1311BAN,,IN
INSAMGEM5600BAN,,IN
CNGUATAN,,CN
CNPINHUPIN,,CN
BDLUCSTA95TON,,BD
INJAWEXP77NEW,,IN
VNKONGAR14BIN,,VN
INJYOAPP42NEW,,IN
CNTONRYO136JIA,,CN
CNGUATIA10GUA,,CN
PKAZGLIM25LAH,,PK
PKBISCLO196FAI,,PK
PKBMU3839KAR,,PK
PKBRI20FAI,,PK
PKCHAAPP2FAI,,PK
PKCOMFAB17LAH,,PK
PKDENINT48KAR,,PK
PKFAIENT381KAR,,PK
PKGWCAPP17KAR,,PK
PKHAFKNIFAI,,PK
CNNANSAN18NAN,,CN
CNFOCFIR4ZHE,,CN
TRABTADN224IST,,TR
TRAKBKON100BIL,,TR
TRAKCAN1532IST,,TR
CNSILFOX8GUA,,CN
MASTASAR3242TAN,,MA
KHFWKCAMPHN,,KH
KHGARCOSAA,,KH
CNJIASEN5JIA,,CN
INKOHENT17NEW,,IN
CHDBCLO14GUA,,CH
KHGUOHUAPHN,,KH
KHGWRUI2TAK,,KH
TRMEGE1819ANK,,TR
VNBAONGU550BIN,,VN
KHHKLUC2BAT,,KH
KHHOYGAR1223PHN,,KH
KHJAWCOPHN,,KH
INKKCLO2741NEW,,IN
CNQINYAL2QIN,,CN
INLAGCLO1432BAN,,IN
LKBRAAPP1AVI,,LK
LKUNIPRIKUR,,LK
LKUNIPVTKIL,,LK
INLALINT2013UTT,,IN
PKHASULL880KAR,,PK
CNGUANOR3012GUA,,CN
CNGUACHIHAI,,CN
PKINTLIM157FAI,,PK
PKKWIJER8LAH,,PK
PKLAZ22LAH,,PK
PKMASTEX171FAI,,PK
PKMULFAB7MUL,,PK
TRTAYBOL7MER,,TR
TRALTTEK2IST,,TR
TRANKTEK342IST,,TR
TRANTTEKIST,,TR
TRAPPTEKBOL,,TR
KHKAIDE38PHN,,KH
ITCALSAN6TUS,,IT
BDDESSWE255GAZ,,BD
KHMERINDSRO,,KH
