Ref No,New / New (AddnPO) /New (AddnSuppNoPO)/Repeat,Planned Option Ref No,Approve Indicator,Division,Group,Product Group,Category,Sub-Category,Business Model,Buying Group,Buying Sub Group,Buying Set,Price Establishment,Brand,Option Long Desc,Colour Group,Reporting Colour,Size Group,Style,Pim Product Type,Supplier Site,Country of Manufacture,Unit Cost,Units per Carton,Packaging Method,Supplier Reference,Web Colour,Min Ord Qty,Order Multiple,IBP SELLING PRICE (GBP),ROW SELLING PRICE (GBP),UK01 SELLING PRICE (GBP),DE01 SELLING PRICE (EUR),FR01 SELLING PRICE (EUR),IT01 SELLING PRICE (EUR),ES01 SELLING PRICE (EUR),US01 SELLING PRICE (USD),AU01 SELLING PRICE (AUD),RU01 SELLING PRICE (RUB),NL01 SELLING PRICE (EUR),SE01 SELLING PRICE (SEK),ROE01 SELLING PRICE (EUR),PL01 SELLING PRICE (PLN),DK01 SELLING PRICE (DKK),IRE01 SELLING PRICE (EUR),IBP BRAND RECOMMENDED PRICE (GBP),ROW BRAND RECOMMENDED PRICE (GBP),UK01 BRAND RECOMMENDED PRICE (GBP),DE01 BRAND RECOMMENDED PRICE (EUR),FR01 BRAND RECOMMENDED PRICE (EUR),IT01 BRAND RECOMMENDED PRICE (EUR),ES01 BRAND RECOMMENDED PRICE (EUR),US01 BRAND RECOMMENDED PRICE (USD),AU01 BRAND RECOMMENDED PRICE (AUD),RU01 BRAND RECOMMENDED PRICE (RUB),NL01 BRAND RECOMMENDED PRICE (EUR),SE01 BRAND RECOMMENDED PRICE (SEK),ROE01 BRAND RECOMMENDED PRICE (EUR),PL01 BRAND RECOMMENDED PRICE (PLN),DK01 BRAND RECOMMENDED PRICE (DKK),IRE01 BRAND RECOMMENDED PRICE (EUR),IBP Outlet RP (GBP),ROW Outlet RP (GBP),UK01 Outlet RP (GBP),DE01 Outlet RP (EUR),FR01 Outlet RP (EUR),IT01 Outlet RP (EUR),ES01 Outlet RP (EUR),US01 Outlet RP (USD),AU01 Outlet RP (AUD),RU01 Outlet RP (RUB),NL01 Outlet RP (EUR),SE01 Outlet RP (SEK),ROE01 Outlet RP (EUR),PL01 Outlet RP (PLN),DK01 Outlet RP (DKK),IRE01 Outlet RP (EUR),IBP RRP (GBP),ROW RRP (GBP),UK01 RRP (GBP),DE01 RRP (EUR),FR01 RRP (EUR),IT01 RRP (EUR),ES01 RRP (EUR),US01 RRP (USD),AU01 RRP (AUD),RU01 RRP (RUB),NL01 RRP (EUR),SE01 RRP (SEK),ROE01 RRP (EUR),PL01 RRP (PLN),DK01 RRP (DKK),IRE01 RRP (EUR),Wholesale,Order Row Code,Available to Sell,Auto EAN,Sizes,Allow Duplicate Product,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,UDA ID,UDA Value,Order Origin,Multi Option PO Indicator,PO Consolidation Req Indicator,PO Create Stage,FIRST WAREHOUSE,FINAL WAREHOUSE,PO Type,FACTORY,Order Qty,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,External Order No,Shipping Point,Shipping Method,Freight Forwarder,FIRST WAREHOUSE ,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,External Order No,Shipping Point,Shipping Method,Freight Forwarder,FIRST WAREHOUSE,FINAL WAREHOUSE,PO TYPE,FACTORY,ORDER QTY,HANDOVER DATE,HANDOVER WINDOW START DATE,HANDOVER WINDOW END DATE,SIZE CURVE ID, MANUAL SIZE DIST,PO Priority,External Order No,Shipping Point,Shipping Method,Freight Forwarder
1,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest1,2000,AUBURN,6190,newStyle1,1,1100000477,GB,60,10,F,501.03.72.01,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
2,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest2,2000,AUBURN,6190,newStyle2,1,1100000477,GB,60,10,F,501.03.72.02,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,3065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
3,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest3,2000,AUBURN,6190,newStyle3,1,1100000477,GB,60,10,F,501.03.72.03,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,4065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
4,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest4,2000,AUBURN,6190,newStyle4,1,1100000477,GB,60,10,F,501.03.72.04,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
5,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest5,2000,AUBURN,6190,newStyle5,1,1100000477,GB,60,10,F,501.03.72.05,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
6,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest6,2000,AUBURN,6190,newStyle6,1,1100000477,GB,60,10,F,501.03.72.06,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
7,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest7,2000,AUBURN,6190,newStyle7,1,1100000477,GB,60,10,F,501.03.72.07,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,1065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
8,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest8,2000,AUBURN,6190,newStyle8,1,1100000477,GB,60,10,F,501.03.72.08,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,3001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,3065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
9,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest9,2000,AUBURN,6190,newStyle9,1,1100000477,GB,60,10,F,501.03.72.09,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,4001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,4065072906190,,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,3065072906190,,1,,,,,,,,,,,,,,,,,,,
10,New,,Y,1,21,1006,5,1,29,507,1,1,1,BERSHKA,UploadTest10,2000,AUBURN,6190,newStyle10,1,1100000477,GB,60,10,F,501.03.72.10,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,N,,,7,1,9,1,31,1,52,45,71,2,88,1,3002,1,3004,1,50,30/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1001,D,F102761,70,29/06/2026,28/06/2026,1/7/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,1001,3001,S,9999,70,21/11/2026,21/11/2026,30/11/2026,,UK4:10|UK6:10|UK8:10|UK10:10|UK12:10|UK14:20,1,,,,,,,,,,,,,,,,,,,
