Division,Product Group,Catergory,Subcategory,BusinessModel,BuyingGroup,BuyingSubGroup,BuyingSet
0,6,6,0,19,1,1,13,498
0,1,18,2,24,2,0,10,498
0,4,9,0,14,3,3,2,498
0,2,12,2,27,1,2,8,498
1,9,0,10,25,1,0,21,497
0,12,13,1,30,19,1,6,497
0,2,3,1,30,8,0,20,496
1,7,5,1,22,0,0,3,495
0,13,1,0,27,1,2,8,494
2,3,4,0,23,0,0,21,493
0,5,10,0,28,1,0,6,493
0,6,6,0,29,5,1,2,493
1,5,3,7,36,4,0,13,493
0,5,8,0,29,2,1,7,492
1,2,10,4,25,4,0,4,491
1,1,1,9,24,0,0,3,490
0,5,5,0,27,0,0,8,490
0,6,11,0,18,1,1,71,490
0,5,5,0,13,1,4,13,490
0,4,5,0,35,3,2,18,489
1,12,3,0,26,0,0,3,489
0,13,0,0,30,13,3,4,488
0,11,1,0,30,5,5,12,487
0,11,1,0,27,0,0,6,486
0,10,1,1,13,0,4,27,484
0,2,5,5,30,10,0,1,484
1,8,0,0,13,1,0,75,483
0,13,4,0,14,6,1,134,483
0,6,7,0,24,2,0,13,483
0,13,2,1,30,13,0,5,482
0,12,3,1,29,2,2,0,482
0,6,7,0,19,1,1,13,481
0,6,11,0,24,2,0,17,480
1,3,5,11,25,1,0,19,480
0,2,11,2,30,17,0,2,479
1,5,3,4,25,9,0,5,479
1,3,5,6,25,1,0,13,478
1,11,6,4,13,2,0,332,477
0,11,2,0,15,1,2,1,476
1,5,3,2,25,9,0,5,475
2,3,1,2,32,0,0,18,475
1,9,6,5,25,1,0,17,475
0,6,11,0,24,2,0,10,475
1,5,2,4,25,5,0,6,474
1,9,0,9,25,1,0,19,474
1,9,2,0,31,0,0,6,473
0,5,10,0,24,3,2,1,473
0,2,12,0,30,17,0,7,473
0,15,4,1,30,20,0,9,473
0,3,14,2,30,1,0,1,472
0,3,13,2,29,3,1,0,471
0,13,0,0,27,1,2,13,470
1,0,0,7,24,0,0,3,470
1,9,6,12,24,0,0,3,470
0,3,1,0,21,1,1,54,469
1,5,5,5,25,2,0,9,469
1,7,11,4,25,8,0,0,468
0,1,18,5,24,2,0,4,468
1,3,0,7,25,1,0,13,468
1,4,0,7,27,2,0,14,468
1,5,2,7,26,0,0,6,468
1,1,1,4,36,1,0,0,468
0,4,12,0,14,3,2,131,467
2,1,2,4,23,0,0,0,467
1,8,2,0,24,0,0,7,467
0,10,4,0,30,12,0,2,467
1,8,1,2,25,11,3,2,465
1,5,3,4,26,0,0,3,465
0,15,4,1,37,1,0,3,465
1,5,3,7,13,1,0,3,464
0,12,3,2,29,2,2,0,463
1,5,2,7,24,0,0,10,462
1,12,5,7,14,4,0,0,462
0,4,30,2,14,2,2,19,462
0,9,7,0,30,11,2,8,462
0,4,6,0,14,2,2,11,461
1,5,3,7,21,0,3,3,459
0,4,27,1,14,3,2,161,459
0,2,3,1,30,8,0,24,458
1,5,3,7,34,0,0,1,458
0,1,18,0,26,1,1,3,458
0,2,11,2,30,17,0,16,457
0,2,5,4,30,10,1,11,456
0,3,13,2,30,1,0,1,456
1,11,16,7,25,13,0,4,456
0,6,8,0,28,1,0,6,456
1,2,10,5,19,0,0,19,456
0,13,0,0,14,6,2,123,456
1,9,1,4,25,6,0,8,455
0,1,7,5,15,1,2,1,454
1,3,8,11,25,1,0,23,454
1,11,6,4,36,9,0,10,453
1,2,10,5,14,3,0,41,453
1,3,6,7,25,1,0,13,452
0,6,8,0,29,5,1,2,452
2,3,2,4,23,0,0,3,451
0,2,12,2,27,1,2,13,451
0,1,7,5,26,1,1,7,450
0,6,3,0,30,3,2,12,450
2,3,0,2,23,0,0,23,450
2,3,0,2,32,0,0,91,450
0,6,7,0,24,2,0,12,449
1,11,6,4,27,2,0,19,449
1,3,0,7,25,1,0,29,449
0,13,2,1,30,13,6,3,449
0,12,7,4,30,10,0,10,448
0,4,27,1,14,2,2,24,448
0,6,11,0,26,1,1,3,448
1,5,3,7,21,0,4,70,446
1,6,1,7,24,0,0,10,446
1,2,3,1,14,2,0,40,445
0,14,0,0,24,2,0,10,445
1,11,6,2,21,0,2,19,444
0,1,6,2,31,1,1,5,444
1,2,10,5,14,2,0,89,444
1,2,10,5,13,1,0,75,444
0,13,1,0,13,1,4,9,444
1,10,4,0,24,0,0,3,443
0,13,2,1,35,4,2,116,443
1,0,8,12,25,17,0,55,443
0,4,13,0,27,1,2,13,442
0,13,2,1,14,6,4,7,442
0,4,12,0,14,3,2,13,441
0,9,17,0,29,7,0,0,441
1,8,0,1,24,0,0,7,441
1,10,4,0,14,6,0,12,441
0,15,6,0,27,1,2,13,440
0,13,1,0,14,6,2,130,440
1,12,0,1,13,1,0,75,440
0,14,19,0,27,0,0,6,440
1,11,6,4,24,0,0,10,440
1,8,0,0,25,11,3,4,440
2,3,0,0,32,0,0,142,439
0,0,7,9,30,2,5,0,439
0,6,8,0,24,2,0,12,439
0,2,12,1,27,1,2,8,437
1,1,0,6,24,0,0,3,437
1,10,4,0,13,1,0,75,436
1,1,0,4,36,1,0,0,435
0,2,2,1,30,17,0,6,434
1,5,5,4,25,9,0,1,434
1,5,3,7,19,0,0,9,434
1,3,6,5,24,0,0,3,433
