Action,PO ID,Handover Window Start Date,Handover Window End Date,Expected Handover Date
Cancel,500032927123,,,
Cancel,500033294593,,,
Cancel,500033363844,,,
Cancel,500033363875,,,
Cancel,500033184222,,,
Cancel,500033184227,,,
Cancel,500033294599,,,
Cancel,500033395731,,,
Cancel,500033213588,,,
Update,500033406183,27/10/2026,10/12/2026,08/11/2026
Update,500033406213,27/10/2026,10/12/2026,08/11/2026
Update,500033406247,27/10/2026,10/12/2026,08/11/2026
Update,500033118813,27/10/2026,10/12/2026,08/11/2026
Update,500033118842,27/10/2026,10/12/2026,08/11/2026
Update,500033314118,27/10/2026,10/12/2026,08/11/2026
Update,500033096297,27/10/2026,10/12/2026,08/11/2026
Update,500033112739,27/10/2026,10/12/2026,08/11/2026
Update,500030916587,27/10/2026,10/12/2026,08/11/2026
Update,500032694898,27/10/2026,10/12/2026,08/11/2026
Update,500033235982,27/10/2026,10/12/2026,08/11/2026
Update,500033374906,27/10/2026,10/12/2026,08/11/2026
Update,500033158854,27/10/2026,10/12/2026,08/11/2026
Update,500033119094,27/10/2026,10/12/2026,08/11/2026
Update,500033145930,27/10/2026,10/12/2026,08/11/2026
Update,500032763570,27/10/2026,10/12/2026,08/11/2026
Update,500032763572,27/10/2026,10/12/2026,08/11/2026
Update,500032325249,27/10/2026,10/12/2026,08/11/2026
Update,500033336177,27/10/2026,10/12/2026,08/11/2026
Update,500033336199,27/10/2026,10/12/2026,08/11/2026
Update,500033336219,27/10/2026,10/12/2026,08/11/2026
Update,500033336235,27/10/2026,10/12/2026,08/11/2026
Update,500033336229,27/10/2026,10/12/2026,08/11/2026
Update,500032843922,27/10/2026,10/12/2026,08/11/2026
Update,500032843931,27/10/2026,10/12/2026,08/11/2026
Update,500032843953,27/10/2026,10/12/2026,08/11/2026
Update,500032843988,27/10/2026,10/12/2026,08/11/2026
Update,500032844037,27/10/2026,10/12/2026,08/11/2026
Update,500032823014,27/10/2026,10/12/2026,08/11/2026
Update,500032823042,27/10/2026,10/12/2026,08/11/2026
Update,500032823139,27/10/2026,10/12/2026,08/11/2026
Update,500032823189,27/10/2026,10/12/2026,08/11/2026
Update,500033406294,27/10/2026,10/12/2026,08/11/2026
Update,500033422357,27/10/2026,10/12/2026,08/11/2026
Update,500033423264,27/10/2026,10/12/2026,08/11/2026
Update,500033475774,27/10/2026,10/12/2026,08/11/2026
Update,500033131194,27/10/2026,10/12/2026,08/11/2026
Update,500033294119,27/10/2026,10/12/2026,08/11/2026
Update,500033494368,27/10/2026,10/12/2026,08/11/2026
Update,500033493394,27/10/2026,10/12/2026,08/11/2026
