Status,Division,Product Group,Catergory,Subcategory
A,1,6,0,4,208
X,0,9,17,0,190
A,1,5,3,7,139
A,0,6,8,0,110
A,1,5,3,4,92
A,1,3,5,1,91
A,0,3,13,0,84
A,1,3,5,9,78
A,1,6,1,4,78
A,1,3,5,0,78
A,1,6,1,7,68
A,1,6,6,7,68
A,0,6,7,0,66
A,0,6,3,0,64
X,0,1,6,2,64
A,1,6,0,7,54
A,1,3,5,5,52
A,0,11,8,2,49
X,1,1,2,3,48
X,1,9,6,7,48
A,1,8,0,0,48
A,1,3,5,11,39
A,1,3,5,6,39
A,0,3,13,2,34
A,1,5,2,7,34
A,0,11,2,0,34
A,0,1,17,6,33
X,0,3,5,1,32
A,0,9,6,0,32
A,1,5,0,5,32
X,0,3,5,0,32
A,1,3,0,7,32
X,0,3,5,2,32
W,1,6,0,4,32
X,0,2,12,2,32
X,0,8,1,2,31
A,1,2,0,0,28
A,1,1,5,1,27
A,1,4,1,4,27
A,1,3,5,4,26
A,1,4,1,7,23
A,0,2,11,2,23
A,0,10,2,0,21
A,0,4,27,1,21
A,1,1,5,4,19
W,1,3,5,4,19
A,0,5,2,0,18
A,0,9,3,0,17
A,1,2,11,3,17
A,1,4,0,4,17
X,0,8,1,4,16
A,0,2,3,0,16
A,0,6,6,0,16
X,0,15,3,0,16
A,0,9,14,0,16
X,0,8,0,0,16
A,1,4,3,0,16
X,1,7,6,0,16
A,1,12,0,0,16
X,0,8,1,3,16
A,0,11,1,0,16
X,0,9,3,0,16
A,1,7,0,0,16
X,0,6,8,0,16
A,0,3,13,1,16
X,1,7,0,0,16
A,1,12,5,7,16
X,0,6,6,0,16
A,0,1,8,0,16
A,0,10,7,2,16
X,0,2,1,2,16
A,0,15,3,1,16
A,0,5,3,0,16
A,0,12,3,2,16
X,0,10,5,2,16
A,1,12,3,0,16
X,1,4,0,4,16
A,0,12,13,0,15
W,1,3,5,1,14
A,1,1,1,6,14
A,0,13,1,0,14
A,1,3,3,4,13
A,1,3,5,7,13
A,1,3,0,5,13
A,1,3,5,2,13
A,1,3,10,9,13
A,1,3,3,1,13
A,1,3,5,12,13
A,1,1,1,7,13
A,1,3,10,12,13
A,1,1,13,5,12
W,1,6,1,4,12
W,1,3,5,9,12
W,1,3,5,0,12
A,0,9,7,0,11
X,0,4,27,1,11
X,0,4,28,0,11
A,0,6,11,0,10
A,0,12,13,1,9
A,1,10,4,0,9
A,0,15,4,0,8
W,1,6,6,7,8
W,1,6,0,7,8
A,0,10,1,1,8
X,1,2,11,3,8
W,1,6,1,7,8
W,1,3,5,5,8
A,1,5,2,4,7
A,1,5,0,4,6
A,0,2,12,1,6
A,0,9,15,0,6
W,1,3,5,6,6
W,1,3,5,11,6
W,0,4,27,1,6
A,1,9,1,4,6
A,0,3,14,2,5
A,0,6,2,0,5
W,0,6,7,0,5
A,0,15,4,1,5
A,0,8,0,0,4
W,1,2,0,0,4
A,1,0,1,1,4
A,0,15,15,0,3
A,1,4,0,5,3
A,0,0,1,10,3
A,1,9,6,13,3
A,0,3,7,2,3
A,0,3,14,0,3
A,0,1,17,2,3
W,0,6,6,0,2
W,1,3,0,5,2
A,0,0,7,6,2
W,1,1,1,6,2
W,1,3,5,12,2
A,0,5,0,0,2
A,0,0,7,4,2
X,1,4,1,7,2
A,1,6,3,7,2
W,1,3,10,9,2
W,1,2,11,3,2
A,0,2,11,1,2
W,0,5,0,0,2
A,0,1,13,7,2
A,0,0,1,1,2
A,1,5,5,2,2
A,1,5,5,5,2
W,1,1,5,4,2
W,1,3,10,12,2
W,1,3,3,4,2
A,0,3,6,0,2
A,0,3,14,1,2
A,0,15,18,0,2
A,1,9,1,9,2
W,1,1,5,6,2
W,1,3,5,2,2
W,1,3,3,1,2
W,1,0,1,1,2
W,0,12,13,0,2
X,0,12,13,2,2
W,0,10,1,1,2
A,0,13,0,0,2
A,0,0,1,3,2
A,0,0,1,13,2
W,1,1,1,7,2
A,0,1,7,5,2
A,1,7,6,4,2
A,1,9,1,7,2
W,1,3,5,7,2
A,0,7,6,0,2
A,0,9,0,0,1
A,1,12,5,0,1
A,0,2,5,3,1
A,0,15,5,0,1
A,0,5,10,0,1
A,0,1,17,3,1
A,0,12,5,2,1
X,2,5,4,9,1
A,1,1,5,0,1
A,0,7,3,0,1
A,0,0,9,2,1
X,0,0,9,2,1
A,1,5,3,5,1
A,1,5,2,5,1
W,1,4,1,7,1
A,0,3,2,2,1
A,0,3,3,0,1
W,0,8,1,2,1
X,0,5,0,0,1
W,0,11,2,0,1
A,0,7,13,0,1
A,0,2,12,2,1
X,0,6,11,0,1
A,0,1,6,2,1
A,0,11,3,2,1
A,1,5,5,4,1
A,1,4,1,5,1
A,0,2,1,0,1
A,0,6,4,0,1
W,0,1,6,2,1
A,0,1,6,7,1
W,1,10,4,0,1
A,0,2,4,0,1
A,0,3,3,2,1
X,0,12,13,1,1
A,0,12,3,0,1
A,1,12,0,1,1
X,0,2,12,1,1
A,0,2,5,4,1
A,0,3,2,0,1
A,0,3,1,0,1
A,0,13,2,1,1
A,1,4,0,7,1
