Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5,Item_Number6,Item_Number7,Item_Number8,Item_Number9,Item_Number10
100148412,100195421,100213439,100245629,100280025,100330141,100367618,100381418,100399481,100430954
100148451,100196475,100213556,100245706,100281713,100330482,100373459,100381595,100399583,100431184
100148552,100199236,100213660,100245841,100281734,100330572,100373874,100381623,100401310,100432032
100148785,100199665,100213924,100246650,100282094,100332732,100374109,100381624,100407182,100433136
100149245,100200039,100214146,100246816,100292630,100332968,100374345,100381644,100407217,100433345
100149320,100200104,100214684,100250516,100294519,100334453,100374500,100381849,100407262,100433653
100149323,100200289,100214868,100250565,100296144,100334917,100374884,100382210,100408955,100433803
100149346,100200326,100214881,100250773,100296154,100335749,100374929,100382665,100409094,100433878
100149420,100200542,100215110,100250876,100296161,100335984,100374949,100382856,100411119,100434028
100149501,100200643,100216484,100250988,100296550,100336054,100375245,100382996,100411508,100434258
100149667,100200698,100216563,100252520,100296766,100336873,100375456,100383121,100411828,100434261
100149981,100200879,100216573,100254315,100296782,100337304,100375469,100383194,100411935,100434264
100150137,100200880,100216603,100254454,100296999,100337672,100375513,100384544,100411940,100440593
100150157,100201079,100217006,100254470,100297017,100338529,100375820,100384633,100413739,100441253
100150249,100201437,100223075,100254559,100297058,100339918,100376146,100384702,100413997,100441304
100150251,100201440,100223142,100254686,100302639,100340004,100376243,100384849,100414025,100441359
100150271,100201544,100223176,100254732,100303125,100340723,100377267,100385021,100415239,100441606
100150297,100201574,100223336,100255137,100303202,100340811,100377335,100385201,100415337,100441751
100150309,100201837,100223367,100255394,100303273,100342727,100377392,100385434,100417406,100441778
100150345,100201942,100223389,100255406,100303629,100342783,100377466,100385493,100417732,100445617
100150388,100201956,100224320,100255790,100304057,100342830,100377488,100385645,100417736,100445754
100150460,100201958,100224353,100255863,100304066,100343234,100377642,100385769,100418331,100445760
100150478,100202055,100224391,100255971,100304152,100343838,100377647,100385775,100418458,100445777
100150664,100202113,100224402,100256075,100304663,100343936,100377657,100385916,100418734,100447082
100150686,100202343,100224490,100256504,100304922,100344024,100377848,100386106,100419166,100447309
100150732,100202627,100224567,100256744,100310002,100344109,100377917,100386113,100419449,100447342
100150752,100202732,100224574,100256775,100310004,100344521,100377993,100386148,100419924,100447371
100150801,100203251,100224621,100258410,100310626,100348811,100378019,100386351,100420689,100447653
100150869,100203349,100224801,100259439,100313510,100349243,100378038,100386380,100422141,100449431
100150985,100204253,100224828,100259459,100313641,100349293,100378281,100386551,100422244,100449706
100159336,100204677,100224875,100262202,100318801,100349320,100378294,100386968,100422293,100450328
100159738,100205027,100232588,100263567,100318870,100350407,100378480,100387742,100422898,100450335
100160507,100205737,100232815,100263756,100318944,100350618,100378537,100388069,100422920,100450476
100160934,100206040,100232887,100263765,100319135,100350647,100378552,100388607,100423174,100452254
100161970,100206477,100232969,100264304,100319280,100351016,100378641,100388653,100423674,100452257
100162217,100207101,100233065,100264359,100319480,100355136,100378707,100388656,100423707,100454525
100173151,100209059,100233287,100264522,100319530,100356376,100378795,100388771,100423915,100454590
100173242,100209473,100233464,100266016,100319597,100357085,100378866,100388830,100424032,100454607
100173468,100209776,100233890,100266813,100319821,100358639,100379038,100388919,100424968,100455111
100173773,100209879,100236416,100268780,100319895,100358809,100379045,100388935,100425048,100455118
100174189,100209949,100236560,100268907,100319925,100359239,100379257,100388969,100425111,100455223
100175405,100209983,100236669,100272463,100319964,100360150,100379264,100391506,100425366,100455256
100175645,100209986,100236757,100273009,100320044,100360334,100379325,100393895,100425693,100455297
100178420,100210041,100236921,100274112,100321797,100360408,100380476,100396566,100425754,100455388
100178514,100210109,100237050,100275892,100324142,100360472,100380551,100396757,100426856,100455403
100181022,100210141,100237064,100278013,100324596,100360697,100380795,100398004,100427256,100455459
100183318,100210224,100237733,100278238,100324957,100366718,100380945,100398803,100428261,100455536
100190742,100210243,100238392,100278401,100325351,100366802,100381044,100398888,100430713,100455604
100191896,100212582,100245335,100278579,100325802,100366964,100381189,100399334,100430746,100456061
100191949,100213139,100245555,100278596,100328860,100367094,100381216,100399365,100430767,100456258
