Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5,Item_Number6,Item_Number7,Item_Number8,Item_Number9,Item_Number10,Item_Number11,Item_Number12,Item_Number13,Item_Number14,Item_Number15,Item_Number16,Item_Number17,Item_Number18,Item_Number19,Item_Number20,Item_Number21,Item_Number22,Item_Number23,Item_Number24,Item_Number25,Item_Number26,Item_Number27,Item_Number28,Item_Number29,Item_Number30,Item_Number31,Item_Number32,Item_Number33,Item_Number34,Item_Number35,Item_Number36,Item_Number37,Item_Number38,Item_Number39,Item_Number40,Item_Number41,Item_Number42,Item_Number43,Item_Number44,Item_Number45,Item_Number46,Item_Number47,Item_Number48,Item_Number49,Item_Number50,Item_Number51,Item_Number52,Item_Number53,Item_Number54,Item_Number55,Item_Number56,Item_Number57,Item_Number58,Item_Number59,Item_Number60,Item_Number61,Item_Number62,Item_Number63,Item_Number64,Item_Number65,Item_Number66,Item_Number67,Item_Number68,Item_Number69,Item_Number70,Item_Number71,Item_Number72,Item_Number73,Item_Number74,Item_Number75,Item_Number76,Item_Number77,Item_Number78,Item_Number79,Item_Number80,Item_Number81,Item_Number82,Item_Number83,Item_Number84,Item_Number85,Item_Number86,Item_Number87,Item_Number88,Item_Number89,Item_Number90,Item_Number91,Item_Number92,Item_Number93,Item_Number94,Item_Number95,Item_Number96,Item_Number97,Item_Number98,Item_Number99,Item_Number100
100335470,100335918,100336466,100337345,100344807,100348566,100365114,100370362,100384012,100384097,100384214,100390649,100391046,100391534,100395104,100396261,100396301,100396346,100401557,100401578,100401642,100401672,100401761,100401782,100401900,100401920,100402036,100403958,100404154,100404267,100404695,100405319,100409619,100409799,100429279,100432681,100450930,100451035,100451755,100469202,100469855,100470033,100470084,100474400,100474414,100474501,100474536,100474709,100476824,100482442,100483527,100484214,100484773,100484838,100487327,100487939,100491891,100493315,100493555,100498607,100499431,100501180,100501386,100501478,100517093,100522932,100528065,100533008,100533631,100535830,100537627,100541115,100542127,100543421,100554540,100565341,100658157,100659779,100661094,100661095,100666519,100672698,100672907,100675799,100675816,100692212,100693429,100697140,100697298,100734281,100738077,100753938,100754890,100765502,100768333,100770080,100770469,100775353,100777902,100778549
100779264,100781680,100783009,100785294,100785870,100786842,100787025,100791436,100794229,100798073,100802071,100805885,100807994,100809759,100810637,100813341,100814934,100824068,100824502,100828274,100828530,100836291,100837683,100837694,100858729,100859665,100866120,100866122,100873681,100877807,100877817,100889242,100896716,100913246,100917020,100921780,100922417,100923481,100925721,100925723,100928517,100929442,100934554,100935693,100936699,100939971,100940387,100947244,100948787,100950582,100951178,100953834,100959040,100965723,100966040,100966043,100966111,100966352,100971219,100976843,100976846,100978050,100978372,100980407,100986247,100986788,100989642,100998815,101000447,101001596,101003896,101007056,101008770,101008782,101009345,101015125,101015570,101019237,101041742,101046179,101046186,101053424,101058337,101064772,101064889,101068381,101069099,101076910,101081679,101081726,101083890,101102798,101104189,101104192,101104195,101104200,101109839,101120156,101121706,101121846
101130022,101131398,101135444,101149864,101150167,101150171,101153430,101157387,101157735,101158396,101160337,101165484,101170720,101173360,101184644,101188523,101195227,101196584,101198031,101210495,101210537,101216317,101216341,101226335,101229102,101229400,101231356,101231918,101239529,101239573,101261101,101265972,101270806,101274657,101282659,101296858,101300248,101304934,101306290,101311646,101312373,101314107,101317548,101327461,101335390,101343449,101358497,101364453,101366326,101372239,103921834,104353389,104874951,105468439,105678419,105736829,105913401,105913405,106873526,107038449,107293771,107293953,107648362,108118468,109534710,109818939,111040338,113103672,114666974,114675052,114766413,116750135,117413483,100009410,100009687,100009790,100009913,100011616,100121633,100122050,100151801,100151803,100151840,100151889,100151929,100151985,100183385,100183648,100206872,100221564,100227370,100291704,100303423,100322956,100326370,100329971,100330149,100331283,100343843,100345347
100345756,100346250,100347084,100391290,100432578,100436277,100436279,100436288,100436290,100436298,100444879,100445998,100446007,100446013,100446015,100446032,100446037,100446053,100446073,100449145,100449146,100466788,100524876,100542430,100551718,100644371,100686024,100767041,100767045,100808669,100812361,100816625,100824568,100844462,100872593,100886438,100886961,100901525,100905606,100907273,100913773,100928490,100928494,100994109,100994113,101024212,101040420,101072628,101086197,101097193,101104074,101104075,101145457,101151549,101174647,101174649,101184212,101194675,101231721,101256110,101267515,101268714,101270132,101281872,101324838,102083753,102083754,102654004,105320207,105478373,107038435,107038440,109434047,110683464,110683465,115973943,100011229,100011528,100013321,100013812,100014317,100018877,100018904,100036923,100041073,100044658,100048069,100053591,100055460,100056967,100061845,100074393,100074402,100084494,100087294,100088429,100091191,100094237,100102282,100110735
100112779,100116395,100151851,100151868,100151881,100151888,100151893,100151911,100152022,100152026,100152029,100152033,100160689,100161984,100162276,100191062,100226172,100279171,100279368,100312989,100314576,100314957,100332581,100336110,100338897,100346970,100401586,100401598,100401821,100404131,100404176,100415517,100429863,100435913,100449116,100450582,100487807,100488704,100492995,100505320,100523236,100526855,100536318,100768402,100768404,100783128,100783225,100785093,100785095,100800826,100819536,100826585,100841686,100866547,100880929,100880932,100884512,100887309,100892200,100914898,100940490,100959034,100980659,100981713,100986541,101002805,101012234,101014253,101022829,101032618,101053286,101053760,101061217,101071987,101079089,101084643,101101607,101101739,101104123,101104129,101104646,101128885,101134420,101134442,101134852,101148160,101185102,101196450,101218823,101233176,101261492,101267045,101267051,101338323,101345022,101898681,102102126,102698894,102948744,104880746
104880750,105058356,106973449,107228580,110127386,110127395,115954816,115954824,115956574,100002109,100002154,100003368,100003968,100010785,100010925,100011006,100011279,100020397,100023943,100041136,100045611,100046540,100046655,100057724,100060437,100061786,100074406,100076709,100077514,100087350,100088439,100090695,100102249,100102259,100102263,100107341,100108206,100109380,100111634,100114941,100116391,100120678,100122012,100123468,100153063,100153113,100153132,100153220,100153299,100153390,100153706,100153869,100159410,100159484,100159491,100159638,100159639,100160374,100160754,100161030,100161406,100161789,100162656,100163000,100163237,100163292,100167776,100168361,100168572,100170439,100171335,100177637,100177883,100178551,100178706,100178932,100178956,100178962,100179289,100179301,100179317,100179323,100182055,100183410,100190169,100190949,100191264,100191340,100193686,100194393,100197132,100206730,100206805,100208110,100220285,100221447,100222427,100222851,100226001,100226085
100226368,100226530,100226581,100226591,100226765,100226953,100226964,100227451,100228594,100229112,100229528,100229680,100230416,100230792,100230934,100231085,100231696,100232141,100242068,100243352,100253233,100254780,100256511,100259986,100268115,100268414,100277038,100287601,100301486,100301885,100301938,100302733,100306853,100310984,100311001,100311271,100312500,100312683,100312971,100314296,100314301,100315175,100320958,100320964,100325713,100334458,100334953,100335417,100337446,100338648,100341493,100341616,100343289,100345035,100345089,100348160,100355891,100358462,100361526,100362338,100362479,100362830,100363475,100369912,100369949,100369996,100373327,100389913,100390174,100400111,100400166,100403535,100403638,100403780,100404007,100404294,100404694,100405162,100405306,100409889,100409916,100412588,100412683,100415547,100415828,100415952,100416012,100416066,100427658,100428660,100429005,100436084,100436113,100437139,100438660,100438861,100439039,100444735,100450652,100450740
100450838,100451043,100453152,100459813,100462370,100462530,100465999,100468658,100469648,100482351,100482395,100486134,100487001,100487564,100488818,100488845,100490005,100492813,100493312,100496060,100496096,100499433,100500291,100525061,100525624,100534931,100539802,100540761,100664944,100664946,100682561,100737745,100762590,100805411,100807595,100807598,100809223,100812325,100812372,100813327,100813999,100814608,100819899,100821220,100826114,100826309,100830322,100833456,100835490,100845659,100850101,100853026,100856475,100870279,100880937,100886055,100894588,100907285,100907323,100911649,100916799,100933823,100940124,100951574,100951939,100953789,100966569,101003714,101003935,101021141,101021162,101056752,101056874,101058839,101069409,101076538,101077920,101079077,101082260,101088294,101092963,101105144,101107635,101110669,101112238,101135391,101136163,101139492,101140247,101148969,101149402,101150355,101151572,101162748,101171480,101179954,101179992,101184278,101194132,101194418
101206530,101210198,101215296,101239295,101248878,101257484,101271395,101322334,101322337,101337425,101347665,101348183,101348201,101351718,101351839,101352894,101353131,101353401,101354741,101354826,101356213,101356228,101363257,101365624,101369712,102048547,102102138,103643687,103963439,104599637,104599655,104599659,104734594,105033539,105125847,106159727,106159728,106693386,107338965,107383975,107384050,107384060,107673463,108775413,111034529,111848348,114867205,114874138,100002521,100002523,100003036,100003069,100006204,100010230,100039662,100060435,100082611,100151182,100151624,100151629,100153814,100154462,100159416,100162592,100165513,100168401,100177536,100182258,100182816,100188196,100188417,100191148,100202224,100202850,100205968,100208445,100221886,100222214,100225422,100226555,100226935,100227454,100228743,100229431,100230996,100231845,100232305,100253779,100271279,100298525,100302707,100302740,100302844,100309648,100312534,100313074,100314975,100331137,100331223,100332154
100024338,100025847,100028030,100028149,100028959,100031430,100035954,100046653,100048429,100049051,100050760,100052280,100064138,100071972,100081360,100081366,100087428,100092266,100095340,100097571,100099416,100100102,100101180,100104160,100105273,100106325,100109366,100113521,100113701,100114369,100114370,100118873,100121414,100121855,100123462,100153923,100160188,100160649,100162841,100163764,100163973,100169589,100169619,100169623,100170446,100171043,100171363,100172564,100172672,100177549,100177668,100182889,100183245,100183576,100186844,100186940,100204560,100206079,100206707,100208618,100227938,100228687,100228863,100229422,100229437,100242067,100242540,100242703,100243236,100243694,100243980,100272292,100273028,100273100,100274072,100274105,100274445,100274839,100277091,100277371,100278706,100291461,100291520,100291585,100313914,100314158,100314385,100315129,100315174,100323182,100329951,100330526,100330902,100331057,100331228,100331483,100332511,100333036,100334116,100334922
