Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5
100017344,100353236,100825926,101038438,101333146
100020911,100353332,100826649,101038452,101333147
100028018,100353396,100827728,101038950,101333176
100030364,100362273,100828627,101039094,101333354
100033492,100362401,100829343,101039249,101336229
100034190,100362708,100830506,101039252,101336231
100035023,100366146,100830669,101039257,101337257
100040514,100367978,100831100,101039267,101338318
100041445,100368002,100831106,101039717,101341246
100044605,100368205,100831898,101046461,101342760
100047419,100368230,100831909,101048306,101342766
100047436,100368238,100833621,101054814,101348538
100048626,100368287,100833625,101054835,101350152
100054436,100368464,100833657,101055665,101350234
100056413,100368652,100834831,101055666,101350316
100065850,100368700,100837904,101057721,101352223
100068210,100368909,100838122,101058582,101352231
100068294,100368928,100838171,101059292,101355950
100072846,100369212,100838174,101061365,101356330
100075208,100369221,100838650,101068973,101357320
100075259,100395987,100840733,101070310,101357325
100075297,100401063,100845689,101071069,101361558
100075322,100401098,100846410,101075096,101363586
100077310,100406847,100847116,101075102,101363605
100082187,100406917,100851021,101075305,101364737
100082739,100422732,100854427,101078827,101365885
100083907,100423213,100854461,101079920,101368628
100089306,100424356,100854465,101081118,102100602
100089307,100425760,100857616,101083549,102100605
100089867,100444603,100857657,101087245,102100609
100090387,100456881,100857714,101089555,102100612
100090388,100456902,100858330,101089557,102101370
100090995,100456953,100879800,101091948,102104409
100096105,100456985,100881076,101092026,102809499
100096114,100457017,100882209,101092539,103038498
100096171,100457025,100886543,101093349,103114436
100096736,100457056,100889135,101093550,103114748
100097012,100464479,100891177,101093551,103114757
100098627,100467344,100891646,101093576,103116229
100099086,100467401,100893425,101094209,103174913
100103161,100470226,100898293,101094239,103174924
100103742,100478409,100899878,101094303,103259806
100104164,100538668,100908423,101094866,103364488
100110264,100538721,100948020,101095438,103395479
100117211,100544687,100950198,101097052,103395507
100117218,100544688,100956973,101100803,103395541
100117288,100544698,100960611,101103729,103456454
100118237,100544926,100960618,101103745,103888850
100119357,100545290,100960648,101104935,103889384
100156322,100546311,100962190,101105650,104608826
100156344,100557979,100967427,101113345,104608832
100163710,100666402,100969762,101114774,104874883
100164341,100668408,100971850,101122463,105064517
100165098,100675079,100971867,101124693,105180519
100169155,100681779,100978566,101124925,105180522
100184713,100700011,100979800,101125534,105339073
100184740,100736353,100979802,101125552,105454095
100184749,100736518,100985070,101128887,105714331
100184798,100754110,100988330,101131642,105735717
100184808,100755975,100989265,101191491,105739819
100184840,100756616,100989269,101196039,105739820
100185086,100756621,100992722,101200404,106699110
100185133,100758537,100992727,101204089,107003395
100185159,100772451,100992770,101204782,107033382
100185196,100773495,100993119,101210947,107918861
100185265,100773499,100993874,101212228,107918866
100185586,100774641,100995002,101212270,107918886
100185657,100781007,101000215,101212330,108023503
100185841,100781204,101002828,101262073,108663960
100186071,100781216,101004860,101269235,108663962
100186093,100782012,101006194,101278272,108713944
100200644,100782487,101006341,101282137,108773876
100201086,100791956,101007641,101282860,108958392
100207881,100791959,101007644,101290444,109354804
100214848,100797532,101007677,101293252,109433757
100250314,100797538,101012250,101293267,109434350
100251726,100798169,101012254,101293294,109452717
100258216,100799129,101014714,101293556,110175152
100259224,100800100,101017436,101293583,110176729
100261314,100800108,101017509,101293785,110633566
100263199,100801458,101017513,101294823,110718731
100263954,100801463,101019225,101297707,110963922
100264565,100801465,101019226,101297712,110997005
100273544,100801662,101019307,101313938,111343366
100276190,100803165,101019703,101315301,112868746
100301206,100803179,101019708,101317456,112868749
100301242,100804895,101020042,101319000,113543672
100301319,100804899,101020318,101321192,113549684
100301361,100806107,101022978,101321202,113550815
100313134,100807771,101023580,101321405,115464172
100321933,100808049,101024630,101322008,115464376
100332637,100811687,101024751,101322578,118655492
100334920,100812272,101030341,101323424,118656447
100335238,100812604,101031514,101323686,118659998
100338669,100820023,101031520,101327390,100007455
100344319,100821621,101032861,101331239,100008124
100351096,100822556,101034029,101331253,100008642
100351109,100822651,101034032,101332646,100047525
100351135,100823184,101034851,101333130,100047533
100353193,100824790,101038432,101333134,100048391
