Item_Number1,Item_Number2,Item_Number3,Item_Number4,Item_Number5,Item_Number6,Item_Number7,Item_Number8,Item_Number9,Item_Number10,Item_Number11,Item_Number12,Item_Number13,Item_Number14,Item_Number15,Item_Number16,Item_Number17,Item_Number18,Item_Number19,Item_Number20,Item_Number21,Item_Number22,Item_Number23,Item_Number24,Item_Number25,Item_Number26,Item_Number27,Item_Number28,Item_Number29,Item_Number30,Item_Number31,Item_Number32,Item_Number33,Item_Number34,Item_Number35,Item_Number36,Item_Number37,Item_Number38,Item_Number39,Item_Number40,Item_Number41,Item_Number42,Item_Number43,Item_Number44,Item_Number45,Item_Number46,Item_Number47,Item_Number48,Item_Number49,Item_Number50
101190013,101191132,101192230,101192350,101192442,101192452,101195761,101197459,101198018,101201313,101203585,101203587,101210250,101210284,101210286,101210490,101210763,101211151,101212080,101212924,101213770,101213887,101213928,101220939,101223861,101240069,101240086,101244637,101244924,101247478,101252231,101253766,101262383,101265855,101273171,101273686,101320428,101325011,101326337,101328126,101333142,101335281,101342627,101349638,101354297,101366152,101908653,102034943,102244436,102644144
100062397,100063812,100065029,100068357,100078772,100079769,100082204,100082629,100084665,100086251,100089422,100089792,100090268,100090434,100096974,100097287,100100917,100101425,100104360,100110327,100111995,100118417,100118764,100119374,100125518,100125579,100131134,100131250,100132152,100132375,100132724,100133272,100133809,100134950,100135060,100135372,100135610,100136522,100136615,100136658,100137018,100137062,100137106,100137107,100137129,100137304,100137409,100138544,100138924,100139233
100139245,100139833,100139915,100140415,100140497,100140508,100141016,100141256,100141365,100141656,100141975,100142258,100142403,100142469,100142871,100143523,100144572,100146040,100146083,100148385,100148389,100148390,100148606,100148695,100148826,100149153,100149274,100149317,100149377,100149385,100149507,100149757,100149857,100149869,100174208,100174326,100174426,100174460,100174506,100174533,100174661,100174674,100174741,100174782,100174843,100174925,100175250,100175411,100180212,100180607
102734730,102829155,103018769,103018772,103431105,103458158,103578903,103919258,104223875,104608758,104608759,104686505,104703995,104734206,104875202,104875203,104935716,104935722,104935734,104935741,105399725,105534372,105558505,105558512,105714085,106118475,106194114,106194115,108048689,108048705,108048711,108118703,108333343,108409160,108615332,108708958,108734553,108795139,108839967,108853347,108928378,109649216,109649218,109693600,109710755,109818370,110008769,110458661,110569845,110943917
100180618,100196588,100210572,100210583,100214043,100214417,100214550,100214822,100214872,100215343,100216100,100224374,100232863,100232864,100235649,100235654,100240530,100240619,100240671,100245358,100245540,100245626,100245687,100245784,100245826,100245943,100246054,100246227,100246313,100246341,100246355,100246404,100246783,100250857,100250911,100250966,100251013,100255128,100265950,100265974,100266672,100266796,100268925,100271486,100272904,100274519,100293176,100293303,100293404,100294379
110948412,110948413,110951618,110993824,110994541,111018769,111563839,111574505,112483960,112485235,113103817,113103818,113119814,100014014,100014235,100017297,100017541,100017984,100019834,100019845,100020275,100020591,100021036,100021831,100022197,100022935,100023436,100026770,100026827,100026885,100027373,100028483,100028648,100030344,100030991,100031330,100033628,100034604,100034671,100034814,100036774,100043922,100044046,100045634,100047604,100047624,100047669,100047676,100048773,100049526
100294508,100294580,100294627,100294672,100294796,100300481,100310646,100310777,100319382,100321348,100321465,100321566,100321596,100321620,100321732,100328479,100334305,100334986,100335253,100338483,100338800,100341401,100360543,100366738,100367772,100367786,100375957,100376874,100376967,100378423,100380215,100380216,100380305,100380775,100388400,100388422,100388520,100388734,100393087,100393801,100394836,100394847,100394908,100397110,100398889,100399439,100400900,100400917,100400963,100400978
100052256,100054475,100055947,100056460,100056514,100056691,100057288,100058154,100058524,100059408,100059764,100061769,100062794,100064027,100065633,100068352,100068364,100068407,100068763,100069430,100070359,100071182,100071250,100071550,100071651,100072599,100072601,100072717,100073132,100075345,100077247,100079210,100080505,100083403,100086254,100087314,100089334,100089374,100089442,100090301,100091121,100091122,100091624,100094506,100096211,100096224,100096895,100096896,100097398,100100509
100401428,100409108,100409461,100411018,100411210,100411227,100417026,100417030,100417038,100417114,100417134,100417152,100417190,100417234,100417243,100417518,100417519,100417777,100417779,100417985,100418130,100418186,100418666,100418690,100418695,100418869,100419135,100419347,100419496,100419563,100419842,100420447,100420913,100421094,100421307,100421828,100421829,100423633,100423779,100424392,100424448,100424533,100424700,100427049,100427127,100427219,100427239,100427363,100427413,100427428
100100702,100101226,100103234,100103237,100103643,100103912,100104406,100105782,100107114,100110304,100110320,100110682,100110966,100111357,100111616,100112693,100114485,100114642,100117402,100118578,100118775,100119259,100120421,100120879,100121561,100125030,100127286,100127426,100128006,100128239,100128900,100130480,100131738,100132041,100132091,100132195,100132369,100132577,100132646,100132798,100133014,100133062,100133067,100133167,100133293,100133357,100133614,100133742,100133945,100134014
