Division,BusinessModel,ProductGroup
0,26,7,199
2,27,3,196
1,16,10,194
0,19,0,190
1,19,9,181
1,15,0,180
1,41,10,177
0,19,4,176
0,22,33,172
0,31,8,170
1,43,9,169
2,35,3,168
1,43,10,165
0,43,5,163
0,0,6,159
0,41,4,157
1,4,10,155
2,24,2,154
0,43,11,148
0,39,14,148
0,14,10,146
0,39,7,146
1,17,9,145
0,39,5,143
0,37,7,142
0,1,14,142
1,14,7,140
0,39,11,140
0,42,12,133
2,27,0,132
1,19,10,132
1,41,0,131
0,43,13,126
1,13,36,126
0,0,1,125
1,19,12,125
0,34,7,123
1,14,5,121
1,19,2,120
1,22,3,120
0,0,11,119
0,18,4,119
0,14,8,117
2,14,0,115
0,39,10,113
2,32,1,113
0,13,14,105
0,42,8,104
0,26,13,104
