Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,Option11,Option12,Option13,Option14,Option15,Option16,Option17,Option18,Option19,Option20,Option21,Option22,Option23,Option24,Option25,Option26,Option27,Option28,Option29,Option30,Option31,Option32,Option33,Option34,Option35,Option36,Option37,Option38,Option39,Option40,Option41,Option42,Option43,Option44,Option45,Option46,Option47,Option48,Option49,Option50,Option51,Option52,Option53,Option54,Option55,Option56,Option57,Option58,Option59,Option60,Option61,Option62,Option63,Option64,Option65,Option66,Option67,Option68,Option69,Option70,Option71,Option72,Option73,Option74,Option75,Option76,Option77,Option78,Option79,Option80,Option81,Option82,Option83,Option84,Option85,Option86,Option87,Option88,Option89,Option90,Option91,Option92,Option93,Option94,Option95,Option96,Option97,Option98,Option99,Option100,Option101,Option102,Option103,Option104,Option105,Option106,Option107,Option108,Option109,Option110,Option111,Option112,Option113,Option114,Option115,Option116,Option117,Option118,Option119,Option120,Option121,Option122,Option123,Option124,Option125,Option126,Option127,Option128,Option129,Option130,Option131,Option132,Option133,Option134,Option135,Option136,Option137,Option138,Option139,Option140,Option141,Option142,Option143,Option144,Option145,Option146,Option147,Option148,Option149,Option150,Option151,Option152,Option153,Option154,Option155,Option156,Option157,Option158,Option159,Option160,Option161,Option162,Option163,Option164,Option165,Option166,Option167,Option168,Option169,Option170,Option171,Option172,Option173,Option174,Option175,Option176,Option177,Option178,Option179,Option180,Option181,Option182,Option183,Option184,Option185,Option186,Option187,Option188,Option189,Option190,Option191,Option192,Option193,Option194,Option195,Option196,Option197,Option198,Option199,Option200,Option201,Option202,Option203,Option204,Option205,Option206,Option207,Option208,Option209,Option210,Option211,Option212,Option213,Option214,Option215,Option216,Option217,Option218,Option219,Option220,Option221,Option222,Option223,Option224,Option225,Option226,Option227,Option228,Option229,Option230,Option231,Option232,Option233,Option234,Option235,Option236,Option237,Option238,Option239,Option240,Option241,Option242,Option243,Option244,Option245,Option246,Option247,Option248,Option249,Option250
100519994,100331821,100449891,100452908,100661238,100905210,100070557,100034458,100760568,100847932,100161390,100378761,100003343,100474358,100782786,100491858,100143744,100927650,100374781,100441266,100140066,100693841,100393864,100517219,100070544,100432274,100264213,100142574,100300098,100051803,100536192,100853326,100881904,100286328,100291498,100404310,100013592,100875242,100275237,100867564,100469546,100812706,100802403,100253458,100515905,100888511,100457852,100808940,100015787,100375408,100050891,100308095,100503044,100661475,100304452,100226774,100247168,100403014,100414730,100836679,100097745,100086124,100542828,100130200,100232705,100151942,100517583,100136344,100421862,100875069,100397317,100496264,100853906,100498537,100889982,100660821,100135301,100695000,100758224,100501392,100735281,100489712,100163050,100330499,100445812,100520166,100289821,100393685,100050774,100818520,100898941,100453454,100125259,100857458,100894066,100262049,100307752,100425814,100360637,100848871,100443704,100433039,100101144,100681837,100351162,100215255,100160791,100798353,100787913,100846569,100861889,100912105,100081387,100475706,100162891,100503457,100145936,100886317,100900256,100003552,100371948,100418287,100868953,100085016,100363847,100312794,100858236,100073816,100361000,100824234,100881938,100771726,100126768,100528793,100108877,100471341,100800592,100335107,100801298,100416173,100400213,100810140,100786926,100694789,100127175,100181345,100803669,100060541,100661914,100254484,100884767,100242210,100435226,100410998,100788641,100271928,100080722,100348570,100308894,100270550,100929944,100219743,100164940,100480746,100450736,100730742,100460072,100882220,100791694,100891651,100877340,100323471,100793448,100352963,100431697,100423844,100660704,100758071,100118384,100728958,100343397,100762610,100347934,100218062,100316349,100228640,100533526,100170843,100738291,100114946,100060814,100204583,100742309,100502589,100476859,100469042,100377179,100891519,100903123,100340527,100462162,100289240,100337448,100015615,100816900,100670715,100206629,100280466,100866003,100394560,100383583,100335039,100138740,100411329,100437002,100298928,100529902,100830753,100286737,100764058,100404451,100835146,100018559,100864267,100317049,100099613,100358394,100129260,100102260,100081622,100226196,100773566,100476343,100778417,100161730,100311857,100277795,100376351,100169458,100868833,100102012,100133915,100693522,100734113,100381049,100302268,100494019,100301490,100192821,100313947
100522391,100187059,100551372,100259908,100425459,100043887,100034289,100211130,100275371,100282439,100067301,100017879,100005885,100510139,100418152,100852911,100818676,100023713,100177362,100856855,100236792,100158250,100536207,100663703,100102085,100761698,100876031,100665891,100897337,100425068,100134411,100143167,100014707,100835346,100291426,100182133,100753430,100780817,100677799,100063534,100132713,100190426,100456908,100878845,100274634,100914607,100816802,100522776,100211989,100484194,100168571,100208844,100789058,100677872,100348011,100788977,100208754,100430917,100835577,100111277,100398059,100066922,100172992,100434972,100287806,100509244,100022672,100877447,100808488,100866587,100538891,100539754,100252717,100921205,100737729,100176623,100344936,100538042,100107399,100548234,100042508,100335206,100301126,100848133,100182016,100364243,100420559,100323060,100470353,100257651,100473398,100245847,100876317,100325413,100337301,100843412,100384850,100678701,100145015,100355708,100147339,100051258,100911309,100189799,100914266,100113368,100497569,100386052,100235166,100526626,100019749,100779012,100040039,100319384,100876027,100140402,100327169,100151802,100436292,100188456,100089468,100833477,100483520,100247567,100309321,100455403,100241951,100906781,100271878,100126072,100227320,100286960,100810543,100692456,100000627,100775447,100533309,100899496,100674883,100182039,100006610,100517406,100001147,100763936,100318687,100455905,100379874,100465082,100245514,100691478,100828989,100930049,100456821,100754718,100279216,100361340,100347848,100506923,100270450,100005805,100549707,100868688,100487068,100802255,100303360,100511433,100197164,100085774,100163314,100760348,100090835,100080467,100763620,100530478,100529679,100093486,100535438,100282136,100274989,100215305,100499742,100396432,100346732,100543052,100421783,100736023,100012893,100870451,100318325,100756705,100448116,100488471,100367766,100460604,100504796,100810265,100732652,100686594,100531829,100284655,100341783,100365537,100233766,100302960,100442538,100159805,100004649,100492753,100686777,100901256,100834600,100929714,100806484,100373563,100896502,100094601,100216713,100161723,100022333,100114689,100361509,100213832,100279438,100291156,100257697,100317348,100259487,100119870,100484050,100213921,100878622,100534121,100777981,100660439,100351959,100263147,100840746,100215327,100017473,100146632,100305851,100096443,100293988,100465144,100487519,100070578,100851305,100550505,100908743,100274841
100321372,100225370,100172341,100770735,100237018,100094490,100660196,100458170,100685896,100495075,100757345,100900674,100467869,100263327,100053501,100805452,100289819,100458607,100136682,100805336,100404133,100892379,100888852,100853035,100245033,100432016,100809475,100314364,100890134,100363770,100278373,100279424,100901509,100370099,100176501,100189839,100355594,100330767,100697235,100880037,100823587,100098764,100476980,100822182,100807418,100079412,100072910,100316738,100423228,100929025,100530016,100267980,100441492,100169425,100538481,100783797,100356452,100265817,100867479,100502092,100689725,100829012,100764270,100892500,100049972,100271993,100085400,100120520,100085518,100475249,100310131,100857083,100065496,100220840,100467968,100197582,100188672,100106625,100025824,100130669,100221337,100405253,100802363,100250407,100202842,100079574,100909139,100319514,100693365,100017223,100383743,100912424,100758545,100910839,100410088,100037478,100893429,100037626,100203847,100435966,100268073,100248817,100201484,100005484,100295468,100839864,100130989,100066143,100023750,100548369,100138685,100351096,100772065,100045036,100900169,100779496,100727689,100177864,100031768,100079651,100041994,100362491,100452922,100009484,100007599,100341359,100041047,100147728,100901619,100371798,100197904,100372136,100007767,100053268,100002398,100234285,100521629,100227162,100768497,100250784,100416953,100281561,100319370,100910757,100200155,100501680,100413116,100112905,100248560,100307883,100392479,100270134,100869043,100134134,100095502,100768783,100309577,100800084,100261907,100186213,100518003,100507501,100321790,100361124,100084886,100549245,100683571,100053533,100106243,100145285,100046079,100374952,100059262,100243463,100211106,100520938,100267385,100217176,100118497,100834028,100128672,100916530,100166537,100886991,100131577,100392645,100268355,100043321,100876877,100016197,100062476,100823986,100109156,100731501,100426788,100027380,100756397,100345596,100128213,100809053,100385165,100366269,100826571,100031193,100408409,100669892,100544485,100048884,100773506,100479820,100113703,100795611,100320375,100156697,100264407,100859248,100072251,100003222,100929864,100825279,100404380,100535654,100348701,100842754,100519195,100925052,100739130,100896543,100357061,100074507,100538943,100887003,100157843,100670831,100859472,100131498,100832482,100314139,100848694,100447489,100921919,100213578,100142147,100010748,100140750,100309949,100687402,100134580,100243142,100228703
100223048,100252391,100059214,100248291,100300152,100034870,100840316,100815049,100388697,100011909,100467114,100130977,100136778,100277280,100174220,100170228,100085005,100692505,100195374,100004736,100729102,100099860,100381121,100730409,100137896,100476068,100332070,100318289,100292294,100007072,100894515,100914198,100729655,100523856,100915806,100096653,100333671,100474445,100257345,100208477,100504154,100754291,100764244,100873880,100916217,100802827,100316536,100863445,100015862,100858985,100165053,100417692,100813064,100152426,100446407,100451326,100432061,100931368,100051320,100276554,100780613,100355304,100929527,100348371,100917010,100527377,100088870,100052066,100040628,100506118,100133045,100189187,100233720,100025674,100404392,100186329,100249377,100930288,100335184,100896030,100910398,100038598,100164636,100398471,100856932,100118517,100065390,100085092,100509591,100202582,100195292,100304713,100117198,100868921,100000259,100383091,100416483,100497974,100110974,100842161,100168889,100033685,100780828,100190504,100447405,100786667,100058463,100819954,100868936,100514852,100133383,100793201,100542981,100236060,100890985,100186968,100060816,100510462,100015785,100316143,100407998,100431938,100142494,100821087,100435179,100682715,100523798,100288002,100806442,100089199,100797775,100896188,100032368,100184462,100146717,100396359,100318161,100349710,100469013,100513361,100162633,100422594,100913329,100851487,100135206,100512651,100376366,100121300,100011399,100182822,100899688,100417461,100440457,100898792,100403609,100690676,100471981,100227152,100368043,100437017,100247459,100139088,100451930,100360004,100833232,100084602,100474625,100294386,100837438,100393397,100166848,100031001,100190932,100901073,100732491,100098978,100798523,100754486,100236035,100409003,100883106,100821967,100840632,100127256,100195013,100525720,100271904,100132977,100753732,100518433,100688593,100487190,100507482,100471579,100837316,100032666,100205773,100291801,100026239,100242457,100080035,100423452,100475125,100379987,100189015,100373059,100103380,100444217,100080950,100186910,100875287,100372281,100737359,100457306,100677757,100254141,100083026,100105380,100927413,100843659,100321836,100312710,100345459,100824975,100430299,100548693,100497096,100081710,100046992,100029167,100261452,100192762,100159059,100031876,100184861,100481864,100074491,100522043,100021766,100455795,100276419,100763416,100868662,100303684,100436442,100422805,100014441,100101530,100842337,100465720
100364027,100737099,100881281,100821734,100012292,100415250,100296063,100786587,100499076,100334418,100773597,100271862,100550750,100182570,100780597,100107831,100550793,100467014,100311271,100150400,100771339,100892940,100212663,100149721,100511687,100530720,100180336,100381978,100088182,100728317,100121605,100114243,100264752,100689627,100928569,100133033,100252274,100236524,100684995,100512529,100186275,100727267,100766861,100921841,100822765,100123619,100461076,100261720,100025703,100665065,100048826,100175137,100399686,100732943,100353934,100861423,100255024,100529469,100488232,100192520,100129539,100876771,100923671,100093881,100804191,100767456,100387591,100288455,100345746,100674088,100486887,100343807,100796017,100889817,100265828,100382306,100682261,100173400,100066928,100829492,100410207,100287611,100064856,100343768,100452544,100467304,100838925,100087012,100094037,100209109,100239593,100452057,100218783,100544662,100511387,100138921,100200355,100167373,100262364,100863557,100307382,100731376,100678685,100362617,100530468,100375769,100418953,100297311,100057687,100320584,100832423,100913631,100496083,100310712,100863666,100176553,100505300,100039027,100150764,100843218,100777757,100081148,100189853,100479965,100818424,100388545,100370055,100756393,100234338,100052924,100520540,100436686,100524463,100848411,100322657,100375374,100331417,100002184,100519273,100477760,100288418,100758808,100838937,100065815,100841135,100406453,100828185,100788557,100667178,100919475,100524609,100549033,100227319,100018449,100305999,100860372,100315270,100291711,100076464,100351900,100883118,100303633,100126095,100672313,100028065,100407196,100149553,100406695,100496552,100790934,100758763,100898032,100841128,100881900,100881418,100795569,100548299,100161097,100240104,100161500,100877315,100326731,100014012,100925752,100865440,100000277,100731090,100922471,100671367,100300760,100129200,100916717,100232608,100903296,100005366,100371442,100763464,100866440,100827486,100068080,100737768,100836367,100292164,100753106,100543301,100880218,100918950,100892400,100110696,100353463,100003993,100148006,100920725,100360553,100328213,100388380,100228724,100058874,100041542,100819729,100245801,100505699,100309579,100809630,100053951,100090878,100006544,100291195,100447585,100520089,100551532,100660997,100544135,100206491,100823620,100089266,100841169,100302139,100165897,100814777,100309473,100864206,100519716,100269914,100136008,100912281,100438893,100061593,100461850,100691326
100444259,100894734,100853506,100742488,100022797,100356900,100124027,100535687,100184716,100003268,100415157,100520668,100533852,100793378,100506642,100091636,100361169,100439981,100250528,100298025,100352106,100269899,100382266,100898967,100030201,100666619,100814646,100925639,100337700,100742474,100048855,100241348,100668280,100818359,100491326,100150583,100361469,100835801,100406610,100438722,100833701,100352625,100271306,100664895,100093046,100404647,100092736,100271085,100439405,100170522,100195983,100334865,100874008,100006058,100511680,100274646,100881150,100260379,100209393,100414373,100074694,100866852,100051885,100890606,100325974,100349001,100032279,100381062,100855323,100928832,100013193,100456385,100916820,100796099,100121142,100501363,100687430,100246806,100664445,100108754,100849745,100134516,100787711,100220075,100921655,100433132,100455838,100694265,100100209,100288894,100398792,100065290,100494498,100426699,100824429,100677178,100261881,100367643,100481029,100076039,100045500,100493016,100319025,100327162,100304849,100280842,100192810,100284022,100263215,100310603,100425982,100930935,100298039,100694012,100507554,100930747,100227307,100463102,100448254,100526311,100544997,100258686,100913346,100003307,100403949,100195211,100222786,100247632,100345923,100048486,100436702,100764745,100667975,100666948,100448660,100230100,100205052,100860798,100851798,100088272,100055304,100510768,100751730,100289161,100309434,100299956,100837965,100235577,100923605,100263188,100916276,100091957,100329230,100373241,100182654,100095964,100042472,100260110,100727501,100795351,100102101,100037739,100216833,100005275,100443025,100318032,100731843,100737833,100758551,100829866,100294658,100468627,100832347,100858387,100742681,100681369,100086534,100481936,100230286,100832746,100407888,100006991,100729202,100918040,100145863,100446980,100303254,100899432,100799615,100380707,100416848,100548170,100891409,100546730,100690164,100899620,100870103,100036643,100246880,100414603,100092476,100916665,100499968,100131619,100456959,100396144,100388607,100245848,100676733,100908632,100757870,100931046,100164296,100060824,100002555,100407972,100235382,100315799,100281198,100512919,100485999,100869293,100756962,100224584,100373503,100032781,100232462,100672761,100794574,100195376,100498959,100822136,100351972,100523806,100264229,100170506,100070296,100406337,100304722,100924807,100336278,100220324,100305880,100771418,100192126,100067589,100030955,100764484,100313902,100695557
100111275,100816140,100134619,100371054,100674507,100312136,100208222,100349378,100850743,100678574,100805612,100247485,100045737,100162271,100045381,100801766,100107245,100540573,100266710,100285628,100016382,100556326,100773733,100095167,100130511,100050581,100134925,100409805,100408467,100355892,100694457,100213234,100519687,100093363,100017400,100459563,100151252,100447864,100828919,100091627,100803878,100049552,100217064,100411502,100001903,100010675,100278518,100491417,100193497,100663184,100301641,100349499,100256271,100174572,100057783,100829332,100041346,100085386,100233601,100032047,100139203,100324221,100773932,100214560,100793158,100830520,100457390,100065433,100761343,100768658,100895470,100491571,100207320,100763805,100532867,100911203,100058574,100474751,100847717,100367306,100695367,100671470,100153086,100872117,100297516,100065958,100847093,100359402,100531109,100168370,100204083,100008122,100380047,100733890,100926546,100267505,100545247,100826211,100053227,100350423,100503746,100307879,100059915,100074572,100535303,100524487,100211185,100373523,100130322,100381235,100313992,100876514,100546622,100309555,100296304,100731033,100413997,100116407,100444668,100801824,100908026,100781990,100459084,100297736,100303717,100428486,100110717,100459321,100799127,100693601,100858116,100495442,100834562,100337795,100305488,100365293,100407285,100164200,100831173,100878670,100225850,100329239,100008079,100676087,100353946,100031069,100166604,100812254,100347829,100825040,100530283,100505815,100345663,100465582,100421841,100510255,100460116,100663443,100124912,100475466,100304945,100237496,100499165,100738512,100053814,100831245,100526699,100892247,100543912,100277418,100135464,100119389,100548395,100734755,100040191,100526752,100359579,100503556,100008957,100869116,100492915,100859364,100906831,100036636,100039569,100414438,100267785,100489337,100778979,100929381,100315075,100765755,100848583,100870533,100828056,100225650,100660130,100879040,100819542,100523053,100166340,100268912,100672624,100753260,100821286,100155403,100185114,100667217,100001133,100076824,100832690,100048535,100383789,100808820,100810704,100729348,100180503,100846547,100829906,100929841,100291423,100357302,100697082,100067178,100393007,100165394,100329800,100472563,100773900,100128612,100847879,100468276,100180338,100342723,100671164,100903277,100670386,100893616,100798825,100226021,100889000,100770208,100922888,100477573,100130006,100731395,100754183,100306464,100888462,100134059
100451843,100807907,100675577,100032791,100226172,100224949,100103656,100884263,100530812,100199379,100872817,100533845,100808516,100074139,100421319,100376937,100246256,100473207,100388983,100269221,100310226,100225170,100168284,100470832,100343465,100219039,100154270,100081489,100083320,100239498,100424943,100343950,100469000,100501958,100212530,100842438,100419436,100735079,100003602,100438870,100032509,100063467,100885042,100450128,100500802,100456065,100264907,100731644,100280095,100016336,100042308,100092392,100672137,100020288,100087255,100015147,100738522,100829812,100406227,100374653,100692354,100046830,100204730,100329263,100377239,100461692,100226418,100184630,100801837,100816329,100143463,100375904,100334829,100077172,100795254,100910314,100172844,100330558,100830036,100186092,100729428,100118420,100165555,100353572,100202703,100100487,100229072,100252866,100827052,100489347,100880590,100665866,100231067,100879627,100065263,100202462,100272673,100309520,100733244,100116629,100506222,100696668,100499047,100073413,100044520,100231156,100064263,100223422,100095873,100138422,100760864,100502560,100535084,100738598,100898327,100121173,100122331,100773556,100522336,100824995,100395487,100761348,100172640,100328092,100822517,100868946,100449399,100481949,100511688,100882486,100824763,100453228,100014149,100144875,100249427,100453262,100124120,100502775,100480947,100457417,100861339,100370757,100515990,100261274,100197259,100915801,100541858,100299758,100782394,100236988,100904286,100485634,100690886,100139836,100209649,100742367,100526167,100203623,100870608,100386147,100210803,100922842,100192779,100825391,100039483,100138980,100420026,100819091,100226290,100931139,100542890,100359113,100352002,100214649,100478066,100779899,100922420,100806959,100876054,100056560,100860188,100689715,100517134,100403955,100259510,100311461,100156923,100770518,100808294,100113801,100176029,100774210,100804872,100500123,100003035,100146593,100262047,100045161,100084720,100853997,100692807,100894198,100168685,100466775,100501117,100037794,100674501,100347511,100548003,100910563,100144738,100394097,100024234,100387034,100757298,100203297,100444375,100791658,100457317,100833014,100881721,100545914,100334026,100902036,100885007,100315012,100529300,100477302,100346118,100804596,100922769,100032836,100437990,100122306,100833182,100507600,100727495,100391261,100891610,100796728,100845269,100811046,100107907,100373474,100123414,100545929,100123389,100345308,100852068,100852056
100032363,100119393,100110182,100800337,100225853,100783660,100048359,100905403,100087716,100243221,100071858,100354842,100371915,100820543,100297388,100127327,100315996,100159908,100141380,100392959,100850506,100364285,100864750,100696193,100851862,100051563,100183258,100331876,100096802,100066089,100871548,100151592,100077070,100113198,100125736,100771860,100306461,100256480,100191944,100458454,100726958,100312845,100319528,100811676,100118554,100791970,100000703,100238037,100147467,100316530,100228850,100523925,100282801,100661363,100522471,100411788,100900186,100775088,100152978,100672920,100664918,100414275,100548763,100848861,100358989,100468583,100775977,100235864,100899383,100411366,100729190,100797955,100884863,100234041,100042586,100914316,100150905,100198920,100164072,100825420,100048764,100695579,100659767,100214218,100200154,100205859,100093939,100076447,100180697,100341030,100267726,100259070,100426798,100467847,100463057,100495882,100488878,100728609,100333028,100282473,100365591,100917196,100376497,100319112,100314911,100034985,100358979,100931227,100086138,100854610,100811625,100142268,100234004,100836423,100774025,100423467,100194198,100192597,100737848,100811173,100352429,100149624,100854918,100928966,100140832,100146666,100206851,100084241,100381985,100190403,100374392,100470549,100738921,100518796,100687462,100863838,100931717,100007886,100879196,100507528,100540347,100895084,100138234,100492535,100372690,100666168,100835621,100337984,100298003,100124074,100738149,100018324,100477361,100132440,100044606,100856866,100775686,100889651,100372906,100276973,100397441,100770788,100359026,100191369,100003746,100355179,100110196,100357322,100220979,100688187,100260850,100458255,100677743,100496456,100040345,100760756,100126431,100907762,100452906,100395920,100734142,100841481,100924949,100357059,100098979,100148916,100818725,100365887,100742287,100359627,100030784,100697104,100278368,100900394,100175923,100313769,100852456,100181288,100307888,100664685,100440146,100262022,100236714,100809594,100341243,100398519,100668562,100455324,100383295,100383995,100754104,100087599,100733836,100925870,100464934,100918462,100539456,100083999,100884450,100155141,100661876,100593279,100370362,100045717,100926325,100173700,100269562,100147938,100313665,100313093,100065421,100920571,100036555,100550611,100402966,100011529,100204044,100396614,100407457,100138737,100254804,100515495,100892900,100190917,100433014,100542209,100174854,100166212,100898195,100255310
100852175,100039167,100869707,100073898,100345071,100268037,100235420,100428056,100530454,100007206,100883866,100865406,100293433,100395378,100510229,100416460,100427476,100128687,100774931,100913162,100116680,100473996,100203111,100020244,100913852,100079179,100284821,100374934,100902904,100778880,100284970,100668353,100433367,100313796,100301865,100216402,100033869,100014018,100845065,100915213,100390966,100084892,100492957,100075797,100321056,100406545,100779374,100666295,100233578,100059452,100543136,100157926,100366377,100014729,100195323,100782301,100002113,100154381,100320416,100296459,100367730,100196771,100218979,100455024,100167277,100876947,100790524,100911137,100256701,100779987,100209023,100377430,100797042,100817503,100249978,100208770,100130038,100348931,100168060,100167346,100431154,100061676,100766021,100387681,100466761,100219883,100860227,100912186,100768755,100165759,100247981,100447527,100389336,100045422,100854853,100911239,100011172,100773584,100825252,100337177,100193408,100751463,100093205,100880817,100366333,100773070,100906208,100442595,100263492,100325240,100791839,100335247,100333990,100500941,100026733,100368976,100103400,100775921,100490544,100410845,100130641,100537732,100869813,100146963,100342671,100412139,100527552,100329751,100325014,100817341,100011114,100242298,100152436,100304445,100065467,100351512,100382415,100393311,100341782,100145965,100801527,100273286,100781787,100451996,100907299,100294577,100462731,100411130,100742745,100259015,100441589,100782702,100377939,100391582,100240356,100207838,100400827,100737202,100529629,100008677,100673513,100470520,100845373,100202872,100139454,100100804,100487793,100679539,100757071,100778362,100890170,100309252,100528502,100343598,100031261,100365455,100655985,100929707,100293420,100761030,100432644,100867700,100848413,100354709,100661816,100290752,100315322,100834357,100400217,100890631,100183444,100263582,100268230,100113487,100924650,100406512,100168755,100106258,100054910,100474877,100332395,100183834,100268173,100684160,100402739,100461328,100147739,100152966,100924706,100360803,100421218,100269195,100365126,100024810,100135197,100192027,100216819,100367624,100728369,100411755,100270890,100519784,100783822,100125000,100237954,100167827,100666673,100931102,100800424,100598413,100505850,100360787,100226658,100339458,100477538,100045610,100142227,100149792,100461228,100507424,100454465,100877127,100836386,100132325,100379993,100085961,100026735,100413046,100153596,100308815
