CLEARANCE_DISPLAY_ID,Item_Number
34551253,127719238
34551264,127719279
34551265,127719196
34551325,127719006
34551336,127729944
34551337,127729960
34551356,127729952
34551370,127729981
34551371,127729940
34551372,127734140
34551373,127738681
34551375,127739024
34551388,127809398
34551389,127809384
34551393,127809376
34551398,127809362
34551399,127818666
34551400,127818642
34551426,127818662
34551427,127821535
34551430,127821520
34551442,127963598
34551443,127963599
34551456,128003793
34551457,128073914
34551463,128084144
34551468,128084150
34551469,128084786
34551470,128133613
34551524,128138607
34551525,128139354
34551534,128139614
34551548,128163599
34551549,128163610
34545358,126730093
34545364,126730130
34545365,126730055
34545376,126730136
34545380,126730080
34545381,126730054
34545392,126743554
34545393,126743600
34545399,126743553
34545408,126743560
34545409,126743544
34545420,126743525
34545426,126743558
34545427,126743551
34545432,126743640
34545442,126743601
34545443,126773555
34545454,126783528
34547796,128912686
34547797,128912680
34547808,128912694
34547809,128913662
34547812,128919081
34547813,128919088
34547816,128919083
34547817,128923713
34547822,128923852
34547823,128923854
34547830,128923858
34547831,128939171
34547832,128939497
34547833,128940455
34547834,128940445
34547835,128940588
34547840,128939931
34547841,128969168
34547847,128939976
34547848,128939953
34547849,128980314
34545623,128308662
34545642,128369508
34545643,128369515
34545652,128369500
34545653,128369486
34545670,128369491
34545671,128369531
34545680,128369528
34545681,128369541
34545694,128793885
34545695,128793864
34545696,128802242
34545697,128816075
34545698,128817189
34545710,128824518
34545711,128841612
34545722,128868784
34545724,128868785
34545725,128868767
34545746,128868773
34545747,128868780
34545769,128868770
34545770,128880198
34545771,128880605
34545784,128880778
34545786,128868775
34545787,128918800
34545800,128918806
34545802,128918812
34545803,128924803
34545816,128925447
34545817,128925461
34545829,128928635
34545834,128928651
34545835,128928636
34545844,128928634
34545850,128938893
34545851,128945087
34545860,128945072
34546715,124215861
34546720,124596991
34546721,124898451
34546723,124898449
34546728,124918436
34546729,125078458
34546731,125629087
34546738,125646683
34546739,125715787
34546746,125715781
34546752,125750766
34546753,125759037
34546758,125899532
34546759,126243628
34546767,126331230
34546774,126331234
34546775,126419091
34546787,126433640
34546792,126434354
34546793,126490163
34546798,126490164
34546804,126595359
34546805,126656120
34546830,126819053
34546831,127000704
34546841,127073572
34546846,127179223
34546847,127179222
34546855,127284169
34546862,127284166
34546863,127349874
34546868,127368623
34546880,127379825
34546881,127381058
34546906,127381057
34546907,127381056
34546919,127399877
34546936,127414176
34546937,127433708
34549809,127259129
34549810,127288182
34549811,127288183
34549815,127288192
34549816,127363543
34549817,127465353
34549823,127488566
34549842,127516748
34549843,127523693
34549846,127643702
34549852,127803631
34549853,127828635
34549858,127828630
34549859,127983629
34549865,128128806
34549872,128140157
34549873,128258854
34549877,128259135
34549882,128259149
34549883,128259136
34549884,128274346
34549886,128278805
34549887,128128909
34549890,128293664
34549891,128293693
34549893,128429968
34549896,128443599
34549897,128478623
34549899,128478620
34549908,128794402
34549909,128794479
34549914,128794478
34549916,128793917
34549917,128796352
34549920,128543848
34549921,128800056
34549923,128809218
34549928,128814206
34556750,132371371
34549172,128845272
34549173,128861683
34549181,128863492
34549186,128863494
34549187,128869386
34549194,128869598
34549204,128871695
34549205,128879462
34549218,128879783
34549219,128880304
34549229,128898745
34549238,128911424
34549239,128924000
34549241,128940836
34549254,128940835
34549255,128943604
34547767,130855911
34547772,130978715
34547773,130978713
34547780,131238761
34547781,131363717
34547790,131368728
34547791,131414304
34547798,131508964
34547799,131549415
34547804,131729053
34547805,131729052
34547806,131729057
34547807,131729060
34547814,131819521
34547815,132053789
34547820,132142236
34547821,132260505
34547828,132373933
34547838,132479989
34547839,123469184
34547844,123819013
34547852,126656731
34547853,127516747
34551026,130673911
34551027,130673893
34551034,130673928
34551035,130673919
34551038,130673927
34551039,130673912
34551040,130673904
34551041,130768811
34551042,130753976
34551043,130814206
34551052,130763951
34551053,130824287
34551058,130824295
34551062,130824255
34551063,130824257
34551064,130824308
34551066,130824319
34551067,130824299
34551072,130824276
34551073,130763944
