New/Maintain,Pricing Method,Zone Group,Base Zone,Zones,Product Group,Category,Sub-Category,Business Model,Buying Group,Buying Sub-Group,Buying Set,Brand,Base Zone Price,Base Zone Currency,Converted Price,Converted Price Currency,Conversion Factor,Reprice Existing
New,1,2,99,99,,,,,,,,AMOUR,1,GBP,1,GBP,,N
New,1,2,99,100,,,,,,,,AMOUR,1,GBP,1,GBP,,N
New,1,2,99,101,,,,,,,,AMOUR,1,GBP,1,GBP,,N
New,1,2,99,102,,,,,,,,AMOUR,1,GBP,2,USD,,N
New,1,2,99,103,,,,,,,,AMOUR,1,GBP,1.12,EUR,,N
New,1,2,99,104,,,,,,,,AMOUR,1,GBP,1.12,EUR,,N
New,1,2,99,105,,,,,,,,AMOUR,1,GBP,1.12,EUR,,N
New,1,2,99,106,,,,,,,,AMOUR,1,GBP,1.12,EUR,,N
New,1,2,99,107,,,,,,,,AMOUR,1,GBP,85,RUB,,N
New,1,2,99,108,,,,,,,,AMOUR,1,GBP,2,AUD,,N
New,1,2,99,109,,,,,,,,AMOUR,1,GBP,1.12,EUR,,N
New,1,2,99,110,,,,,,,,AMOUR,1,GBP,12,SEK,,N
New,1,2,99,111,,,,,,,,AMOUR,1,GBP,1.12,EUR,,N
New,1,2,99,99,,,,,,,,AMOUR,2,GBP,2,GBP,,N
New,1,2,99,100,,,,,,,,AMOUR,2,GBP,2,GBP,,N
New,1,2,99,101,,,,,,,,AMOUR,2,GBP,2,GBP,,N
New,1,2,99,102,,,,,,,,AMOUR,2,GBP,4,USD,,N
New,1,2,99,103,,,,,,,,AMOUR,2,GBP,2.22,EUR,,N
New,1,2,99,104,,,,,,,,AMOUR,2,GBP,2.22,EUR,,N
New,1,2,99,105,,,,,,,,AMOUR,2,GBP,2.22,EUR,,N
New,1,2,99,106,,,,,,,,AMOUR,2,GBP,2.22,EUR,,N
New,1,2,99,107,,,,,,,,AMOUR,2,GBP,170,RUB,,N
New,1,2,99,108,,,,,,,,AMOUR,2,GBP,4,AUD,,N
New,1,2,99,109,,,,,,,,AMOUR,2,GBP,2.22,EUR,,N
New,1,2,99,110,,,,,,,,AMOUR,2,GBP,24,SEK,,N
New,1,2,99,111,,,,,,,,AMOUR,2,GBP,2.22,EUR,,N
New,1,2,99,99,,,,,,,,ANN-SOFIE,1,GBP,1,GBP,,N
New,1,2,99,100,,,,,,,,ANN-SOFIE,1,GBP,1,GBP,,N
New,1,2,99,101,,,,,,,,ANN-SOFIE,1,GBP,1,GBP,,N
New,1,2,99,102,,,,,,,,ANN-SOFIE,1,GBP,2,USD,,N
New,1,2,99,103,,,,,,,,ANN-SOFIE,1,GBP,1.12,EUR,,N
New,1,2,99,104,,,,,,,,ANN-SOFIE,1,GBP,1.12,EUR,,N
New,1,2,99,105,,,,,,,,ANN-SOFIE,1,GBP,1.12,EUR,,N
New,1,2,99,106,,,,,,,,ANN-SOFIE,1,GBP,1.12,EUR,,N
New,1,2,99,107,,,,,,,,ANN-SOFIE,1,GBP,85,RUB,,N
New,1,2,99,108,,,,,,,,ANN-SOFIE,1,GBP,2,AUD,,N
New,1,2,99,109,,,,,,,,ANN-SOFIE,1,GBP,1.12,EUR,,N
New,1,2,99,110,,,,,,,,ANN-SOFIE,1,GBP,12,SEK,,N
New,1,2,99,111,,,,,,,,ANN-SOFIE,1,GBP,1.12,EUR,,N
New,1,2,99,99,,,,,,,,ANN-SOFIE,2,GBP,2,GBP,,N
New,1,2,99,100,,,,,,,,ANN-SOFIE,2,GBP,2,GBP,,N
New,1,2,99,101,,,,,,,,ANN-SOFIE,2,GBP,2,GBP,,N
New,1,2,99,102,,,,,,,,ANN-SOFIE,2,GBP,4,USD,,N
New,1,2,99,103,,,,,,,,ANN-SOFIE,2,GBP,2.22,EUR,,N
New,1,2,99,104,,,,,,,,ANN-SOFIE,2,GBP,2.22,EUR,,N
New,1,2,99,105,,,,,,,,ANN-SOFIE,2,GBP,2.22,EUR,,N
New,1,2,99,106,,,,,,,,ANN-SOFIE,2,GBP,2.22,EUR,,N
New,1,2,99,107,,,,,,,,ANN-SOFIE,2,GBP,170,RUB,,N
New,1,2,99,108,,,,,,,,ANN-SOFIE,2,GBP,4,AUD,,N
New,1,2,99,109,,,,,,,,ANN-SOFIE,2,GBP,2.22,EUR,,N
New,1,2,99,110,,,,,,,,ANN-SOFIE,2,GBP,24,SEK,,N
New,1,2,99,111,,,,,,,,ANN-SOFIE,2,GBP,2.22,EUR,,N
