Option ID,Zone Group,Zone,Reason Code,Effective Date,Change Type,Change Amount,Change Percent,Price Guide,Auto-Approve
100300001,2,100,20,24/12/2025,0,,-25,Y,Y
100300015,2,100,20,24/12/2025,0,,-25,Y,Y
100300029,2,100,20,24/12/2025,0,,-25,Y,Y
100300042,2,100,20,24/12/2025,0,,-25,Y,Y
100300052,2,100,20,24/12/2025,0,,-25,Y,Y
100300060,2,100,20,24/12/2025,0,,-25,Y,Y
100300074,2,100,20,24/12/2025,0,,-25,Y,Y
100300076,2,100,20,24/12/2025,0,,-25,Y,Y
100300083,2,100,20,24/12/2025,0,,-25,Y,Y
100300096,2,100,20,24/12/2025,0,,-25,Y,Y
100300097,2,100,20,24/12/2025,0,,-25,Y,Y
100300101,2,100,20,24/12/2025,0,,-25,Y,Y
100300102,2,100,20,24/12/2025,0,,-25,Y,Y
100300103,2,100,20,24/12/2025,0,,-25,Y,Y
100300105,2,100,20,24/12/2025,0,,-25,Y,Y
100300112,2,100,20,24/12/2025,0,,-25,Y,Y
100300120,2,100,20,24/12/2025,0,,-25,Y,Y
100300127,2,100,20,24/12/2025,0,,-25,Y,Y
100300131,2,100,20,24/12/2025,0,,-25,Y,Y
100300141,2,100,20,24/12/2025,0,,-25,Y,Y
100300155,2,100,20,24/12/2025,0,,-25,Y,Y
100300157,2,100,20,24/12/2025,0,,-25,Y,Y
100300158,2,100,20,24/12/2025,0,,-25,Y,Y
100300172,2,100,20,24/12/2025,0,,-25,Y,Y
100300176,2,100,20,24/12/2025,0,,-25,Y,Y
100300196,2,100,20,24/12/2025,0,,-25,Y,Y
100300205,2,100,20,24/12/2025,0,,-25,Y,Y
100300229,2,100,20,24/12/2025,0,,-25,Y,Y
100300280,2,100,20,24/12/2025,0,,-25,Y,Y
100300286,2,100,20,24/12/2025,0,,-25,Y,Y
100300289,2,100,20,24/12/2025,0,,-25,Y,Y
100300290,2,100,20,24/12/2025,0,,-25,Y,Y
100300295,2,100,20,24/12/2025,0,,-25,Y,Y
100300300,2,100,20,24/12/2025,0,,-25,Y,Y
100300319,2,100,20,24/12/2025,0,,-25,Y,Y
100300326,2,100,20,24/12/2025,0,,-25,Y,Y
100300328,2,100,20,24/12/2025,0,,-25,Y,Y
100300332,2,100,20,24/12/2025,0,,-25,Y,Y
100300334,2,100,20,24/12/2025,0,,-25,Y,Y
100300344,2,100,20,24/12/2025,0,,-25,Y,Y
100300345,2,100,20,24/12/2025,0,,-25,Y,Y
100300360,2,100,20,24/12/2025,0,,-25,Y,Y
100300614,2,100,20,24/12/2025,0,,-25,Y,Y
100301556,2,100,20,24/12/2025,0,,-25,Y,Y
100301695,2,100,20,24/12/2025,0,,-25,Y,Y
100301945,2,100,20,24/12/2025,0,,-25,Y,Y
100301988,2,100,20,24/12/2025,0,,-25,Y,Y
100301993,2,100,20,24/12/2025,0,,-25,Y,Y
100302001,2,100,20,24/12/2025,0,,-25,Y,Y
100302051,2,100,20,24/12/2025,0,,-25,Y,Y
100302059,2,100,20,24/12/2025,0,,-25,Y,Y
100302063,2,100,20,24/12/2025,0,,-25,Y,Y
100302084,2,100,20,24/12/2025,0,,-25,Y,Y
100302122,2,100,20,24/12/2025,0,,-25,Y,Y
100302123,2,100,20,24/12/2025,0,,-25,Y,Y
100302125,2,100,20,24/12/2025,0,,-25,Y,Y
100302141,2,100,20,24/12/2025,0,,-25,Y,Y
100302204,2,100,20,24/12/2025,0,,-25,Y,Y
100302210,2,100,20,24/12/2025,0,,-25,Y,Y
100302211,2,100,20,24/12/2025,0,,-25,Y,Y
100302213,2,100,20,24/12/2025,0,,-25,Y,Y
100302238,2,100,20,24/12/2025,0,,-25,Y,Y
100302278,2,100,20,24/12/2025,0,,-25,Y,Y
100302521,2,100,20,24/12/2025,0,,-25,Y,Y
100302550,2,100,20,24/12/2025,0,,-25,Y,Y
100302741,2,100,20,24/12/2025,0,,-25,Y,Y
100302808,2,100,20,24/12/2025,0,,-25,Y,Y
100302927,2,100,20,24/12/2025,0,,-25,Y,Y
100302968,2,100,20,24/12/2025,0,,-25,Y,Y
100302988,2,100,20,24/12/2025,0,,-25,Y,Y
100302998,2,100,20,24/12/2025,0,,-25,Y,Y
100303195,2,100,20,24/12/2025,0,,-25,Y,Y
100303202,2,100,20,24/12/2025,0,,-25,Y,Y
100303205,2,100,20,24/12/2025,0,,-25,Y,Y
100303386,2,100,20,24/12/2025,0,,-25,Y,Y
100303429,2,100,20,24/12/2025,0,,-25,Y,Y
100303472,2,100,20,24/12/2025,0,,-25,Y,Y
100303475,2,100,20,24/12/2025,0,,-25,Y,Y
100303566,2,100,20,24/12/2025,0,,-25,Y,Y
100304131,2,100,20,24/12/2025,0,,-25,Y,Y
100304133,2,100,20,24/12/2025,0,,-25,Y,Y
100304311,2,100,20,24/12/2025,0,,-25,Y,Y
100304313,2,100,20,24/12/2025,0,,-25,Y,Y
100304419,2,100,20,24/12/2025,0,,-25,Y,Y
100304421,2,100,20,24/12/2025,0,,-25,Y,Y
100304445,2,100,20,24/12/2025,0,,-25,Y,Y
100304524,2,100,20,24/12/2025,0,,-25,Y,Y
100304527,2,100,20,24/12/2025,0,,-25,Y,Y
100304532,2,100,20,24/12/2025,0,,-25,Y,Y
100304637,2,100,20,24/12/2025,0,,-25,Y,Y
100304647,2,100,20,24/12/2025,0,,-25,Y,Y
100304649,2,100,20,24/12/2025,0,,-25,Y,Y
100304784,2,100,20,24/12/2025,0,,-25,Y,Y
100304886,2,100,20,24/12/2025,0,,-25,Y,Y
100305026,2,100,20,24/12/2025,0,,-25,Y,Y
100305096,2,100,20,24/12/2025,0,,-25,Y,Y
100305122,2,100,20,24/12/2025,0,,-25,Y,Y
100305132,2,100,20,24/12/2025,0,,-25,Y,Y
100305203,2,100,20,24/12/2025,0,,-25,Y,Y
100305255,2,100,20,24/12/2025,0,,-25,Y,Y
100305332,2,100,20,24/12/2025,0,,-25,Y,Y
100305337,2,100,20,24/12/2025,0,,-25,Y,Y
100305343,2,100,20,24/12/2025,0,,-25,Y,Y
