Option ID,Zone Group,Zone,Reason Code,Effective Date,Change Type,Change Amount,Change Percent,Price Guide,Auto-Approve
100541852,2,100,20,24/12/2025,0,,-25,Y,Y
100541883,2,100,20,24/12/2025,0,,-25,Y,Y
100541914,2,100,20,24/12/2025,0,,-25,Y,Y
100541935,2,100,20,24/12/2025,0,,-25,Y,Y
100541937,2,100,20,24/12/2025,0,,-25,Y,Y
100542021,2,100,20,24/12/2025,0,,-25,Y,Y
100542098,2,100,20,24/12/2025,0,,-25,Y,Y
100542100,2,100,20,24/12/2025,0,,-25,Y,Y
100542129,2,100,20,24/12/2025,0,,-25,Y,Y
100542153,2,100,20,24/12/2025,0,,-25,Y,Y
100542183,2,100,20,24/12/2025,0,,-25,Y,Y
100542291,2,100,20,24/12/2025,0,,-25,Y,Y
100542299,2,100,20,24/12/2025,0,,-25,Y,Y
100542309,2,100,20,24/12/2025,0,,-25,Y,Y
100542311,2,100,20,24/12/2025,0,,-25,Y,Y
100542371,2,100,20,24/12/2025,0,,-25,Y,Y
100542374,2,100,20,24/12/2025,0,,-25,Y,Y
100542406,2,100,20,24/12/2025,0,,-25,Y,Y
100542423,2,100,20,24/12/2025,0,,-25,Y,Y
100542435,2,100,20,24/12/2025,0,,-25,Y,Y
100542556,2,100,20,24/12/2025,0,,-25,Y,Y
100542664,2,100,20,24/12/2025,0,,-25,Y,Y
100542668,2,100,20,24/12/2025,0,,-25,Y,Y
100542799,2,100,20,24/12/2025,0,,-25,Y,Y
100542805,2,100,20,24/12/2025,0,,-25,Y,Y
100542812,2,100,20,24/12/2025,0,,-25,Y,Y
100542894,2,100,20,24/12/2025,0,,-25,Y,Y
100542902,2,100,20,24/12/2025,0,,-25,Y,Y
100543015,2,100,20,24/12/2025,0,,-25,Y,Y
100543019,2,100,20,24/12/2025,0,,-25,Y,Y
100543048,2,100,20,24/12/2025,0,,-25,Y,Y
100543097,2,100,20,24/12/2025,0,,-25,Y,Y
100543099,2,100,20,24/12/2025,0,,-25,Y,Y
100543107,2,100,20,24/12/2025,0,,-25,Y,Y
100543109,2,100,20,24/12/2025,0,,-25,Y,Y
100543240,2,100,20,24/12/2025,0,,-25,Y,Y
100543281,2,100,20,24/12/2025,0,,-25,Y,Y
100543363,2,100,20,24/12/2025,0,,-25,Y,Y
100543371,2,100,20,24/12/2025,0,,-25,Y,Y
100543378,2,100,20,24/12/2025,0,,-25,Y,Y
100543387,2,100,20,24/12/2025,0,,-25,Y,Y
100543399,2,100,20,24/12/2025,0,,-25,Y,Y
100543412,2,100,20,24/12/2025,0,,-25,Y,Y
100543427,2,100,20,24/12/2025,0,,-25,Y,Y
100543429,2,100,20,24/12/2025,0,,-25,Y,Y
100543442,2,100,20,24/12/2025,0,,-25,Y,Y
100543456,2,100,20,24/12/2025,0,,-25,Y,Y
100543487,2,100,20,24/12/2025,0,,-25,Y,Y
100543488,2,100,20,24/12/2025,0,,-25,Y,Y
100543553,2,100,20,24/12/2025,0,,-25,Y,Y
100543609,2,100,20,24/12/2025,0,,-25,Y,Y
100543611,2,100,20,24/12/2025,0,,-25,Y,Y
100543735,2,100,20,24/12/2025,0,,-25,Y,Y
100543747,2,100,20,24/12/2025,0,,-25,Y,Y
100543830,2,100,20,24/12/2025,0,,-25,Y,Y
100543853,2,100,20,24/12/2025,0,,-25,Y,Y
100543924,2,100,20,24/12/2025,0,,-25,Y,Y
100543932,2,100,20,24/12/2025,0,,-25,Y,Y
100544029,2,100,20,24/12/2025,0,,-25,Y,Y
100544049,2,100,20,24/12/2025,0,,-25,Y,Y
100544053,2,100,20,24/12/2025,0,,-25,Y,Y
100544056,2,100,20,24/12/2025,0,,-25,Y,Y
100544231,2,100,20,24/12/2025,0,,-25,Y,Y
100544235,2,100,20,24/12/2025,0,,-25,Y,Y
100544300,2,100,20,24/12/2025,0,,-25,Y,Y
100544385,2,100,20,24/12/2025,0,,-25,Y,Y
100544386,2,100,20,24/12/2025,0,,-25,Y,Y
100544422,2,100,20,24/12/2025,0,,-25,Y,Y
100544426,2,100,20,24/12/2025,0,,-25,Y,Y
100544455,2,100,20,24/12/2025,0,,-25,Y,Y
100544459,2,100,20,24/12/2025,0,,-25,Y,Y
100544461,2,100,20,24/12/2025,0,,-25,Y,Y
100544470,2,100,20,24/12/2025,0,,-25,Y,Y
100544491,2,100,20,24/12/2025,0,,-25,Y,Y
100544529,2,100,20,24/12/2025,0,,-25,Y,Y
100544552,2,100,20,24/12/2025,0,,-25,Y,Y
100544557,2,100,20,24/12/2025,0,,-25,Y,Y
100544599,2,100,20,24/12/2025,0,,-25,Y,Y
100544600,2,100,20,24/12/2025,0,,-25,Y,Y
100544608,2,100,20,24/12/2025,0,,-25,Y,Y
100544609,2,100,20,24/12/2025,0,,-25,Y,Y
100544704,2,100,20,24/12/2025,0,,-25,Y,Y
100544852,2,100,20,24/12/2025,0,,-25,Y,Y
100544897,2,100,20,24/12/2025,0,,-25,Y,Y
100544938,2,100,20,24/12/2025,0,,-25,Y,Y
100544948,2,100,20,24/12/2025,0,,-25,Y,Y
100544968,2,100,20,24/12/2025,0,,-25,Y,Y
100545038,2,100,20,24/12/2025,0,,-25,Y,Y
100545112,2,100,20,24/12/2025,0,,-25,Y,Y
100545139,2,100,20,24/12/2025,0,,-25,Y,Y
100545198,2,100,20,24/12/2025,0,,-25,Y,Y
100545210,2,100,20,24/12/2025,0,,-25,Y,Y
100545241,2,100,20,24/12/2025,0,,-25,Y,Y
100545273,2,100,20,24/12/2025,0,,-25,Y,Y
100545322,2,100,20,24/12/2025,0,,-25,Y,Y
100545334,2,100,20,24/12/2025,0,,-25,Y,Y
100545360,2,100,20,24/12/2025,0,,-25,Y,Y
100545372,2,100,20,24/12/2025,0,,-25,Y,Y
100545389,2,100,20,24/12/2025,0,,-25,Y,Y
100545391,2,100,20,24/12/2025,0,,-25,Y,Y
100545401,2,100,20,24/12/2025,0,,-25,Y,Y
100545417,2,100,20,24/12/2025,0,,-25,Y,Y
100545432,2,100,20,24/12/2025,0,,-25,Y,Y
100545454,2,100,20,24/12/2025,0,,-25,Y,Y
100545457,2,100,20,24/12/2025,0,,-25,Y,Y
100545513,2,100,20,24/12/2025,0,,-25,Y,Y
100545527,2,100,20,24/12/2025,0,,-25,Y,Y
