Option ID,Zone Group,Zone,Reason Code,Effective Date,Change Type,Change Amount,Change Percent,Price Guide,Auto-Approve
101018193,2,100,20,24/12/2025,0,,-25,Y,Y
101018248,2,100,20,24/12/2025,0,,-25,Y,Y
101018270,2,100,20,24/12/2025,0,,-25,Y,Y
101018429,2,100,20,24/12/2025,0,,-25,Y,Y
101018443,2,100,20,24/12/2025,0,,-25,Y,Y
101018470,2,100,20,24/12/2025,0,,-25,Y,Y
101018495,2,100,20,24/12/2025,0,,-25,Y,Y
101018773,2,100,20,24/12/2025,0,,-25,Y,Y
101018835,2,100,20,24/12/2025,0,,-25,Y,Y
101018845,2,100,20,24/12/2025,0,,-25,Y,Y
101018851,2,100,20,24/12/2025,0,,-25,Y,Y
101018908,2,100,20,24/12/2025,0,,-25,Y,Y
101018925,2,100,20,24/12/2025,0,,-25,Y,Y
101019154,2,100,20,24/12/2025,0,,-25,Y,Y
101019185,2,100,20,24/12/2025,0,,-25,Y,Y
101019193,2,100,20,24/12/2025,0,,-25,Y,Y
101019284,2,100,20,24/12/2025,0,,-25,Y,Y
101019294,2,100,20,24/12/2025,0,,-25,Y,Y
101019494,2,100,20,24/12/2025,0,,-25,Y,Y
101019776,2,100,20,24/12/2025,0,,-25,Y,Y
101019820,2,100,20,24/12/2025,0,,-25,Y,Y
101019829,2,100,20,24/12/2025,0,,-25,Y,Y
101019835,2,100,20,24/12/2025,0,,-25,Y,Y
101019845,2,100,20,24/12/2025,0,,-25,Y,Y
101019877,2,100,20,24/12/2025,0,,-25,Y,Y
101019929,2,100,20,24/12/2025,0,,-25,Y,Y
101019931,2,100,20,24/12/2025,0,,-25,Y,Y
101020501,2,100,20,24/12/2025,0,,-25,Y,Y
101020579,2,100,20,24/12/2025,0,,-25,Y,Y
101020599,2,100,20,24/12/2025,0,,-25,Y,Y
101020626,2,100,20,24/12/2025,0,,-25,Y,Y
101020969,2,100,20,24/12/2025,0,,-25,Y,Y
101020997,2,100,20,24/12/2025,0,,-25,Y,Y
101021066,2,100,20,24/12/2025,0,,-25,Y,Y
