Option ID,Zone Group,Zone,Reason Code,Effective Date,Change Type,Change Amount,Change Percent,Price Guide,Auto-Approve
135760458,2,115,20,24/12/2025,0,,-25,Y,Y
140623639,2,115,20,24/12/2025,0,,-25,Y,Y
140623636,2,115,20,24/12/2025,0,,-25,Y,Y
140702115,2,115,20,24/12/2025,0,,-25,Y,Y
140702124,2,115,20,24/12/2025,0,,-25,Y,Y
143854612,2,115,20,24/12/2025,0,,-25,Y,Y
143855125,2,115,20,24/12/2025,0,,-25,Y,Y
143855126,2,115,20,24/12/2025,0,,-25,Y,Y
143855371,2,115,20,24/12/2025,0,,-25,Y,Y
133172317,2,115,20,24/12/2025,0,,-25,Y,Y
133220772,2,115,20,24/12/2025,0,,-25,Y,Y
133220773,2,115,20,24/12/2025,0,,-25,Y,Y
133268829,2,115,20,24/12/2025,0,,-25,Y,Y
136001675,2,115,20,24/12/2025,0,,-25,Y,Y
136005697,2,115,20,24/12/2025,0,,-25,Y,Y
136123045,2,115,20,24/12/2025,0,,-25,Y,Y
140707783,2,115,20,24/12/2025,0,,-25,Y,Y
140832521,2,115,20,24/12/2025,0,,-25,Y,Y
143857144,2,115,20,24/12/2025,0,,-25,Y,Y
143860324,2,115,20,24/12/2025,0,,-25,Y,Y
143862206,2,115,20,24/12/2025,0,,-25,Y,Y
133269257,2,115,20,24/12/2025,0,,-25,Y,Y
133269545,2,115,20,24/12/2025,0,,-25,Y,Y
133270680,2,115,20,24/12/2025,0,,-25,Y,Y
136241122,2,115,20,24/12/2025,0,,-25,Y,Y
136477835,2,115,20,24/12/2025,0,,-25,Y,Y
136648791,2,115,20,24/12/2025,0,,-25,Y,Y
140917966,2,115,20,24/12/2025,0,,-25,Y,Y
140917968,2,115,20,24/12/2025,0,,-25,Y,Y
143862208,2,115,20,24/12/2025,0,,-25,Y,Y
143862440,2,115,20,24/12/2025,0,,-25,Y,Y
143862444,2,115,20,24/12/2025,0,,-25,Y,Y
133284040,2,115,20,24/12/2025,0,,-25,Y,Y
133330034,2,115,20,24/12/2025,0,,-25,Y,Y
136838876,2,115,20,24/12/2025,0,,-25,Y,Y
142204287,2,115,20,24/12/2025,0,,-25,Y,Y
142205534,2,115,20,24/12/2025,0,,-25,Y,Y
143863550,2,115,20,24/12/2025,0,,-25,Y,Y
133504774,2,115,20,24/12/2025,0,,-25,Y,Y
133555585,2,115,20,24/12/2025,0,,-25,Y,Y
133558928,2,115,20,24/12/2025,0,,-25,Y,Y
136839744,2,115,20,24/12/2025,0,,-25,Y,Y
137084962,2,115,20,24/12/2025,0,,-25,Y,Y
142428497,2,115,20,24/12/2025,0,,-25,Y,Y
143813356,2,115,20,24/12/2025,0,,-25,Y,Y
143813556,2,115,20,24/12/2025,0,,-25,Y,Y
143813920,2,115,20,24/12/2025,0,,-25,Y,Y
143813921,2,115,20,24/12/2025,0,,-25,Y,Y
143870615,2,115,20,24/12/2025,0,,-25,Y,Y
133586674,2,115,20,24/12/2025,0,,-25,Y,Y
100338757,2,100,20,24/12/2025,0,,-25,Y,Y
100338759,2,100,20,24/12/2025,0,,-25,Y,Y
100338771,2,100,20,24/12/2025,0,,-25,Y,Y
100338777,2,100,20,24/12/2025,0,,-25,Y,Y
100338788,2,100,20,24/12/2025,0,,-25,Y,Y
100338809,2,100,20,24/12/2025,0,,-25,Y,Y
100338812,2,100,20,24/12/2025,0,,-25,Y,Y
100338814,2,100,20,24/12/2025,0,,-25,Y,Y
100338816,2,100,20,24/12/2025,0,,-25,Y,Y
100338821,2,100,20,24/12/2025,0,,-25,Y,Y
100338837,2,100,20,24/12/2025,0,,-25,Y,Y
100338840,2,100,20,24/12/2025,0,,-25,Y,Y
100338869,2,100,20,24/12/2025,0,,-25,Y,Y
100338872,2,100,20,24/12/2025,0,,-25,Y,Y
100338882,2,100,20,24/12/2025,0,,-25,Y,Y
100338888,2,100,20,24/12/2025,0,,-25,Y,Y
100338890,2,100,20,24/12/2025,0,,-25,Y,Y
100338899,2,100,20,24/12/2025,0,,-25,Y,Y
100338923,2,100,20,24/12/2025,0,,-25,Y,Y
100338939,2,100,20,24/12/2025,0,,-25,Y,Y
100338940,2,100,20,24/12/2025,0,,-25,Y,Y
100338941,2,100,20,24/12/2025,0,,-25,Y,Y
100338978,2,100,20,24/12/2025,0,,-25,Y,Y
100338980,2,100,20,24/12/2025,0,,-25,Y,Y
100338983,2,100,20,24/12/2025,0,,-25,Y,Y
100339003,2,100,20,24/12/2025,0,,-25,Y,Y
100339008,2,100,20,24/12/2025,0,,-25,Y,Y
100339011,2,100,20,24/12/2025,0,,-25,Y,Y
100339056,2,100,20,24/12/2025,0,,-25,Y,Y
100339082,2,100,20,24/12/2025,0,,-25,Y,Y
100339090,2,100,20,24/12/2025,0,,-25,Y,Y
100339096,2,100,20,24/12/2025,0,,-25,Y,Y
100339121,2,100,20,24/12/2025,0,,-25,Y,Y
100339127,2,100,20,24/12/2025,0,,-25,Y,Y
100339129,2,100,20,24/12/2025,0,,-25,Y,Y
100339166,2,100,20,24/12/2025,0,,-25,Y,Y
100339180,2,100,20,24/12/2025,0,,-25,Y,Y
100339185,2,100,20,24/12/2025,0,,-25,Y,Y
100339186,2,100,20,24/12/2025,0,,-25,Y,Y
100339188,2,100,20,24/12/2025,0,,-25,Y,Y
100339220,2,100,20,24/12/2025,0,,-25,Y,Y
100339230,2,100,20,24/12/2025,0,,-25,Y,Y
100339246,2,100,20,24/12/2025,0,,-25,Y,Y
100339255,2,100,20,24/12/2025,0,,-25,Y,Y
100339257,2,100,20,24/12/2025,0,,-25,Y,Y
100339258,2,100,20,24/12/2025,0,,-25,Y,Y
100339267,2,100,20,24/12/2025,0,,-25,Y,Y
100339290,2,100,20,24/12/2025,0,,-25,Y,Y
100339322,2,100,20,24/12/2025,0,,-25,Y,Y
100339368,2,100,20,24/12/2025,0,,-25,Y,Y
100339371,2,100,20,24/12/2025,0,,-25,Y,Y
100339385,2,100,20,24/12/2025,0,,-25,Y,Y
