Option ID,Zone Group,Zone,Reason Code,Effective Date,Change Type,Change Amount,Change Percent,Price Guide,Auto-Approve
133021168,2,101,11,27/12/2024,2,99,,N,Y
133021168,2,102,11,27/12/2024,2,99,,N,Y
133021168,2,103,11,27/12/2024,2,99,,N,Y
133021168,2,104,11,27/12/2024,2,99,,N,Y
133021168,2,105,11,27/12/2024,2,99,,N,Y
133021168,2,106,11,27/12/2024,2,99,,N,Y
133021168,2,107,11,27/12/2024,2,99,,N,Y
133021168,2,108,11,27/12/2024,2,99,,N,Y
133021168,2,109,11,27/12/2024,2,99,,N,Y
133021168,2,110,11,27/12/2024,2,99,,N,Y
133335889,2,101,11,27/12/2024,2,99,,N,Y
133335889,2,102,11,27/12/2024,2,99,,N,Y
133335889,2,103,11,27/12/2024,2,99,,N,Y
133335889,2,104,11,27/12/2024,2,99,,N,Y
133335889,2,105,11,27/12/2024,2,99,,N,Y
133335889,2,106,11,27/12/2024,2,99,,N,Y
133335889,2,107,11,27/12/2024,2,99,,N,Y
133335889,2,108,11,27/12/2024,2,99,,N,Y
133335889,2,109,11,27/12/2024,2,99,,N,Y
133335889,2,110,11,27/12/2024,2,99,,N,Y
133556129,2,101,11,27/12/2024,2,99,,N,Y
133556129,2,102,11,27/12/2024,2,99,,N,Y
133556129,2,103,11,27/12/2024,2,99,,N,Y
133556129,2,104,11,27/12/2024,2,99,,N,Y
133556129,2,105,11,27/12/2024,2,99,,N,Y
133556129,2,106,11,27/12/2024,2,99,,N,Y
133556129,2,107,11,27/12/2024,2,99,,N,Y
133556129,2,108,11,27/12/2024,2,99,,N,Y
133556129,2,109,11,27/12/2024,2,99,,N,Y
133556129,2,110,11,27/12/2024,2,99,,N,Y
133556130,2,101,11,27/12/2024,2,99,,N,Y
133556130,2,102,11,27/12/2024,2,99,,N,Y
133556130,2,103,11,27/12/2024,2,99,,N,Y
133556130,2,104,11,27/12/2024,2,99,,N,Y
133556130,2,105,11,27/12/2024,2,99,,N,Y
133556130,2,106,11,27/12/2024,2,99,,N,Y
133556130,2,107,11,27/12/2024,2,99,,N,Y
133556130,2,108,11,27/12/2024,2,99,,N,Y
133556130,2,109,11,27/12/2024,2,99,,N,Y
133556130,2,110,11,27/12/2024,2,99,,N,Y
134012247,2,101,11,27/12/2024,2,99,,N,Y
134012247,2,102,11,27/12/2024,2,99,,N,Y
134012247,2,103,11,27/12/2024,2,99,,N,Y
134012247,2,104,11,27/12/2024,2,99,,N,Y
134012247,2,105,11,27/12/2024,2,99,,N,Y
134012247,2,106,11,27/12/2024,2,99,,N,Y
134012247,2,107,11,27/12/2024,2,99,,N,Y
134012247,2,108,11,27/12/2024,2,99,,N,Y
134012247,2,109,11,27/12/2024,2,99,,N,Y
134012247,2,110,11,27/12/2024,2,99,,N,Y
134012256,2,101,11,27/12/2024,2,99,,N,Y
134012256,2,102,11,27/12/2024,2,99,,N,Y
134012256,2,103,11,27/12/2024,2,99,,N,Y
134012256,2,104,11,27/12/2024,2,99,,N,Y
134012256,2,105,11,27/12/2024,2,99,,N,Y
134012256,2,106,11,27/12/2024,2,99,,N,Y
134012256,2,107,11,27/12/2024,2,99,,N,Y
134012256,2,108,11,27/12/2024,2,99,,N,Y
134012256,2,109,11,27/12/2024,2,99,,N,Y
134012256,2,110,11,27/12/2024,2,99,,N,Y
134012266,2,101,11,27/12/2024,2,99,,N,Y
134012266,2,102,11,27/12/2024,2,99,,N,Y
134012266,2,103,11,27/12/2024,2,99,,N,Y
134012266,2,104,11,27/12/2024,2,99,,N,Y
134012266,2,105,11,27/12/2024,2,99,,N,Y
134012266,2,106,11,27/12/2024,2,99,,N,Y
134012266,2,107,11,27/12/2024,2,99,,N,Y
134012266,2,108,11,27/12/2024,2,99,,N,Y
134012266,2,109,11,27/12/2024,2,99,,N,Y
134012266,2,110,11,27/12/2024,2,99,,N,Y
134012222,2,101,11,27/12/2024,2,99,,N,Y
134012222,2,102,11,27/12/2024,2,99,,N,Y
134012222,2,103,11,27/12/2024,2,99,,N,Y
134012222,2,104,11,27/12/2024,2,99,,N,Y
134012222,2,105,11,27/12/2024,2,99,,N,Y
134012222,2,106,11,27/12/2024,2,99,,N,Y
134012222,2,107,11,27/12/2024,2,99,,N,Y
134012222,2,108,11,27/12/2024,2,99,,N,Y
134012222,2,109,11,27/12/2024,2,99,,N,Y
134012222,2,110,11,27/12/2024,2,99,,N,Y
134012195,2,101,11,27/12/2024,2,99,,N,Y
134012195,2,102,11,27/12/2024,2,99,,N,Y
134012195,2,103,11,27/12/2024,2,99,,N,Y
134012195,2,104,11,27/12/2024,2,99,,N,Y
134012195,2,105,11,27/12/2024,2,99,,N,Y
134012195,2,106,11,27/12/2024,2,99,,N,Y
134012195,2,107,11,27/12/2024,2,99,,N,Y
134012195,2,108,11,27/12/2024,2,99,,N,Y
134012195,2,109,11,27/12/2024,2,99,,N,Y
134012195,2,110,11,27/12/2024,2,99,,N,Y
134331041,2,101,11,27/12/2024,2,99,,N,Y
134331041,2,102,11,27/12/2024,2,99,,N,Y
134331041,2,103,11,27/12/2024,2,99,,N,Y
