BUSINESS MODEL NAME,GROUP NAME,OPTION ID,OPTION DESCRIPTION,SKU,UK SIZE DESCRIPTION,EU SIZE DESCRIPTION,US SIZE DESCRIPTION
,,,,8274498,UK8,UK8,UK8
,,,,8274499,ZZU10,ZZU10,ZZU10
,,,,8274496,UK4,UK4,UK4
,,,,8274500,ZZ12,ZZ12,ZZ12
,,,,8274502,ZZ16,ZZ16,ZZ16
,,,,8274501,ZZ14,ZZ14,ZZ14
,,,,7128792,XS,XS,XS
,,,,7128794,M,M,M
,,,,7128795,L,L,L
,,,,7128793,S,S,S
,,,,7128796,XL,XL,XL
,,,,7887166,UK5,UK5,UK5
,,,,7887168,UK7,UK7,UK7
,,,,7887164,UK3,UK3,UK3
,,,,7887170,UK9,UK9,UK9
,,,,7887165,UK4,UK4,UK4
,,,,7887169,UK8,UK8,UK8
,,,,7887163,UK2,UK2,UK2
,,,,7887167,UK6,UK6,UK6
,,,,5573384,UK10,UK10,UK10
,,,,5573386,UK14,UK14,UK14
,,,,5573387,UK16,UK16,UK16
,,,,5573385,UK12,UK12,UK12
,,,,5573383,UK8,UK8,UK8
,,,,7415508,M,M,M
,,,,7415507,S,S,S
,,,,7415509,L,L,L
,,,,7415506,XS,XS,XS
,,,,7415511,2XL,2XL,2XL
,,,,7415510,XL,XL,XL
,,,,4451366,NOSZ,NOSZ,NOSZ
,,,,5297672,ZZ6,ZZ6,ZZ6
,,,,5297675,ZZ12,ZZ12,ZZ12
,,,,8291831,UK6,UK6,UK6
,,,,8291833,UK10,UK10,UK10
,,,,8291830,UK4,UK4,UK4
,,,,8291837,UK18,UK18,UK18
,,,,8291832,UK8,UK8,UK8
,,,,8291836,UK16,UK16,UK16
,,,,8291835,UK14,UK14,UK14
,,,,8291834,UK12,UK12,UK12
,,,,8291841,UK26,UK26,UK26
,,,,8291840,UK24,UK24,UK24
,,,,8291829,UK2,UK2,UK2
,,,,8291838,UK20,UK20,UK20
,,,,8291843,UK30,UK30,UK30
,,,,8291839,UK22,UK22,UK22
,,,,8291842,UK28,UK28,UK28
,,,,8996412,UK8.5-11,UK8.5-11,UK8.5-11
,,,,8996411,UK5.5-8,UK5.5-8,UK5.5-8
,,,,5157817,UK12,UK12,UK12
,,,,5157813,UK4,UK4,UK4
,,,,5157820,UK18,UK18,UK18
,,,,5157818,UK14,UK14,UK14
,,,,5157819,UK16,UK16,UK16
,,,,5157816,UK10,UK10,UK10
,,,,5157814,UK6,UK6,UK6
,,,,5157815,UK8,UK8,UK8
,,,,6072887,S,S,S
,,,,6072889,L,L,L
,,,,6072890,XL,XL,XL
,,,,6072888,M,M,M
,,,,8039124,ZZ4,ZZ4,ZZ4
,,,,8039128,ZZ12,ZZ12,ZZ12
,,,,8039129,ZZ14,ZZ14,ZZ14
,,,,8039125,ZZ6,ZZ6,ZZ6
,,,,8039127,ZZ10,ZZ10,ZZ10
,,,,8039130,ZZ16,ZZ16,ZZ16
,,,,8039126,ZZ8,ZZ8,ZZ8
,,,,8039131,ZZ18,ZZ18,ZZ18
,,,,8039133,UK22,UK22,UK22
,,,,8039132,UK20,UK20,UK20
,,,,8039134,UK24,UK24,UK24
,,,,8039123,UK2,UK2,UK2
,,,,8048084,ZZ44C,ZZ44C,ZZ44C
,,,,8048079,ZZ34C,ZZ34C,ZZ34C
,,,,8048078,ZZ32C,ZZ32C,ZZ32C
,,,,8048085,ZZ46C,ZZ46C,ZZ46C
,,,,8048080,ZZ36C,ZZ36C,ZZ36C
,,,,8048081,ZZ38C,ZZ38C,ZZ38C
,,,,8048082,ZZ40C,ZZ40C,ZZ40C
,,,,8048083,ZZ42C,ZZ42C,ZZ42C
,,,,6857037,S,S,S
,,,,6857039,L,L,L
,,,,6857040,XL,XL,XL
,,,,6857038,M,M,M
,,,,6474518,XS,XS,XS
,,,,6474522,XL,XL,XL
,,,,6474519,S,S,S
,,,,6474521,L,L,L
,,,,6474520,M,M,M
,,,,6815989,EU43-46,EU43-46,EU43-46
,,,,6815988,EU39-42,EU39-42,EU39-42
,,,,8759112,EU34,EU34,EU34
,,,,8759115,EU40,EU40,EU40
,,,,8759114,EU38,EU38,EU38
,,,,8759117,EU44,EU44,EU44
,,,,8759113,EU36,EU36,EU36
,,,,8759111,EU32,EU32,EU32
,,,,8759116,EU42,EU42,EU42
