OptionID,DespatchMonth,PartnerID,Store_Name,DC,StoreID,SalesOrder,SalesOrdtype,CancelId,CancelDate,Units_by_size,Error_desc,Buying_Group,Business_Model_Name,OrderRowCode,OriginalErrorDate,Assigned_Team,Brand_Code,OB_Name,OB_Tab_Name
115063420,01-FEB-23,30013,LaModa,,,0KSSZ3LM,MCO,,,W28:0|W30:0|W32:0|W34:0|W36:0,Could not find approved Supplier PO for the wholesale order row code. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Shorts TM,Topman,#0KSSZ3,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Shorts
115063420,01-FEB-23,30022,Namshi,,,0KSSZ3NM,MCO,,,W28:2|W30:8|W32:9|W34:7|W36:4,Could not find approved Supplier PO for the wholesale order row code. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Shorts TM,Topman,#0KSSZ3,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Shorts
115873938,01-MAR-23,30025,Nordstrom DIR East,,,MM8OZANI,MCO,6,09-JAN-23,L:0|M:0|S:0|XL:0|XS:0|XXL:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Jersey TM,Topman,#MM8OZA,17-FEB-23,Commercial Team,TM,Jersey,HW Jersey

115873938,01-MAR-23,30026,Nordstrom FLS,,,MM8OZANF,MCO,6,09-JAN-23,L:0|M:0|S:0|XL:0|XS:0|XXL:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Jersey TM,Topman,#MM8OZA,17-FEB-23,Commercial Team,TM,Jersey,HW Jersey

116053088,01-FEB-23,30026,Nordstrom FLS,,,3PDQE8NF,MCO,,,UK6:0|UK8:0|UK10:0|UK12:0|UK14:0|UK16:0|UK18:0,Sum of units by size does not match total units.,Formal Wear TS,Topshop,#3PDQE8,17-FEB-23,Wholesale Team,TS,APPAREL 2,Formal
115873938,01-MAR-23,30072,Nordstrom DIR West,,,MM8OZANJ,MCO,6,09-JAN-23,L:0|M:0|S:0|XL:0|XS:0|XXL:0,ORA-01403: no data found
