Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
SC07_Unproductive_Stock_TR01_Launch,1549,5,3,5,6,19,2,886,0.000%,.43070,1.44,0.00
SC08_SinglePO_Search_TR01_Launch,1719,4,3,4,6,18,2,891,0.000%,.47788,1.60,0.00
SC02_Dashboard_Enlarge_TR01_Launch,1210,5,3,5,13,25,2,820,0.000%,.33651,1.12,0.00
SC06_Sales_Order_Release_TR01_Launch,1540,7,3,17,18,38,2,835,0.000%,.42841,1.43,0.00
SC01_Dashboard_Load_TR01_Launch,3039,4,3,4,6,19,2,829,0.000%,.84470,2.82,0.00
SC10_International_Size_Download_TR01_Launch,1161,5,3,5,7,18,2,903,0.000%,.32297,1.08,0.00
SC14_SingleSalesOrderRelease_TR01_Launch,722,5,3,5,7,19,2,884,0.000%,.20066,0.67,0.00
SC12_MassSearch_TR01_Launch,1125,6,3,4,6,29,2,874,0.000%,.31292,1.05,0.00
SC11_Report_Export_TR01_Launch,664,6,3,5,8,19,2,906,0.000%,.18492,0.62,0.00
SC03_Pre_Receipt_Variance_TR01_Launch,1373,5,3,5,6,19,2,908,0.000%,.38144,1.28,0.00
SC13_SalesOrderEdit_TR01_Launch,828,5,3,4,6,18,2,894,0.000%,.23027,0.77,0.00
SC09_International_Size_Upload_TR01_Launch,795,5,3,4,6,16,2,877,0.000%,.22113,0.74,0.00
SC05_Post_Receipt_Variance_TR01_Launch,1428,161,156,257,278,373,34,1452,0.000%,.39668,3.21,0.00
SC01_Dashboard_Load_TR02_Login,3039,82,56,146,199,265,26,1279,0.000%,.84487,2.01,0.00
SC07_Unproductive_Stock_TR02_Login,1549,84,57,151,202,276,27,536,0.000%,.43080,1.03,0.00
SC02_Dashboard_Enlarge_TR02_Login,1210,81,55,139,196,274,26,711,0.000%,.33660,0.80,0.00
SC06_Sales_Order_Release_TR02_Login,1540,83,57,147,203,270,28,390,0.000%,.42850,1.02,0.00
SC03_Pre_Receipt_Variance_TR02_Login,1372,83,57,145,205,265,26,586,0.000%,.38174,0.91,0.00
SC11_Report_Export_TR02_Login,664,112,83,202,228,308,37,613,0.000%,.18497,0.56,0.00
SC09_International_Size_Upload_TR02_Login,795,86,59,151,205,268,28,533,0.000%,.22118,0.53,0.00
SC10_International_Size_Download_TR02_Login,1161,85,58,146,202,275,27,769,0.000%,.32305,0.77,0.00
SC04_Slippage_Variance_TR01_Launch,1366,100,84,119,137,180,61,3102,0.000%,.37971,587.19,0.00
SC14_SingleSalesOrderRelease_TR02_Login,722,548,533,672,716,818,380,1136,0.000%,.20069,4.72,0.00
SC13_SalesOrderEdit_TR02_Login,828,693,682,803,851,954,537,1194,0.000%,.23030,8.63,0.00
SC12_MassSearch_TR02_Login,1125,696,683,815,859,947,522,1021,0.000%,.31294,11.72,0.00
SC08_SinglePO_Search_TR02_Login,1719,697,681,818,858,956,532,1501,0.000%,.47792,17.90,0.00
SC05_Post_Receipt_Variance_TR02_Login,1427,889,877,1027,1079,1201,651,2218,0.000%,.39668,16.48,0.00
SC01_Dashboard_Load_TR03_Refresh,3038,609,603,704,742,807,477,1898,0.000%,.84474,29.61,0.00
SC04_Slippage_Variance_TR02_Login,1366,82,58,143,197,278,27,874,0.000%,.37998,0.91,0.00
SC03_Pre_Receipt_Variance_TR03_Refresh,1372,610,605,704,743,806,479,1004,0.000%,.38169,13.49,0.00
SC06_Sales_Order_Release_TR03_Refresh,1540,608,604,706,736,799,474,1451,0.000%,.42846,15.15,0.00
SC07_Unproductive_Stock_TR03_Refresh,1549,610,602,709,746,838,480,1352,0.000%,.43077,15.23,0.00
SC11_Report_Export_TR03_Refresh,664,578,577,674,697,770,470,814,0.000%,.18495,6.43,0.00
SC08_SinglePO_Search_TR03_Wholesale,1719,52,39,115,121,153,20,506,0.000%,.47804,0.36,0.00
SC02_Dashboard_Enlarge_TR03_Refresh,1210,609,605,703,747,808,470,1060,0.000%,.33656,11.90,0.00
SC13_SalesOrderEdit_TR03_Manage_SO,828,155,133,250,266,329,69,417,0.000%,.23034,1.25,0.00
SC12_MassSearch_TR03_Manage_SO,1125,159,156,254,271,336,70,608,0.000%,.31301,1.70,0.00
SC09_International_Size_Upload_TR03_Refresh,795,607,605,703,728,788,483,920,0.000%,.22116,7.82,0.00
SC10_International_Size_Download_TR03_Refresh,1161,610,606,702,732,809,475,1603,0.000%,.32302,11.42,0.00
SC14_SingleSalesOrderRelease_TR03_Wholesale,721,206,207,298,344,402,93,437,0.000%,.20061,1.61,0.00
SC05_Post_Receipt_Variance_TR03_Enlarge_Post_Receipt,1426,313,300,428,460,544,143,709,0.000%,.39703,3.40,0.00
SC04_Slippage_Variance_TR03_Refresh,1366,49,37,107,119,147,15,1086,0.000%,.37998,0.58,0.00
SC01_Dashboard_Load_TR04_Logout,3036,20,13,30,92,98,5,543,0.000%,.84459,0.72,0.00
SC03_Pre_Receipt_Variance_TR04_Click to enlarge,1372,53,37,111,118,186,22,536,0.000%,.38174,1.11,0.00
SC06_Sales_Order_Release_TR04_click to enlarge,1540,53,40,115,121,192,20,610,0.000%,.42852,0.33,0.00
SC07_Unproductive_Stock_TR04_Click to Enlarge,1548,53,40,115,122,141,20,808,0.000%,.43061,0.33,0.00
expand rpre-recp/WholesalePortalRestServices/services/lovSearch/getPartnerLocLov-411,1210,54,38,113,118,144,22,1148,0.000%,.33663,0.98,0.00
SC13_SalesOrderEdit_TR04_Biz_Model,828,53,39,112,117,149,22,210,0.000%,.23034,0.97,0.00
SC08_SinglePO_Search_TR04_Manage_SO,1718,103,80,160,211,240,45,734,0.000%,.47799,2.24,0.00
