Avg Response time,,Count,%,
Total Txn Count,,117,,
Count Txn if <2s,,114,97.40,
Count Txn if <5s,,117,100.00,
,,,,
,,,,
Transactions,,Count,Response time,90%
SC01_Dashboard_Load_TR01_Launch,,3039,0.004,0.004
SC01_Dashboard_Load_TR02_Login,,3039,0.082,0.146
SC01_Dashboard_Load_TR03_Refresh,,3038,0.609,0.704
SC01_Dashboard_Load_TR04_Logout,,3036,0.02,0.03
SC02_Dashboard_Enlarge_TR01_Launch,,1210,0.005,0.005
SC02_Dashboard_Enlarge_TR02_Login,,1210,0.081,0.139
SC02_Dashboard_Enlarge_TR03_Refresh,,1210,0.609,0.703
SC02_Dashboard_Enlarge_TR04_Pre-Receipt Enlarge,,1210,0.306,0.371
SC02_Dashboard_Enlarge_TR05_Slippage Enlarge,,1209,0.302,0.364
SC02_Dashboard_Enlarge_TR06_Post-Receipt Enlarge,,1209,0.359,0.451
SC02_Dashboard_Enlarge_TR07_Sales Order Enlarge,,1208,0.252,0.312
SC02_Dashboard_Enlarge_TR08_Unprod Stock Enlarge,,1208,0.308,0.374
SC02_Dashboard_Enlarge_TR09_Logout,,1206,0.019,0.03
SC03_Pre_Receipt_Variance_TR01_Launch,,1373,0.005,0.005
SC03_Pre_Receipt_Variance_TR02_Login,,1372,0.083,0.145
SC03_Pre_Receipt_Variance_TR03_Refresh,,1372,0.61,0.704
SC03_Pre_Receipt_Variance_TR04_Click to enlarge,,1372,0.053,0.111
SC03_Pre_Receipt_Variance_TR05_Pre Receipt window,,1372,0.166,0.23
SC03_Pre_Receipt_Variance_TR06_Enter PO number,,1370,0.099,0.163
SC03_Pre_Receipt_Variance_TR07_Search,,1370,0.053,0.115
SC03_Pre_Receipt_Variance_TR08_Click On PO,,1370,0.053,0.115
SC03_Pre_Receipt_Variance_TR09_Logout,,1369,0.019,0.03
SC04_Slippage_Variance_TR01_Launch,,1366,0.1,0.119
SC04_Slippage_Variance_TR02_Login,,1366,0.082,0.143
SC04_Slippage_Variance_TR03_Refresh,,1366,0.049,0.107
SC04_Slippage_Variance_TR04_Click Slippage dashboard,,1364,0.052,0.115
SC04_Slippage_Variance_TR05_Click Slippage dashboard window,,1364,0.119,0.182
SC04_Slippage_Variance_TR06_Enter PO Number,,1364,0.054,0.119
SC04_Slippage_Variance_TR07_Click Search,,1364,0.052,0.111
SC04_Slippage_Variance_TR08_Click On PO,,1364,0.053,0.113
SC04_Slippage_Variance_TR09_Logout,,1363,0.019,0.03
SC05_Post_Receipt_Variance_TR01_Launch,,1428,0.161,0.257
SC05_Post_Receipt_Variance_TR02_Login,,1427,0.889,1.027
SC05_Post_Receipt_Variance_TR03_Enlarge_Post_Receipt,,1426,0.313,0.428
SC05_Post_Receipt_Variance_TR04_Click_PO,,1426,1.053,1.25
SC05_Post_Receipt_Variance_TR05_Click_Ok,,1426,0.113,0.169
